trial num	generated	heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
	a priori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	EII	Eii			1.1666666666666667	1.1666666666666667							-1	99	1.1666666666666667	101.16666666666667	1.1666666666666667	101.16666666666667	1.1666666666666667	101.16666666666667	1.1666666666666667	101.16666666666667																																																																																													-1	99	-1	99													-1	99	-1	99													-1	99	-1	99
	a priori	Id(Bk)Syl1>>Id(Bk)	1.1666666666666679	21.166666666666668																																																																																																																																																		
3	iuu	Iuu	0.6666666666666666	21.833333333333336	0.6666666666666666	1.8333333333333335							0.6666666666666666	99.66666666666667	-1	100.16666666666667	-1	100.16666666666667	-1	100.16666666666667	-1	100.16666666666667																																																													0.6666666666666666	100.66666666666667	0.6666666666666666	100.66666666666667																																																																
5	uia	yiA	0.375	22.208333333333336	0.375	2.2083333333333335			-1	99	-1	99	-1	98.66666666666667							0.375	100.54166666666667																																																													0.375	101.04166666666667	0.375	101.04166666666667																																																													0.375	99.375	0.375	99.375
8	iOi	Ioi	1.4285714285714286	23.636904761904763	1.4285714285714286	3.636904761904762	1.4285714285714286	101.42857142857143	1.4285714285714286	100.42857142857143	1.4285714285714286	100.42857142857143	1.4285714285714286	100.0952380952381	-1	99.16666666666667	-1	99.16666666666667	-1	99.16666666666667	-1	99.54166666666667																																																																															-1	99															-1	98													-1	98	-1	98													-1	98.375	-1	98.375
9	Oiu	oiu	0.6	24.236904761904764	0.6	4.2369047619047615	0.6	102.02857142857142	0.6	101.02857142857142	0.6	101.02857142857142	0.6	100.6952380952381					-1	98.16666666666667	-1	98.54166666666667															0.6	100.6															0.6	100.6															0.6	100.6																																																													-1	97	-1	97													-1	97.375	-1	97.375
10	uuI	yyi	0.42857142857142855	24.66547619047619	0.42857142857142855	4.66547619047619			-1	100.02857142857142	-1	100.02857142857142	-1	99.6952380952381	0.42857142857142855	99.5952380952381	0.42857142857142855	99.5952380952381	0.42857142857142855	98.5952380952381	0.42857142857142855	98.9702380952381																																																																																																																																
11	oo	OO	0.8	25.465476190476192	0.8	5.46547619047619	-1	101.02857142857142	-1	99.02857142857142	-1	99.02857142857142	-1	98.6952380952381					0.8	99.3952380952381	0.8	99.7702380952381																																																																																																																																
