trial num	generated	heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
	a priori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
2	auu	Ayy	1.5	21.5	1.5	1.5			-2	98	-2	98	-2	98							1.5	101.5																																																																																																																																
3	iAA	iaa			1.2	2.7			1.2	99.2	1.2	99.2	1.2	99.2							-2	99.5																																																													-2	98	-2	98																																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	1.1999999999999993	22.7																																																																																																																																																		
5	ou	Oy	1.6	24.3	1.6	4.300000000000001	-2	98	-2	97.2	-2	97.2	-2	97.2					1.6	101.6	1.6	101.1																																																																																																																																
6	OAi	oai	1.4285714285714286	25.728571428571428	1.4285714285714286	5.7285714285714295	1.4285714285714286	99.42857142857143	1.4285714285714286	98.62857142857143	1.4285714285714286	98.62857142857143	1.4285714285714286	98.62857142857143					-2	99.6	-2	99.1																																																																																																															-2	98													-2	98	-2	98
7	ea	Ea	0.6666666666666666	26.395238095238096	0.6666666666666666	6.3952380952380965					0.6666666666666666	99.2952380952381	0.6666666666666666	99.2952380952381			-2	98	-2	97.6	-2	97.1																																													0.6666666666666666	100.66666666666667	0.6666666666666666	100.66666666666667													0.6666666666666666	98.66666666666667	0.6666666666666666	98.66666666666667																																																																
8	uoI	uoi			1.6666666666666667	8.061904761904763							-2	97.2952380952381	1.6666666666666667	101.66666666666667	1.6666666666666667	99.66666666666667	1.6666666666666667	99.26666666666667	1.6666666666666667	98.76666666666667																																																																																																													-2	98	-2	96													-2	96	-2	96
	a priori	Id(Bk)Syl1>>Id(Bk)	1.6666666666666679	28.061904761904763																																																																																																																																																		
11	uua	yyA	1.5	29.561904761904763	1.5	9.561904761904763			-2	96.62857142857143	-2	97.2952380952381	-2	95.2952380952381							1.5	100.26666666666667																																																																																																																																
12	OAO	OAo			5.333333333333333	14.895238095238096	5.333333333333333	104.76190476190476	5.333333333333333	101.96190476190476	5.333333333333333	102.62857142857143	5.333333333333333	100.62857142857143					-2	97.26666666666667	-2	98.26666666666667											-2	98			-2	98									-2	98	-2	98	-2	98	-2	98									-2	98	-2	98	-2	98.66666666666667	-2	98.66666666666667									-2	98	-2	98	-2	96.66666666666667	-2	96.66666666666667																																																																
