			Id(Bk)Syl1	Id(Bk)	*F3	*B1	*B2	*F3_B1	*F3..._B1	*F3_B2	*F3..._B2	*_B1F3	*_B1...F3	*_B2F3	*_B2...F3
			Id(Bk)Syl1	Id(Bk)	*F3	*B1	*B2	*F3_B1	*F3..._B1	*F3_B2	*F3..._B2	*_B1F3	*_B1...F3	*_B2F3	*_B2...F3
Oe	Oe	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	OE		0	1	1	0	1	0	0	1	1	0	0	0	0
	oe		1	1	0	0	0	0	0	0	0	0	0	0	0
	oE		1	2	0	0	1	0	0	0	0	0	0	0	0
Oi	Oi	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	OI		0	1	1	1	1	1	1	1	1	0	0	0	0
	oi		1	1	0	0	0	0	0	0	0	0	0	0	0
	oI		1	2	0	1	1	0	0	0	0	0	0	0	0
Oa	Oa	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	OA		0	1	2	0	0	0	0	0	0	0	0	0	0
	oa		1	1	0	0	0	0	0	0	0	0	0	0	0
	oA		1	2	1	0	0	0	0	0	0	0	0	0	0
Ou	Ou	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	Oy		0	1	2	0	0	0	0	0	0	0	0	0	0
	ou		1	1	0	0	0	0	0	0	0	0	0	0	0
	oy		1	2	1	0	0	0	0	0	0	0	0	0	0
Ae	Ae	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	AE		0	1	1	0	1	0	0	1	1	0	0	0	0
	ae		1	1	0	0	0	0	0	0	0	0	0	0	0
	aE		1	2	0	0	1	0	0	0	0	0	0	0	0
Ai	Ai	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	AI		0	1	1	1	1	1	1	1	1	0	0	0	0
	ai		1	1	0	0	0	0	0	0	0	0	0	0	0
	aI		1	2	0	1	1	0	0	0	0	0	0	0	0
Aa	Aa	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	AA		0	1	2	0	0	0	0	0	0	0	0	0	0
	aa		1	1	0	0	0	0	0	0	0	0	0	0	0
	aA		1	2	1	0	0	0	0	0	0	0	0	0	0
Au	Au	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	Ay		0	1	2	0	0	0	0	0	0	0	0	0	0
	au		1	1	0	0	0	0	0	0	0	0	0	0	0
	ay		1	2	1	0	0	0	0	0	0	0	0	0	0
ye	ye	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	yE		0	1	1	0	1	0	0	1	1	0	0	0	0
	ue		1	1	0	0	0	0	0	0	0	0	0	0	0
	uE		1	2	0	0	1	0	0	0	0	0	0	0	0
yi	yi	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	yI		0	1	1	1	1	1	1	1	1	0	0	0	0
	ui		1	1	0	0	0	0	0	0	0	0	0	0	0
	uI		1	2	0	1	1	0	0	0	0	0	0	0	0
