trial num	generated	heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
	a priori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	iAe	iae			0.5	0.5			0.5	100.5	0.5	100.5	0.5	100.5							-2	98																																																													-2	98	-2	98																																																									-2	98	-2	98	-2	98	-2	98
	a priori	Id(Bk)Syl1>>Id(Bk)	0.5	20.5																																																																																																																																																		
3	ey	Eu	0.4	20.9	0.4	0.9			0.4	100.9	0.4	100.9	0.4	100.9			-2	98	-2	98	-2	96																																																																																																																																
4	aI	Ai	0.3333333333333333	21.23333333333333	0.3333333333333333	1.2333333333333334			-2	98.9	-2	98.9	-2	98.9	0.3333333333333333	100.33333333333333	0.3333333333333333	98.33333333333333	0.3333333333333333	98.33333333333333	0.3333333333333333	96.33333333333333																																																																																																																																
5	Eua	eua	0.4	21.63333333333333	0.4	1.6333333333333333					-2	96.9	-2	96.9			0.4	98.73333333333333	0.4	98.73333333333333	0.4	96.73333333333333																																													-2	98	-2	98													-2	96	-2	96																																																																
9	Eau	eau	0.4	22.033333333333328	0.4	2.033333333333333					-2	94.9	-2	94.9			0.4	99.13333333333334	0.4	99.13333333333334	0.4	97.13333333333334																																													-2	96	-2	96													-2	94	-2	94																																																																
10	yei	uei	0.4	22.433333333333326	0.4	2.433333333333333			0.4	99.30000000000001	0.4	95.30000000000001	0.4	95.30000000000001							-2	95.13333333333334																																																																																																																									-2	96	-2	96	-2	96	-2	96
11	eia	Eia	0.4	22.833333333333325	0.4	2.833333333333333					0.4	95.70000000000002	0.4	95.70000000000002			-2	97.13333333333334	-2	97.13333333333334	-2	93.13333333333334																																															0.4	96.4																																													-2	98	-2	98													-2	98	-2	98													-2	94	-2	94
13	uua	yua	0.6666666666666666	23.499999999999993	0.6666666666666666	3.4999999999999996			-2	97.30000000000001	-2	93.70000000000002	-2	93.70000000000002							0.6666666666666666	93.80000000000001																													-2	98	-2	98													-2	94	-2	94.4													-2	92	-2	92																																																																
