trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	MaxIOSyl1	now	MaxIO	now	NonEmpty	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
1	__	ua					0.6666666666666666	0.6666666666666666	0	0	0.6666666666666666	100.66666666666667															-2	98																																																																																																																																
2	u__	yoo	11.333333333333334	11.333333333333334	0	0			11.333333333333334	11.333333333333334					-2	98	-2	98	-2	98					-2	98	-2	96																									-2	98	-2	98	-2	98	-2	98									-2	98	-2	98	-2	98	-2	98									-2	98	-2	98	-2	98	-2	98																																																																
3	_u_	Oyo			12.666666666666666	12.666666666666666	12.666666666666666	13.333333333333332	0	11.333333333333334			-2	98	-2	96	-2	96	-2	96					-2	96													-2	98			-2	98									-2	96	-2	96	-2	96	-2	96									-2	96	-2	96	-2	96	-2	96									-2	96	-2	96	-2	96	-2	96																																																																
4	_i_	uiE					11.0	24.333333333333332	0	11.333333333333334													-2	98	-2	94	-2	94																																																					-2	98	-2	98	-2	94	-2	94	-2	94	-2	94																																																													-2	98	-2	98
5	a__	Aio	8.0	19.333333333333336	0	12.666666666666666			8.0	19.333333333333336					-2	94	-2	94	-2	94					-2	92																													-2	94			-2	94											-2	94			-2	94									-2	92	-2	92	-2	92	-2	92																																																																
6	u__	uuo							2.0	21.333333333333336															-2	90	-2	92																																																																																																																																
7	__u	OAy			2.0	14.666666666666666	2.0	26.333333333333332	0	21.333333333333336			-2	96	-2	92	-2	92	-2	92							2.0	94.0																																																																																																																																
8	__a	oEa					3.0	29.333333333333332	0	21.333333333333336													-2	96	-2	88	-2	92.0																																																																																																																																
9	_a	Ia					4.0	33.33333333333333	0	21.333333333333336											-2	98	-2	94	-2	86	-2	90.0																																																																																																																																
10	_a_	oau					2.0	35.33333333333333	0	21.333333333333336															-2	84	-2	88.0																																																																																																																																
11	_u_	Oye			2.0	16.666666666666664	2.0	37.33333333333333	0	21.333333333333336			-2	94	-2	90	-2	90	-2	90							2.0	90.0																																																																																																																																
12	i__	Iou	2.0	21.333333333333336	0	16.666666666666664			2.0	23.333333333333336									2.0	92.0	-2	96	-2	92	-2	82	-2	88.0																																																																																																																																
13	u__	yoa	11.333333333333334	32.66666666666667	0	16.666666666666664			11.333333333333334	34.66666666666667					-2	88	-2	88	-2	90.0					-2	80	-2	86.0																									-2	94	-2	92	-2	94	-2	92									-2	94	-2	92	-2	94	-2	92									-2	90	-2	90	-2	90	-2	90																																																																
14	u_	uu							1.0	35.66666666666667																	-2	84.0																																																																																																																																
15	u__	yie	1.5	34.16666666666667	0	16.666666666666664			1.5	37.16666666666667					-2	86	-2	86	-2	88.0							1.5	85.5																																																																																																																																
16	_u_	Iuo					4.0	41.33333333333333	0	37.16666666666667											-2	94	-2	90	-2	78	-2	83.5																																																																																																																																
17	E__	EiE							16.0	53.16666666666667									-2	86.0			-2	88	-2	76	-2	81.5																																																					-2	96	-2	96	-2	88	-2	88	-2	88	-2	88																													-2	98	-2	98													-2	98	-2	98													-2	96	-2	96
18	_u_	Oyi			2.0	18.666666666666664	2.0	43.33333333333333	0	53.16666666666667			-2	92	-2	84	-2	84	-2	84.0							2.0	83.5																																																																																																																																
19	_a_	OAe			2.0	20.666666666666664	2.0	45.33333333333333	0	53.16666666666667			-2	90	-2	82	-2	82	-2	82.0							2.0	85.5																																																																																																																																
20	A_	Ay							3.0	56.16666666666667					-2	80	-2	80	-2	80.0																																																																																																																																								
21	_i_	oia					8.0	53.33333333333333	0	56.16666666666667															-2	74	-2	83.5																																																													-2	86	-2	86																																													-2	96	-2	96													-2	94	-2	94
22	_i_	Oie					4.0	57.33333333333333	0	56.16666666666667			-2	88	-2	78	-2	78	-2	78.0																																																																																																																																								
23	A_	Ay							3.0	59.16666666666667					-2	76	-2	76	-2	76.0																																																																																																																																								
24	_e_	yey					3.0	60.33333333333333	0	59.16666666666667					-2	74	-2	74	-2	74.0																																																																																																																																								
25	_i_	yiA					3.0	63.33333333333333	0	59.16666666666667					-2	72	-2	72	-2	72.0																																																																																																																																								
26	__e	yye					3.0	66.33333333333333	0	59.16666666666667					-2	70	-2	70	-2	70.0																																																																																																																																								
27	y__	yoa							14.0	73.16666666666667															-2	72	-2	81.5																									-2	92	-2	90	-2	92	-2	90									-2	92	-2	90	-2	92	-2	90									-2	86	-2	86	-2	84	-2	84																																																																
28	_ye	ouE			1.0	21.666666666666664	1.0	67.33333333333333	0	73.16666666666667					1.0	71.0	1.0	71.0	1.0	71.0			-2	86	-2	70	-2	79.5																																																																																																																																
29	e__	EuE	1.2	35.366666666666674	0	21.666666666666664			1.2	74.36666666666667							1.2	72.2	1.2	72.2			-2	84	-2	68	-2	77.5																																																																																																																																
30	ie	IE	2.0	37.366666666666674	0	21.666666666666664											2.0	74.2	2.0	74.2	-2	92	-2	82	-2	66	-2	75.5																																																																																																																																
31	u_a	yiA	1.5	38.866666666666674	0	21.666666666666664			1.5	75.86666666666667					-2	69.0	-2	72.2	-2	72.2							1.5	77.0																																																																																																																																
32	AA_	aao	0.6666666666666666	39.53333333333334	0	21.666666666666664			0.6666666666666666	76.53333333333335					0.6666666666666666	69.66666666666667	0.6666666666666666	72.86666666666667	0.6666666666666666	72.86666666666667					-2	64	-2	75.0																																																																																																																																
33	iA_	Iao	1.3333333333333333	40.866666666666674	0	21.666666666666664			1.3333333333333333	77.86666666666667					1.3333333333333333	71.0	1.3333333333333333	74.2	1.3333333333333333	74.2	-2	90	-2	80	-2	62	-2	73.0																																																																																																																																
34	iey	IEu	1.6	42.466666666666676	0	21.666666666666664									1.6	72.6	1.6	75.8	1.6	75.8	-2	88	-2	78	-2	60	-2	71.0																																																																																																																																
35	i_i	Iui	4.5	46.966666666666676	0	21.666666666666664			4.5	82.36666666666667									4.5	80.3	-2	86	-2	76	-2	58	-2	69.0																																																																															-2	98															-2	96															-2	94													-2	92	-2	92
36	uEa	yeA	1.2	48.16666666666668	0	21.666666666666664									-2	70.6	-2	73.8	-2	78.3			1.2	77.2	1.2	59.2	1.2	70.2																																																																																																																																
37	uuE	yye	1.2	49.36666666666668	0	21.666666666666664									-2	68.6	-2	71.8	-2	76.3			1.2	78.4	1.2	60.400000000000006	1.2	71.4																																																																																																																																
38	oau	OAy	2.0	51.36666666666668	0	21.666666666666664							-2	86	-2	66.6	-2	69.8	-2	74.3					2.0	62.400000000000006	2.0	73.4																																																																																																																																
39	iii	Iii	8.0	59.36666666666668	0	21.666666666666664													8.0	82.3	-2	84	-2	76.4	-2	60.400000000000006	-2	71.4																																																																													-2	98	-2	96													-2	96	-2	94													-2	94	-2	92													-2	90	-2	90
40	u_E	yie	1.0	60.36666666666668	0	21.666666666666664			1.0	83.36666666666667					-2	64.6	-2	67.8	-2	80.3			1.0	77.4	1.0	61.400000000000006	1.0	72.4																																																																																																																																
