trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	MaxIOSyl1	now	MaxIO	now	NonEmpty	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
1	__	aa					0.5	0.5	0.5	0.5	0.5	100.5															-2	98																																																																																																																																
2	u__	yyA	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571			0.8571428571428571	1.3571428571428572					-2	98	-2	98	-2	98							0.8571428571428571	98.85714285714286																																																																																																																																
3	u__	yyi	0.8571428571428571	1.7142857142857142	0.8571428571428571	1.7142857142857142			0.8571428571428571	2.2142857142857144					-2	96	-2	96	-2	96							0.8571428571428571	99.71428571428572																																																																																																																																
4	__i	Aei					1.2	1.7	1.2	3.4142857142857146					-2	94	-2	94	-2	94																																																																																																																																								
5	A__	AAO							1.6	5.014285714285714			-2	98	-2	92	-2	92	-2	92																																																																																																																																								
6	_i_	yii					1.2	2.9	1.2	6.214285714285714					-2	90	-2	90	-2	90																																																																																																																																								
7	_e_	uee					1.5555555555555556	4.455555555555556	1.5555555555555556	7.76984126984127							-2	88	-2	88							-2	97.71428571428572																																																																																																																									-2	98	-2	98	-2	98	-2	98
8	_e	ye					1.2	5.655555555555556	1.2	8.96984126984127					-2	88	-2	86	-2	86																																																																																																																																								
9	A__	AOA							1.6	10.56984126984127			-2	96	-2	86	-2	84	-2	84																																																																																																																																								
10	__e	uae					1.4285714285714286	7.084126984126985	1.4285714285714286	11.998412698412698																	-2	95.71428571428572																																																																																																																									-2	96	-2	96	-2	96	-2	96
11	_e_	Oey					1.3333333333333333	8.417460317460318	1.3333333333333333	13.331746031746032			-2	94	-2	84	-2	82	-2	82																																																																																																																																								
12	_A_	OAA					1.3333333333333333	9.750793650793652	1.3333333333333333	14.665079365079366			-2	92	-2	82	-2	80	-2	80																																																																																																																																								
13	__e	yOe					1.3333333333333333	11.084126984126986	1.3333333333333333	15.9984126984127			-2	90	-2	80	-2	78	-2	78																																																																																																																																								
14	y_	yy							1.5	17.4984126984127					-2	78	-2	76	-2	76																																																																																																																																								
15	_e	Oe					1.3333333333333333	12.41746031746032	1.3333333333333333	18.831746031746032			-2	88	-2	76	-2	74	-2	74																																																																																																																																								
16	A__	AAy							1.5	20.331746031746032					-2	74	-2	72	-2	72																																																																																																																																								
17	_i_	Aii					1.2	13.617460317460319	1.2	21.53174603174603					-2	72	-2	70	-2	70																																																																																																																																								
18	_e_	aea					1.6363636363636365	15.253823953823956	1.6363636363636365	23.16810966810967																	-2	93.71428571428572																																													-2	98	-2	98													-2	98	-2	98																																																									-2	94	-2	94	-2	94	-2	94
19	A__	aoa	0.5	2.2142857142857144	0.5	2.2142857142857144			0.5	23.66810966810967					0.5	72.5	0.5	70.5	0.5	70.5					-2	98	-2	91.71428571428572																																																																																																																																
20	__i	Ayi					1.2	16.453823953823957	1.2	24.868109668109668					-2	70.5	-2	68.5	-2	68.5																																																																																																																																								
21	_y_	OyO					1.3333333333333333	17.78715728715729	1.3333333333333333	26.201443001443			-2	86	-2	68.5	-2	66.5	-2	66.5																																																																																																																																								
22	__i	oui					1.4285714285714286	19.215728715728716	1.4285714285714286	27.630014430014427															-2	96	-2	89.71428571428572																																																																																																															-2	98													-2	92	-2	92
23	_i_	oie					1.6666666666666667	20.882395382395384	1.6666666666666667	29.296681096681095							-2	64.5	-2	64.5					-2	94	-2	87.71428571428572																																																																																																											-2	98	-2	98	-2	96											-2	92	-2	90	-2	90
24	y_	ua	0.2857142857142857	2.5	0.2857142857142857	2.5			0.2857142857142857	29.58239538239538					0.2857142857142857	68.78571428571429	0.2857142857142857	64.78571428571429	0.2857142857142857	64.78571428571429							-2	85.71428571428572																																																																																																																																
25	__i	aei					1.5555555555555556	22.43795093795094	1.5555555555555556	31.137950937950936							-2	62.78571428571429	-2	62.78571428571429							-2	83.71428571428572																																																																																																																									-2	92	-2	90	-2	88	-2	88
26	A_	AO							1.6	32.737950937950934			-2	84	-2	66.78571428571429	-2	60.78571428571429	-2	60.78571428571429																																																																																																																																								
27	__e	uae					1.4285714285714286	23.866522366522368	1.4285714285714286	34.166522366522365																	-2	81.71428571428572																																																																																																																									-2	90	-2	88	-2	86	-2	86
28	__i	yOi					1.3333333333333333	25.1998556998557	1.3333333333333333	35.4998556998557			-2	82	-2	64.78571428571429	-2	58.78571428571429	-2	58.78571428571429																																																																																																																																								
29	A__	AyO							1.6	37.0998556998557			-2	80	-2	62.78571428571429	-2	56.78571428571429	-2	56.78571428571429																																																																																																																																								
30	__i	uai					1.2	26.3998556998557	1.2	38.299855699855705																	-2	79.71428571428572																																																																																																																													-2	84	-2	84
31	_i_	uia					1.4285714285714286	27.828427128427126	1.4285714285714286	39.728427128427136																	-2	77.71428571428572																																																													-2	96	-2	96																																																													-2	82	-2	82
32	y__	yyy							1.5	41.228427128427136					-2	60.78571428571429	-2	54.78571428571429	-2	54.78571428571429																																																																																																																																								
33	A__	aou	0.5	3.0	0.5	3.0			0.5	41.728427128427136					0.5	61.28571428571429	0.5	55.28571428571429	0.5	55.28571428571429					-2	92	-2	75.71428571428572																																																																																																																																
34	A__	AyA							1.5	43.228427128427136					-2	59.28571428571429	-2	53.28571428571429	-2	53.28571428571429																																																																																																																																								
35	O_	OO							1.6	44.82842712842714			-2	78	-2	57.28571428571429	-2	51.28571428571429	-2	51.28571428571429																																																																																																																																								
36	__e	oue					1.6	29.428427128427128	1.6	46.42842712842714															-2	90	-2	73.71428571428572																																																																																																											-2	96			-2	94									-2	88	-2	86	-2	80	-2	80
37	_i_	Oie					1.3333333333333333	30.76176046176046	1.3333333333333333	47.761760461760474			-2	76	-2	55.28571428571429	-2	49.28571428571429	-2	49.28571428571429																																																																																																																																								
38	_e_	yeA					1.2	31.96176046176046	1.2	48.96176046176048					-2	53.28571428571429	-2	47.28571428571429	-2	47.28571428571429																																																																																																																																								
39	_i_	AiA					1.2	33.16176046176046	1.2	50.16176046176048					-2	51.28571428571429	-2	45.28571428571429	-2	45.28571428571429																																																																																																																																								
40	_eA	oea			1.4	4.4	1.4	34.56176046176046	1.4	51.56176046176048					1.4	52.68571428571429	1.4	46.68571428571429	1.4	46.68571428571429					-2	88	-2	71.71428571428572																																													-2	96	-2	96													-2	94	-2	94																																									-2	98	-2	94	-2	96	-2	92									-2	86	-2	84	-2	78	-2	78
41	_ie	yie					1.2	35.76176046176046	1.2	52.76176046176048					-2	50.68571428571429	-2	44.68571428571429	-2	44.68571428571429																																																																																																																																								
42	_ii	yii					1.2	36.96176046176046	1.2	53.961760461760484					-2	48.68571428571429	-2	42.68571428571429	-2	42.68571428571429																																																																																																																																								
43	yAi	uai	0.75	3.75	0.75	5.15									0.75	49.43571428571429	0.75	43.43571428571429	0.75	43.43571428571429							-2	69.71428571428572																																																																																																																													-2	76	-2	76
45	AiA	aia	1.0	4.75	1.0	6.15									1.0	50.43571428571429	1.0	44.43571428571429	1.0	44.43571428571429							-2	67.71428571428572																																																													-2	92	-2	92																																																													-2	74	-2	74
