trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	MaxIOSyl1	now	MaxIO	now	NonEmpty	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
1	__	Ae					1.2	1.2	0	0	1.2	101.2			-2	98	-2	98	-2	98																																																																																																																																								
2	__A	oua			0.5714285714285714	0.5714285714285714	0.5714285714285714	1.7714285714285714	0	0					0.5714285714285714	98.57142857142857	0.5714285714285714	98.57142857142857	0.5714285714285714	98.57142857142857					-2	98	-2	98																																																																																																																																
2	Apriori	Id(Bk)Syl1>>Id(Bk)	0.5714285714285714	0.5714285714285714																																																																																																																																																									
3	a__	AAy	1.0	1.5714285714285714	0	0.5714285714285714			1.0	1.0					-2	96.57142857142857	-2	96.57142857142857	-2	96.57142857142857							1.0	99.0																																																																																																																																
4	o__	OiO	1.0	2.571428571428571	0	0.5714285714285714			1.0	2.0			-2	98	-2	94.57142857142857	-2	94.57142857142857	-2	94.57142857142857					1.0	99.0	1.0	100.0																																																																																																																																
4	Apriori	MaxIOSyl1>>MaxIO					0.22857142857142865	2.0																																																																																																																																																					
5	_e_	Oee					1.6	3.6	0	2.0			-2	96	-2	92.57142857142857	-2	92.57142857142857	-2	92.57142857142857																																																																																																																																								
6	_y_	ouo			0.5714285714285714	1.1428571428571428	0.5714285714285714	4.171428571428572	0	2.0					0.5714285714285714	93.14285714285714	0.5714285714285714	93.14285714285714	0.5714285714285714	93.14285714285714					-2	97.0	-2	98.0																																																																																																																																
7	__e	Aye					1.5	5.671428571428572	0	2.0					-2	91.14285714285714	-2	91.14285714285714	-2	91.14285714285714																																																																																																																																								
8	_y	Oy					1.6	7.271428571428572	0	2.0			-2	94	-2	89.14285714285714	-2	89.14285714285714	-2	89.14285714285714																																																																																																																																								
9	A_	aa	0.3333333333333333	2.9047619047619047	0	1.1428571428571428			0.3333333333333333	2.3333333333333335					0.3333333333333333	89.47619047619047	0.3333333333333333	89.47619047619047	0.3333333333333333	89.47619047619047							-2	96.0																																																																																																																																
10	_i_	yie					1.5	8.771428571428572	0	2.3333333333333335					-2	87.47619047619047	-2	87.47619047619047	-2	87.47619047619047																																																																																																																																								
11	__i	yei					1.5	10.271428571428572	0	2.3333333333333335					-2	85.47619047619047	-2	85.47619047619047	-2	85.47619047619047																																																																																																																																								
12	__i	ooi					1.7142857142857142	11.985714285714286	0	2.3333333333333335															-2	95.0	-2	94.0																																																																																																													-2	98	-2	98													-2	98	-2	98
13	__e	Aye					1.5	13.485714285714286	0	2.3333333333333335					-2	83.47619047619047	-2	83.47619047619047	-2	83.47619047619047																																																																																																																																								
14	A__	aua	0.3333333333333333	3.238095238095238	0	1.1428571428571428			0.3333333333333333	2.666666666666667					0.3333333333333333	83.8095238095238	0.3333333333333333	83.8095238095238	0.3333333333333333	83.8095238095238							-2	92.0																																																																																																																																
15	_e_	aea					1.8	15.285714285714286	0	2.666666666666667																	-2	90.0																																													-2	98	-2	98													-2	98	-2	98																																																									-2	98	-2	98	-2	96	-2	96
16	y__	yyy							1.5	4.166666666666667					-2	81.8095238095238	-2	81.8095238095238	-2	81.8095238095238																																																																																																																																								
17	__e	ooe					1.8181818181818181	17.103896103896105	0	4.166666666666667															-2	93.0	-2	88.0																																																																																																									-2	98	-2	98	-2	96	-2	96									-2	96	-2	96	-2	94	-2	94
18	A__	aaa	0.3333333333333333	3.5714285714285716	0	1.1428571428571428			0.3333333333333333	4.5					0.3333333333333333	82.14285714285712	0.3333333333333333	82.14285714285712	0.3333333333333333	82.14285714285712							-2	86.0																																																																																																																																
19	__i	Oyi					1.6	18.703896103896106	0	4.5			-2	92	-2	80.14285714285712	-2	80.14285714285712	-2	80.14285714285712																																																																																																																																								
