			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	NonEmpty	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	NonEmpty	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
OO	OO	1	0	0	0	0	0	0	0	0	0	0
	Oo		0	1	0	0	0	0	1	1	0	0
	oO		1	1	0	0	0	0	0	0	1	1
	oo		1	2	0	0	0	0	0	0	0	0
	O_		0	0	0	1	0	0	0	0	0	0
	_O		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_o		0	1	1	1	0	0	0	0	0	0
	o_		1	1	0	1	0	0	0	0	0	0
OA	OA	1	0	0	0	0	0	0	0	0	0	0
	Oa		0	1	0	0	0	0	1	1	0	0
	oA		1	1	0	0	0	0	0	0	1	1
	oa		1	2	0	0	0	0	0	0	0	0
	O_		0	0	0	1	0	0	0	0	0	0
	_A		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_a		0	1	1	1	0	0	0	0	0	0
	o_		1	1	0	1	0	0	0	0	0	0
Oy	Oy	1	0	0	0	0	0	0	0	0	0	0
	Ou		0	1	0	0	0	0	1	1	0	0
	oy		1	1	0	0	0	0	0	0	1	1
	ou		1	2	0	0	0	0	0	0	0	0
	O_		0	0	0	1	0	0	0	0	0	0
	_y		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_u		0	1	1	1	0	0	0	0	0	0
	o_		1	1	0	1	0	0	0	0	0	0
Oe	Oe	1	0	0	0	0	0	0	0	0	0	0
	OE		0	1	0	0	0	1	1	1	0	0
	oe		1	1	0	0	0	0	0	0	0	0
	oE		1	2	0	0	0	1	0	0	0	0
	O_		0	0	0	1	0	0	0	0	0	0
	_e		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_E		0	1	1	1	0	1	0	0	0	0
	o_		1	1	0	1	0	0	0	0	0	0
Oi	Oi	1	0	0	0	0	0	0	0	0	0	0
	OI		0	1	0	0	0	1	1	1	0	0
	oi		1	1	0	0	0	0	0	0	0	0
	oI		1	2	0	0	0	1	0	0	0	0
	O_		0	0	0	1	0	0	0	0	0	0
	_i		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_I		0	1	1	1	0	1	0	0	0	0
	o_		1	1	0	1	0	0	0	0	0	0
OI	OI		0	0	0	0	0	1	1	1	0	0
	Oi		0	1	0	0	0	0	0	0	0	0
	oI		1	1	0	0	0	1	0	0	0	0
