trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
0	Apriori	Id(Bk)Syl1>>Id(Bk)	10	10																																																																																																																																																		
1	EEI	eei	0.5714285714285714	10.571428571428571	0	0					-2	98	-2	98	0.5714285714285714	100.57142857142857	0.5714285714285714	100.57142857142857	0.5714285714285714	100.57142857142857	0.5714285714285714	100.57142857142857																																																																																																																																
3	Aei	aei	1.1111111111111112	11.682539682539682	0	0			1.1111111111111112	101.11111111111111	1.1111111111111112	99.11111111111111	1.1111111111111112	99.11111111111111							-2	98.57142857142857																																																																																																																									-2	98	-2	98	-2	98	-2	98
4	aEu	Aey	0.8571428571428571	12.53968253968254	0	0			-2	99.11111111111111	-2	97.11111111111111	-2	97.11111111111111			0.8571428571428571	101.42857142857143	0.8571428571428571	101.42857142857143	0.8571428571428571	99.42857142857143																																																																																																																																
5	OOO	ooo	0.5714285714285714	13.11111111111111	0	0	0.5714285714285714	100.57142857142857	0.5714285714285714	99.68253968253968	0.5714285714285714	97.68253968253968	0.5714285714285714	97.68253968253968					-2	99.42857142857143	-2	97.42857142857143																																																																																																																																
8	Oey	oeu	1.4736842105263157	14.584795321637426	0	0	1.4736842105263157	102.04511278195488	1.4736842105263157	101.156223893066	1.4736842105263157	99.156223893066	1.4736842105263157	99.156223893066					-2	97.42857142857143	-2	95.42857142857143																																													-2	98	-2	98													-2	98	-2	98																																									-2	98	-2	98	-2	98	-2	98									-2	96	-2	96	-2	96	-2	96
9	Ioo	ioo	1.0	15.584795321637426	0	0							-2	97.156223893066	1.0	101.57142857142857	1.0	102.42857142857143	1.0	98.42857142857143	1.0	96.42857142857143																																																									-2	98	-2	98	-2	96	-2	96																																																																
11	io	iO			0.7272727272727273	0.7272727272727273	-2	100.04511278195488	-2	99.156223893066	-2	97.156223893066	-2	95.156223893066					0.7272727272727273	99.15584415584416	0.7272727272727273	97.15584415584416																																																									0.7272727272727273	98.72727272727273	0.7272727272727273	98.72727272727273	0.7272727272727273	96.72727272727273	0.7272727272727273	96.72727272727273																																																																
13	oiu	Oiy	0.6153846153846154	16.200179937022043	0	0.7272727272727273	-2	98.04511278195488	-2	97.156223893066	-2	95.156223893066	-2	93.156223893066					0.6153846153846154	99.77122877122878	0.6153846153846154	97.77122877122878																																																													0.6153846153846154	97.34265734265735	0.6153846153846154	97.34265734265735																																													0.6153846153846154	98.61538461538461	0.6153846153846154	98.61538461538461													0.6153846153846154	96.61538461538461	0.6153846153846154	96.61538461538461
14	Oye	oue	1.2307692307692308	17.430949167791272	0	0.7272727272727273	1.2307692307692308	99.27588201272411	1.2307692307692308	98.38699312383523	1.2307692307692308	96.38699312383523	1.2307692307692308	94.38699312383523					-2	97.77122877122878	-2	95.77122877122878																																																																																																											-2	96			-2	96.61538461538461									-2	94	-2	94	-2	94.61538461538461	-2	94.61538461538461
17	aae	AAe	0.6666666666666666	18.09761583445794	0	0.7272727272727273			-2	96.38699312383523	-2	94.38699312383523	-2	92.38699312383523							0.6666666666666666	96.43789543789545																																																																																																																									0.6666666666666666	94.66666666666667	0.6666666666666666	94.66666666666667	0.6666666666666666	95.28205128205128	0.6666666666666666	95.28205128205128
