trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300
1	eee	Eee	1.6666666666666667	1.6666666666666667	0	0					1.6666666666666667	301.6666666666667	1.6666666666666667	301.6666666666667			-2	298	-2	298	-2	298																																																																																									-2	298	-2	298	-2	298	-2	298									-2	298	-2	298	-2	298	-2	298									-2	298	-2	298	-2	298	-2	298
2	oaI	Oai	1.4736842105263157	3.1403508771929824	0	0	-2	298	-2	298	-2	299.6666666666667	-2	299.6666666666667	1.4736842105263157	301.4736842105263	1.4736842105263157	299.4736842105263	1.4736842105263157	299.4736842105263	1.4736842105263157	299.4736842105263													-2	298	-2	298													-2	298	-2	298													-2	298	-2	298													-2	298	-2	298																																																													-2	296	-2	296
3	eOy	eou			1.3333333333333333	1.3333333333333333	1.3333333333333333	299.3333333333333	1.3333333333333333	299.3333333333333	1.3333333333333333	301.0	1.3333333333333333	301.0					-2	297.4736842105263	-2	297.4736842105263																																									-2	298	-2	298	-2	296	-2	296									-2	298	-2	298	-2	296	-2	296																																																																
4	ouu	Ouu	1.6	4.7403508771929825	0	1.3333333333333333	-2	297.3333333333333	-2	297.3333333333333	-2	299.0	-2	299.0					1.6	299.0736842105263	1.6	299.0736842105263													-2	296	-2	296													-2	296	-2	296													-2	294	-2	294													-2	294	-2	294																																																																
6	uEo	yeo	1.5294117647058822	6.269762641898865	0	1.3333333333333333			-2	295.3333333333333	-2	297.0	-2	297.0			1.5294117647058822	301.00309597523216	1.5294117647058822	300.6030959752322	1.5294117647058822	300.6030959752322																											-2	298			-2	294									-2	296	-2	296	-2	292	-2	292									-2	296	-2	296	-2	292	-2	292																																																																
7	Oyi	Oui			1.4666666666666666	2.8			1.4666666666666666	296.79999999999995	1.4666666666666666	298.46666666666664	1.4666666666666666	298.46666666666664							-2	298.6030959752322													-2	294	-2	294													-2	294	-2	292													-2	290	-2	290													-2	290	-2	290																																																													-2	294	-2	294
10	aao	Aao	1.7142857142857142	7.984048356184579	0	2.8			-2	294.79999999999995	-2	296.46666666666664	-2	296.46666666666664							1.7142857142857142	300.3173816895179																											-2	296	-2	292	-2	290											-2	294	-2	288	-2	288											-2	294	-2	288	-2	288																																																																
13	uuo	yuo	1.7142857142857142	9.698334070470294	0	2.8			-2	292.79999999999995	-2	294.46666666666664	-2	294.46666666666664							1.7142857142857142	302.0316674038036																											-2	294	-2	290	-2	288											-2	292	-2	286	-2	286											-2	292	-2	286	-2	286																																																																
14	OA	Oa			1.3846153846153846	4.184615384615384			1.3846153846153846	294.1846153846153	1.3846153846153846	295.851282051282	1.3846153846153846	295.851282051282							-2	300.0316674038036													-2	292	-2	292													-2	288	-2	286													-2	284	-2	284													-2	284	-2	284																																																																
