trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300
1	iei	iEi			1.6666666666666667	1.6666666666666667					1.6666666666666667	301.6666666666667	1.6666666666666667	301.6666666666667			-2	298	-2	298	-2	298																																																					-2	298	-2	298	-2	298	-2	298	-2	298	-2	298																													-2	298	-2	298													-2	298	-2	298													-2	298	-2	298
2	uIa	uia			1.0	2.666666666666667							-2	299.6666666666667	1.0	301.0	1.0	299.0	1.0	299.0	1.0	299.0																																																													-2	296	-2	296																																																													-2	296	-2	296
4	ao	AO	1.1428571428571428	1.1428571428571428	0	2.666666666666667	-2	298	-2	298	-2	299.6666666666667	-2	297.6666666666667					1.1428571428571428	300.14285714285717	1.1428571428571428	300.14285714285717																																																																																																																																
8	iOy	Iou	0.8888888888888888	2.0317460317460316	0	2.666666666666667	0.8888888888888888	298.8888888888889	0.8888888888888888	298.8888888888889	0.8888888888888888	300.5555555555556	0.8888888888888888	298.5555555555556	-2	299.0	-2	297.0	-2	298.14285714285717	-2	298.14285714285717																																																																																																																																
9	ouu	Oyy	1.1428571428571428	3.1746031746031744	0	2.666666666666667	-2	296.8888888888889	-2	296.8888888888889	-2	298.5555555555556	-2	296.5555555555556					1.1428571428571428	299.28571428571433	1.1428571428571428	299.28571428571433																																																																																																																																
12	yy	uu	0.4	3.5746031746031743	0	2.666666666666667			0.4	297.2888888888889	0.4	298.9555555555556	0.4	296.9555555555556							-2	297.28571428571433																																																																																																																																
15	ieO	iEo			1.2857142857142858	3.9523809523809526	1.2857142857142858	298.1746031746032	1.2857142857142858	298.57460317460317	1.2857142857142858	300.24126984126985	1.2857142857142858	298.24126984126985			-2	295.0	-2	297.28571428571433	-2	295.28571428571433																																																					-2	296	-2	296	-2	296	-2	296	-2	294	-2	294																																																																
16	uaa	yAA	1.2	4.7746031746031745	0	3.9523809523809526			-2	296.57460317460317	-2	298.24126984126985	-2	296.24126984126985							1.2	296.4857142857143																																																																																																																																
17	aoo	AOO	1.1428571428571428	5.917460317460318	0	3.9523809523809526	-2	296.1746031746032	-2	294.57460317460317	-2	296.24126984126985	-2	294.24126984126985					1.1428571428571428	298.4285714285715	1.1428571428571428	297.6285714285715																																																																																																																																
