trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300
1	eA	Ea	0.8571428571428571	0.8571428571428571	0	0			0.8571428571428571	300.85714285714283	0.8571428571428571	300.85714285714283	0.8571428571428571	300.85714285714283			-2	298	-2	298	-2	298																																																																																																																																
2	Iuu	iuu	0.75	1.6071428571428572	0	0							-2	298.85714285714283	0.75	300.75	0.75	298.75	0.75	298.75	0.75	298.75																																																													-2	298	-2	298																																																																
4	uIa	yia	1.1666666666666667	2.7738095238095237	0	0			-2	298.85714285714283	-2	298.85714285714283	-2	296.85714285714283	1.1666666666666667	301.9166666666667	1.1666666666666667	299.9166666666667	1.1666666666666667	299.9166666666667	1.1666666666666667	299.9166666666667																															-2	298															-2	298													-2	296	-2	296																																																																
7	iAy	iau			0.8571428571428571	0.8571428571428571			0.8571428571428571	299.71428571428567	0.8571428571428571	299.71428571428567	0.8571428571428571	297.71428571428567							-2	297.9166666666667																																																													-2	294	-2	294																																																																
9	Oi	oi	1.0909090909090908	3.8647186147186146	0	0.8571428571428571	1.0909090909090908	301.09090909090907	1.0909090909090908	300.80519480519473	1.0909090909090908	300.80519480519473	1.0909090909090908	298.80519480519473					-2	297.9166666666667	-2	295.9166666666667																																																																																																													-2	298	-2	298													-2	298	-2	298
14	oi	Oi	0.7272727272727273	4.591991341991342	0	0.8571428571428571	-2	299.09090909090907	-2	298.80519480519473	-2	298.80519480519473	-2	296.80519480519473					0.7272727272727273	298.64393939393943	0.7272727272727273	296.64393939393943																																																																																																													0.7272727272727273	298.72727272727275	0.7272727272727273	298.72727272727275													0.7272727272727273	298.72727272727275	0.7272727272727273	298.72727272727275
15	uIo	yio	1.375	5.966991341991342	0	0.8571428571428571			-2	296.80519480519473	-2	296.80519480519473	-2	294.80519480519473	1.375	303.2916666666667	1.375	301.2916666666667	1.375	300.01893939393943	1.375	298.01893939393943																											-2	298			-2	296											-2	298			-2	296									-2	298	-2	298	-2	292	-2	292																																																																
16	yOi	uoi	1.0909090909090908	7.057900432900433	0	0.8571428571428571	1.0909090909090908	300.18181818181813	1.0909090909090908	297.8961038961038	1.0909090909090908	297.8961038961038	1.0909090909090908	295.8961038961038					-2	298.01893939393943	-2	296.01893939393943																																																																																																													-2	296.72727272727275	-2	296.72727272727275													-2	296.72727272727275	-2	296.72727272727275
17	eAy	eau			1.1111111111111112	1.9682539682539684			1.1111111111111112	299.0072150072149	1.1111111111111112	299.0072150072149	1.1111111111111112	297.0072150072149							-2	294.01893939393943																																													-2	298	-2	294													-2	290	-2	290																																																																
20	oai	Oai	1.411764705882353	8.469665138782785	0	1.9682539682539684	-2	298.18181818181813	-2	297.0072150072149	-2	297.0072150072149	-2	295.0072150072149					1.411764705882353	299.4307040998218	1.411764705882353	295.4307040998218													-2	298	-2	298													-2	298	-2	294													-2	296	-2	292													-2	288	-2	288																																															1.411764705882353	298.1390374331551															1.411764705882353	298.1390374331551
