trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300
7	Aiy	aiu	1.1111111111111112	1.1111111111111112	0	0			1.1111111111111112	301.1111111111111	1.1111111111111112	301.1111111111111	1.1111111111111112	301.1111111111111							-2	298																																																													-2	298	-2	298																																																													-2	298	-2	298
8	Ioa	iOA	0.8888888888888888	2.0	0	0	-2	298	-2	299.1111111111111	-2	299.1111111111111	-2	299.1111111111111	0.8888888888888888	300.8888888888889	0.8888888888888888	300.8888888888889	0.8888888888888888	300.8888888888889	0.8888888888888888	298.8888888888889																																																																																																																																
9	au	Ay	1.2	3.2	0	0			-2	297.1111111111111	-2	297.1111111111111	-2	297.1111111111111							1.2	300.0888888888889																																																																																																																																
11	yOy	uou	0.5714285714285714	3.7714285714285714	0	0	0.5714285714285714	298.57142857142856	0.5714285714285714	297.68253968253964	0.5714285714285714	297.68253968253964	0.5714285714285714	297.68253968253964					-2	298.8888888888889	-2	298.0888888888889																																																																																																																																
13	eAi	Eai	1.2727272727272727	5.044155844155844	0	0			1.2727272727272727	298.9552669552669	1.2727272727272727	298.9552669552669	1.2727272727272727	298.9552669552669			-2	298.8888888888889	-2	296.8888888888889	-2	296.0888888888889																																																																																															-2	298															-2	298													-2	296	-2	296
14	aIE	Aie	0.75	5.794155844155844	0	0			-2	296.9552669552669	-2	296.9552669552669	-2	296.9552669552669	0.75	301.6388888888889	0.75	299.6388888888889	0.75	297.6388888888889	0.75	296.8388888888889																																																																																																																																
15	iie	IiE	1.7142857142857142	7.508441558441558	0	0					1.7142857142857142	298.6695526695526	1.7142857142857142	298.6695526695526	-2	299.6388888888889	-2	297.6388888888889	-2	295.6388888888889	-2	294.8388888888889																																																					-2	298	-2	298	-2	298	-2	298	-2	296	-2	296													-2	298	-2	298													-2	298	-2	296													-2	298	-2	296													-2	294	-2	294
17	uaa	yAA	1.2	8.708441558441558	0	0			-2	294.9552669552669	-2	296.6695526695526	-2	296.6695526695526							1.2	296.0388888888889																																																																																																																																
18	aie	aiE			1.3846153846153846	1.3846153846153846					1.3846153846153846	298.054168054168	1.3846153846153846	298.054168054168			-2	295.6388888888889	-2	293.6388888888889	-2	294.0388888888889																																																					-2	296	-2	296	-2	296	-2	296	-2	294	-2	294																																																											1.3846153846153846	301.38461538461536				
19	EIo	Eio			1.375	2.7596153846153846							-2	296.054168054168	1.375	301.0138888888889	1.375	297.0138888888889	1.375	295.0138888888889	1.375	295.4138888888889																																																									-2	294	-2	294	-2	292	-2	292																													-2	296	-2	294													-2	296	-2	294													-2	292	-2	292
20	iou	iOy			0.7272727272727273	3.4868881118881117	-2	296.57142857142856	-2	292.9552669552669	-2	296.054168054168	-2	294.054168054168					0.7272727272727273	295.74116161616166	0.7272727272727273	296.14116161616164																																																									0.7272727272727273	294.72727272727275	0.7272727272727273	294.72727272727275	0.7272727272727273	292.72727272727275	0.7272727272727273	292.72727272727275																																																																
21	iuo	iyO			0.8	4.2868881118881115	-2	294.57142857142856	-2	290.9552669552669	-2	294.054168054168	-2	292.054168054168					0.8	296.5411616161617	0.8	296.94116161616165																																																											0.8	295.52727272727276	0.8	293.52727272727276	0.8	293.52727272727276																																																																
24	iio	iiO			0.7272727272727273	5.014160839160839	-2	292.57142857142856	-2	288.9552669552669	-2	292.054168054168	-2	290.054168054168					0.7272727272727273	297.2684343434344	0.7272727272727273	297.6684343434344																																																									0.7272727272727273	295.4545454545455	0.7272727272727273	296.2545454545455	0.7272727272727273	294.2545454545455	0.7272727272727273	294.2545454545455																																																																
29	Aee	aEE	0.8571428571428571	9.565584415584416	0	5.014160839160839			0.8571428571428571	289.8124098124097	0.8571428571428571	292.9113109113108	0.8571428571428571	290.9113109113108			-2	295.0138888888889	-2	295.2684343434344	-2	295.6684343434344																																																																																																																																
31	ii	Ii	1.7142857142857142	11.27987012987013	0	5.014160839160839							1.7142857142857142	292.62559662559653	-2	299.0138888888889	-2	293.0138888888889	-2	293.2684343434344	-2	293.6684343434344																																																																													-2	296	-2	296													-2	294	-2	292													-2	294	-2	292													-2	290	-2	290
32	iOy	Iou	0.8888888888888888	12.168759018759019	0	5.014160839160839	0.8888888888888888	293.46031746031747	0.8888888888888888	290.70129870129864	0.8888888888888888	293.8001998001997	0.8888888888888888	293.51448551448544	-2	297.0138888888889	-2	291.0138888888889	-2	291.2684343434344	-2	291.6684343434344																																																																																																																																
33	uaa	yAA	1.2	13.368759018759018	0	5.014160839160839			-2	288.70129870129864	-2	291.8001998001997	-2	291.51448551448544							1.2	292.8684343434344																																																																																																																																
35	ii	Ii	1.7142857142857142	15.083044733044732	0	5.014160839160839							1.7142857142857142	293.22877122877117	-2	295.0138888888889	-2	289.0138888888889	-2	289.2684343434344	-2	290.8684343434344																																																																													-2	294	-2	294													-2	292	-2	290													-2	292	-2	290													-2	288	-2	288
37	ieA	IEa	1.0	16.08304473304473	0	5.014160839160839			1.0	289.70129870129864	1.0	292.8001998001997	1.0	294.22877122877117	-2	293.0138888888889	-2	287.0138888888889	-2	287.2684343434344	-2	288.8684343434344																																																																																																																																
38	ouE	Oye	1.0	17.08304473304473	0	5.014160839160839	-2	291.46031746031747	-2	287.70129870129864	-2	290.8001998001997	-2	292.22877122877117			1.0	288.0138888888889	1.0	288.2684343434344	1.0	289.8684343434344																																																																																																																																
39	IIa	iiA	0.75	17.83304473304473	0	5.014160839160839			-2	285.70129870129864	-2	288.8001998001997	-2	290.22877122877117	0.75	293.7638888888889	0.75	288.7638888888889	0.75	289.0184343434344	0.75	290.6184343434344																																																																																																																																
43	iAA	iaa			0.8571428571428571	5.871303696303696			0.8571428571428571	286.5584415584415	0.8571428571428571	289.65734265734255	0.8571428571428571	291.085914085914							-2	288.6184343434344																																																													-2	292.2545454545455	-2	292.2545454545455																																																																
44	EEa	eeA	0.8571428571428571	18.690187590187588	0	5.871303696303696			-2	284.5584415584415	-2	287.65734265734255	-2	289.085914085914			0.8571428571428571	289.62103174603175	0.8571428571428571	289.87557720057725	0.8571428571428571	289.4755772005772																																																																																																																																
46	ey	Eu	0.8571428571428571	19.547330447330445	0	5.871303696303696			0.8571428571428571	285.4155844155843	0.8571428571428571	288.5144855144854	0.8571428571428571	289.94305694305683			-2	287.62103174603175	-2	287.87557720057725	-2	287.4755772005772																																																																																																																																
47	yO	uo	0.5714285714285714	20.118759018759018	0	5.871303696303696	0.5714285714285714	292.031746031746	0.5714285714285714	285.98701298701286	0.5714285714285714	289.08591408591394	0.5714285714285714	290.5144855144854					-2	285.87557720057725	-2	285.4755772005772																																																																																																																																
49	iyi	Iui	1.3846153846153846	21.5033744033744	0	5.871303696303696			1.3846153846153846	287.3716283716282	1.3846153846153846	290.4705294705293	1.3846153846153846	291.89910089910074	-2	291.7638888888889	-2	285.62103174603175	-2	283.87557720057725	-2	283.4755772005772																																																																															-2	292															-2	288															-2	288													-2	286	-2	286
52	uoo	yOO	1.1428571428571428	22.646231546231544	0	5.871303696303696	-2	290.031746031746	-2	285.3716283716282	-2	288.4705294705293	-2	289.89910089910074					1.1428571428571428	285.0184343434344	1.1428571428571428	284.6184343434344																																																																																																																																
54	iey	iEu			1.3846153846153846	7.25591908091908			1.3846153846153846	286.7562437562436	1.3846153846153846	289.85514485514466	1.3846153846153846	291.2837162837161			-2	283.62103174603175	-2	283.0184343434344	-2	282.6184343434344																																																					-2	294	-2	294	-2	293.4545454545455	-2	294.2545454545455	-2	290.2545454545455	-2	290.2545454545455																																																																
56	oII	oii			1.0	8.25591908091908							-2	289.2837162837161	1.0	292.7638888888889	1.0	284.62103174603175	1.0	284.0184343434344	1.0	283.6184343434344																																																																																																													-2	290	-2	286													-2	284	-2	284
57	iaa	iAA			0.8571428571428571	9.113061938061938			-2	284.7562437562436	-2	287.85514485514466	-2	287.2837162837161							0.8571428571428571	284.4755772005772																																																													0.8571428571428571	291.11168831168834	0.8571428571428571	291.11168831168834																																																																
59	ou	Oy	1.1428571428571428	23.789088689088686	0	9.113061938061938	-2	288.031746031746	-2	282.7562437562436	-2	285.85514485514466	-2	285.2837162837161					1.1428571428571428	285.1612914862916	1.1428571428571428	285.6184343434344																																																																																																																																
60	aau	AAy	1.2	24.989088689088685	0	9.113061938061938			-2	280.7562437562436	-2	283.85514485514466	-2	283.2837162837161							1.2	286.8184343434344																																																																																																																																
63	auo	AyO	1.1428571428571428	26.131945831945828	0	9.113061938061938	-2	286.031746031746	-2	278.7562437562436	-2	281.85514485514466	-2	281.2837162837161					1.1428571428571428	286.30414862914876	1.1428571428571428	287.96129148629154																																																																																																																																
65	iAA	iaa			0.8571428571428571	9.970204795204795			0.8571428571428571	279.6133866133864	0.8571428571428571	282.7122877122875	0.8571428571428571	282.14085914085894							-2	285.96129148629154																																																													-2	289.11168831168834	-2	289.11168831168834																																																																
66	Aey	aEu	0.8571428571428571	26.989088689088685	0	9.970204795204795			0.8571428571428571	280.47052947052924	0.8571428571428571	283.5694305694303	0.8571428571428571	282.99800199800177			-2	282.62103174603175	-2	284.30414862914876	-2	283.96129148629154																																																																																																																																
69	iyO	iuo			1.0	10.970204795204795	1.0	287.031746031746	1.0	281.47052947052924	1.0	284.5694305694303	1.0	283.99800199800177					-2	282.30414862914876	-2	281.96129148629154																																																											-2	292.2545454545455	-2	287.11168831168834	-2	287.11168831168834																																																																
