trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		82.27272727272727		96.81818181818181		104.0909090909091		111.36363636363637		82.27272727272727		89.54545454545455		96.81818181818181		111.36363636363637		75.47727272727273		75.68181818181819		75.95454545454545		76.36363636363636		76.43181818181819		77.04545454545455		77.38636363636364		78.4090909090909		76.43181818181819		76.9090909090909		77.86363636363636		78.81818181818181		79.29545454545455		80.72727272727273		82.1590909090909		84.54545454545455		76.9090909090909		77.45454545454545		78.81818181818181		79.9090909090909		80.72727272727273		82.36363636363636		84.54545454545455		87.27272727272728		77.38636363636364		77.95454545454545		79.77272727272728		80.9090909090909		82.1590909090909		83.86363636363636		86.93181818181819		89.77272727272728		75.47727272727273		75.68181818181819		76.43181818181819		76.9090909090909		76.9090909090909		77.45454545454545		77.38636363636364		77.95454545454545		75.95454545454545		76.36363636363636		77.86363636363636		78.81818181818181		78.81818181818181		79.9090909090909		79.77272727272728		80.9090909090909		76.43181818181819		77.04545454545455		79.29545454545455		80.72727272727273		80.72727272727273		82.36363636363636		82.1590909090909		83.86363636363636		77.38636363636364		78.4090909090909		82.1590909090909		84.54545454545455		84.54545454545455		87.27272727272728		86.93181818181819		89.77272727272728
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	yyi	uui	0.4	20.4	0	0			0.4	97.21818181818182	0.4	104.4909090909091	0.4	111.76363636363638							-2	109.36363636363637																																																																																																																													-2	84.93181818181819	-2	87.77272727272728
2	uIo	uio			0.3333333333333333	0.3333333333333333							-2	109.76363636363638	0.3333333333333333	82.6060606060606	0.3333333333333333	89.87878787878788	0.3333333333333333	97.15151515151514	0.3333333333333333	109.6969696969697																																																									-2	80.1590909090909	-2	81.86363636363636	-2	84.93181818181819	-2	87.77272727272728																																																													-2	82.93181818181819	-2	85.77272727272728
4	Eua	eyA	0.4	20.799999999999997	0	0.3333333333333333			-2	95.21818181818182	-2	102.4909090909091	-2	107.76363636363638			0.4	90.27878787878788	0.4	97.55151515151515	0.4	110.09696969696971																																																																																																																																
5	iOy	iou			0.3333333333333333	0.6666666666666666	0.3333333333333333	82.6060606060606	0.3333333333333333	95.55151515151515	0.3333333333333333	102.82424242424243	0.3333333333333333	108.09696969696971					-2	95.55151515151515	-2	108.09696969696971																																																									-2	78.1590909090909	-2	79.86363636363636	-2	82.93181818181819	-2	85.77272727272728																																																																
7	Euu	eyy	0.4	21.199999999999996	0	0.6666666666666666			-2	93.55151515151515	-2	100.82424242424243	-2	106.09696969696971			0.4	90.67878787878789	0.4	95.95151515151515	0.4	108.49696969696971																																																																																																																																
9	Io	iO	0.3333333333333333	21.533333333333328	0	0.6666666666666666	-2	80.6060606060606	-2	91.55151515151515	-2	98.82424242424243	-2	104.09696969696971	0.3333333333333333	82.93939393939392	0.3333333333333333	91.01212121212122	0.3333333333333333	96.28484848484848	0.3333333333333333	108.83030303030304																																																																																																																																
10	ey	eu			0.4	1.0666666666666667			0.4	91.95151515151515	0.4	99.22424242424243	0.4	104.49696969696971							-2	106.83030303030304																																													-2	82.54545454545455	-2	85.27272727272728													-2	80.93181818181819	-2	83.77272727272728																																																																
11	ye	ue	0.4	21.933333333333326	0	1.0666666666666667			0.4	92.35151515151516	0.4	99.62424242424244	0.4	104.89696969696972							-2	104.83030303030304																																																																																																																									-2	82.54545454545455	-2	85.27272727272728	-2	80.93181818181819	-2	83.77272727272728
12	aoE	aoe			0.4	1.4666666666666668					-2	97.62424242424244	-2	102.89696969696972			0.4	91.41212121212122	0.4	96.68484848484849	0.4	105.23030303030305																																																																																																									-2	78.72727272727273	-2	80.36363636363636	-2	80.1590909090909	-2	81.86363636363636									-2	80.54545454545455	-2	83.27272727272728	-2	78.93181818181819	-2	81.77272727272728
13	EEa	eeA	0.4	22.333333333333325	0	1.4666666666666668			-2	90.35151515151516	-2	95.62424242424244	-2	100.89696969696972			0.4	91.81212121212123	0.4	97.0848484848485	0.4	105.63030303030305																																																																																																																																
20	ou	Oy	0.5	22.833333333333325	0	1.4666666666666668	-2	78.6060606060606	-2	88.35151515151516	-2	93.62424242424244	-2	98.89696969696972					0.5	97.5848484848485	0.5	106.13030303030305																																																																																																																																
22	iOe	ioe			0.3333333333333333	1.8	0.3333333333333333	78.93939393939392	0.3333333333333333	88.68484848484849	0.3333333333333333	93.95757575757577	0.3333333333333333	99.23030303030305					-2	95.5848484848485	-2	104.13030303030305																																																									-2	76.1590909090909	-2	77.86363636363636	-2	78.93181818181819	-2	81.77272727272728																																									-2	76.72727272727273	-2	78.36363636363636	-2	78.1590909090909	-2	79.86363636363636									-2	78.54545454545455	-2	81.27272727272728	-2	76.93181818181819	-2	79.77272727272728
24	OOO	ooo	0.3333333333333333	23.166666666666657	0	1.8	0.3333333333333333	79.27272727272725	0.3333333333333333	89.01818181818182	0.3333333333333333	94.2909090909091	0.3333333333333333	99.56363636363638					-2	93.5848484848485	-2	102.13030303030305																																																																																																																																
25	Aey	aeu	0.4	23.566666666666656	0	1.8			0.4	89.41818181818182	0.4	94.6909090909091	0.4	99.96363636363638							-2	100.13030303030305																																													-2	80.54545454545455	-2	83.27272727272728													-2	76.93181818181819	-2	79.77272727272728																																																									-2	76.54545454545455	-2	79.27272727272728	-2	74.93181818181819	-2	77.77272727272728
29	Eo	eO	0.4	23.966666666666654	0	1.8	-2	77.27272727272725	-2	87.41818181818182	-2	92.6909090909091	-2	97.96363636363638			0.4	92.21212121212123	0.4	93.9848484848485	0.4	100.53030303030306																																																																																																																																
30	uE	ue			0.4	2.2					-2	90.6909090909091	-2	95.96363636363638			0.4	92.61212121212124	0.4	94.3848484848485	0.4	100.93030303030307																																																																																																																									-2	74.54545454545455	-2	77.27272727272728	-2	72.93181818181819	-2	75.77272727272728
31	yAy	uau	0.4	24.366666666666653	0	2.2			0.4	87.81818181818183	0.4	91.09090909090911	0.4	96.36363636363639							-2	98.93030303030307																																																																																																																																
34	iAi	iai			0.4	2.6			0.4	88.21818181818183	0.4	91.49090909090911	0.4	96.7636363636364							-2	96.93030303030307																																																													-2	74.93181818181819	-2	77.77272727272728																																																													-2	70.93181818181819	-2	73.77272727272728
35	Euu	eyy	0.4	24.76666666666665	0	2.6			-2	86.21818181818183	-2	89.49090909090911	-2	94.7636363636364			0.4	93.01212121212124	0.4	94.78484848484851	0.4	97.33030303030307																																																																																																																																
36	iOe	ioe			0.3333333333333333	2.9333333333333336	0.3333333333333333	77.60606060606058	0.3333333333333333	86.55151515151516	0.3333333333333333	89.82424242424244	0.3333333333333333	95.09696969696972					-2	92.78484848484851	-2	95.33030303030307																																																									-2	74.1590909090909	-2	75.86363636363636	-2	72.93181818181819	-2	75.77272727272728																																									-2	74.72727272727273	-2	76.36363636363636	-2	76.1590909090909	-2	77.86363636363636									-2	72.54545454545455	-2	75.27272727272728	-2	68.93181818181819	-2	71.77272727272728
38	AeA	aea	0.4	25.16666666666665	0	2.9333333333333336			0.4	86.95151515151517	0.4	90.22424242424245	0.4	95.49696969696973							-2	93.33030303030307																																													-2	78.54545454545455	-2	81.27272727272728													-2	70.93181818181819	-2	73.77272727272728																																																									-2	70.54545454545455	-2	73.27272727272728	-2	66.93181818181819	-2	69.77272727272728
39	uI	yi	0.3333333333333333	25.499999999999982	0	2.9333333333333336			-2	84.95151515151517	-2	88.22424242424245	-2	93.49696969696973	0.3333333333333333	83.27272727272725	0.3333333333333333	93.34545454545457	0.3333333333333333	93.11818181818184	0.3333333333333333	93.6636363636364																																																																																																																																
40	auo	AyO	0.5	25.999999999999982	0	2.9333333333333336	-2	75.60606060606058	-2	82.95151515151517	-2	86.22424242424245	-2	91.49696969696973					0.5	93.61818181818184	0.5	94.1636363636364																																																																																																																																
