trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		110.78		133.6		181.45999999999998		227.34		100.0		110.84		158.8		256.88		100.0		100.0		100.0		100.0		102.16		104.1		106.46000000000001		112.0		100.0		100.0		100.0		100.0		107.0		112.7		119.98		137.38		100.0		100.0		100.0		100.0		112.92		118.75999999999999		137.68		156.04		100.0		100.0		100.0		100.0		118.58		123.6		153.86		170.64		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		102.3		103.76		104.18		106.34		100.0		100.0		100.0		100.0		107.5		110.38		114.86		119.08		100.0		100.0		100.0		100.0		118.78		124.5		137.22		146.16
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	AOO	aoo	0.3333333333333333	20.333333333333332	0	0	0.3333333333333333	111.11333333333333	0.3333333333333333	133.93333333333334	0.3333333333333333	181.79333333333332	0.3333333333333333	227.67333333333335					-2	156.8	-2	254.88																																																																																																																																
2	AAi	aai	0.4	20.73333333333333	0	0			0.4	134.33333333333334	0.4	182.19333333333333	0.4	228.07333333333335							-2	252.88																																																																																																																													-2	135.22	-2	144.16
4	OO	oo	0.3333333333333333	21.066666666666663	0	0	0.3333333333333333	111.44666666666666	0.3333333333333333	134.66666666666669	0.3333333333333333	182.52666666666667	0.3333333333333333	228.4066666666667					-2	154.8	-2	250.88																																																																																																																																
5	OOy	oou	0.3333333333333333	21.399999999999995	0	0	0.3333333333333333	111.77999999999999	0.3333333333333333	135.00000000000003	0.3333333333333333	182.86	0.3333333333333333	228.74000000000004					-2	152.8	-2	248.88																																																																																																																																
6	AA	Aa			0.4	0.4			0.4	135.40000000000003	0.4	183.26000000000002	0.4	229.14000000000004							-2	246.88																													-2	117.98	-2	135.38													-2	135.68	-2	154.04													-2	151.86	-2	168.64																																																																
7	OAO	oao	0.3333333333333333	21.733333333333327	0	0.4	0.3333333333333333	112.11333333333332	0.3333333333333333	135.73333333333338	0.3333333333333333	183.59333333333336	0.3333333333333333	229.4733333333334					-2	150.8	-2	244.88																																																																																																																																
8	Oyi	Oui			0.4	0.8			0.4	136.13333333333338	0.4	183.99333333333337	0.4	229.8733333333334							-2	242.88													-2	104.46000000000001	-2	110.0													-2	115.98	-2	133.38													-2	133.68	-2	152.04													-2	149.86	-2	166.64																																																													-2	133.22	-2	142.16
9	AeO	Aeo			0.3333333333333333	1.1333333333333333	0.3333333333333333	112.44666666666664	0.3333333333333333	136.46666666666673	0.3333333333333333	184.3266666666667	0.3333333333333333	230.20666666666673					-2	148.8	-2	240.88																											-2	110.7			-2	131.38									-2	110.92	-2	116.75999999999999	-2	131.68	-2	150.04									-2	116.58	-2	121.6	-2	147.86	-2	164.64																																																																
10	eOy	eou			0.3333333333333333	1.4666666666666666	0.3333333333333333	112.77999999999997	0.3333333333333333	136.80000000000007	0.3333333333333333	184.66000000000005	0.3333333333333333	230.54000000000008					-2	146.8	-2	238.88																																									-2	108.92	-2	114.75999999999999	-2	129.68	-2	148.04									-2	114.58	-2	119.6	-2	145.86	-2	162.64																																																																
11	Oey	oeu	0.3333333333333333	22.06666666666666	0	1.4666666666666666	0.3333333333333333	113.1133333333333	0.3333333333333333	137.1333333333334	0.3333333333333333	184.9933333333334	0.3333333333333333	230.87333333333342					-2	144.8	-2	236.88																																													-2	127.68	-2	146.04													-2	143.86	-2	160.64																																									-2	105.5	-2	108.38	-2	112.86	-2	117.08									-2	116.78	-2	122.5	-2	131.22	-2	140.16
13	yO	yo			0.3333333333333333	1.7999999999999998	0.3333333333333333	113.44666666666663	0.3333333333333333	137.46666666666675	0.3333333333333333	185.32666666666674	0.3333333333333333	231.20666666666676					-2	142.8	-2	234.88																									-2	105.0	-2	108.7	-2	113.98	-2	129.38									-2	106.92	-2	112.75999999999999	-2	125.68	-2	144.04									-2	112.58	-2	117.6	-2	141.86	-2	158.64																																																																
14	eei	Eei	0.5	22.56666666666666	0	1.7999999999999998					0.5	185.82666666666674	0.5	231.70666666666676			-2	108.84	-2	140.8	-2	232.88																																																																																									-2	100.3	-2	101.76	-2	102.18	-2	104.34									-2	103.5	-2	106.38	-2	110.86	-2	115.08									-2	114.78	-2	120.5	-2	129.22	-2	138.16
15	auE	aue			0.4	2.1999999999999997					-2	183.82666666666674	-2	229.70666666666676			0.4	109.24000000000001	0.4	141.20000000000002	0.4	233.28																																																																																																																									-2	112.78	-2	118.5	-2	127.22	-2	136.16
16	OAi	Oai			0.4	2.5999999999999996			0.4	137.86666666666676	0.4	184.22666666666674	0.4	230.10666666666677							-2	231.28													-2	102.46000000000001	-2	108.0													-2	111.98	-2	127.38													-2	123.68	-2	142.04													-2	139.86	-2	156.64																																																													-2	125.22	-2	134.16
16	Apriori	Id(Bk)Syl1>>Id(Bk)	0.0333333333333421	22.6																																																																																																																																																			
17	aEu	aeu			0.4	2.9999999999999996					-2	182.22666666666674	-2	228.10666666666677			0.4	109.64000000000001	0.4	141.60000000000002	0.4	231.68																																													-2	121.68	-2	140.04													-2	137.86	-2	154.64																																																									-2	110.78	-2	116.5	-2	123.22	-2	132.16
17	Apriori	Id(Bk)Syl1>>Id(Bk)	0.3999999999999986	23.0																																																																																																																																																			
18	AOO	Aoo			0.3333333333333333	3.333333333333333	0.3333333333333333	113.77999999999996	0.3333333333333333	138.2000000000001	0.3333333333333333	182.5600000000001	0.3333333333333333	228.4400000000001					-2	139.60000000000002	-2	229.68																									-2	103.0	-2	106.7	-2	109.98	-2	125.38									-2	104.92	-2	110.75999999999999	-2	119.68	-2	138.04									-2	110.58	-2	115.6	-2	135.86	-2	152.64																																																																
18	Apriori	Id(Bk)Syl1>>Id(Bk)	0.33333333333333215	23.333333333333332																																																																																																																																																			
19	Iu	iu	0.3333333333333333	23.666666666666664	0	3.333333333333333							-2	226.4400000000001	0.3333333333333333	100.33333333333333	0.3333333333333333	109.97333333333334	0.3333333333333333	139.93333333333337	0.3333333333333333	230.01333333333335																																																													-2	133.86	-2	150.64																																																																
20	yyi	uui	0.4	24.066666666666663	0	3.333333333333333			0.4	138.6000000000001	0.4	182.9600000000001	0.4	226.84000000000012							-2	228.01333333333335																																																																																																																													-2	121.22	-2	130.16
21	Aee	aee	0.4	24.46666666666666	0	3.333333333333333			0.4	139.0000000000001	0.4	183.3600000000001	0.4	227.24000000000012							-2	226.01333333333335																																																																																																																									-2	108.78	-2	114.5	-2	119.22	-2	128.16
22	AiA	Aia			0.4	3.733333333333333			0.4	139.40000000000012	0.4	183.7600000000001	0.4	227.64000000000013							-2	224.01333333333335																															-2	123.38															-2	136.04													-2	131.86	-2	148.64																																																																
24	eiA	eia			0.4	4.133333333333333			0.4	139.80000000000013	0.4	184.1600000000001	0.4	228.04000000000013							-2	222.01333333333335																																															-2	134.04													-2	129.86	-2	146.64																																																																
25	Ia	ia	0.3333333333333333	24.799999999999994	0	4.133333333333333							-2	226.04000000000013	0.3333333333333333	100.66666666666666	0.3333333333333333	110.30666666666667	0.3333333333333333	140.2666666666667	0.3333333333333333	222.3466666666667																																																													-2	127.86000000000001	-2	144.64																																																																
26	oIu	oiu			0.3333333333333333	4.466666666666666							-2	224.04000000000013	0.3333333333333333	100.99999999999999	0.3333333333333333	110.64	0.3333333333333333	140.60000000000005	0.3333333333333333	222.68000000000004																																																													-2	125.86000000000001	-2	142.64																																													-2	108.86	-2	113.08													-2	117.22	-2	126.16
27	AAO	Aao			0.3333333333333333	4.799999999999999	0.3333333333333333	114.11333333333329	0.3333333333333333	140.13333333333347	0.3333333333333333	184.49333333333345	0.3333333333333333	224.37333333333348					-2	138.60000000000005	-2	220.68000000000004																											-2	104.7	-2	107.98	-2	121.38											-2	108.75999999999999	-2	117.68	-2	132.04											-2	113.6	-2	123.86000000000001	-2	140.64																																																																
28	Ia	ia	0.3333333333333333	25.133333333333326	0	4.799999999999999							-2	222.37333333333348	0.3333333333333333	101.33333333333331	0.3333333333333333	110.97333333333333	0.3333333333333333	138.9333333333334	0.3333333333333333	221.01333333333338																																																													-2	121.86000000000001	-2	138.64																																																																
30	II	ii	0.3333333333333333	25.466666666666658	0	4.799999999999999							-2	220.37333333333348	0.3333333333333333	101.66666666666664	0.3333333333333333	111.30666666666666	0.3333333333333333	139.26666666666674	0.3333333333333333	221.34666666666672																																																																																																																																
31	yye	yue			0.4	5.199999999999999			0.4	140.53333333333347	0.4	184.89333333333346	0.4	220.77333333333348							-2	219.34666666666672																													-2	105.98	-2	119.38													-2	115.68	-2	130.04													-2	119.86000000000001	-2	136.64																																																									-2	106.78	-2	112.5	-2	115.22	-2	124.16
32	aIa	Aia	0.3333333333333333	25.79999999999999	0	5.199999999999999			-2	138.53333333333347	-2	182.89333333333346	-2	218.77333333333348	0.3333333333333333	101.99999999999997	0.3333333333333333	111.63999999999999	0.3333333333333333	139.60000000000008	0.3333333333333333	219.68000000000006																															-2	117.38															-2	128.04													-2	117.86000000000001	-2	134.64																																																																
33	yAy	yau			0.4	5.6			0.4	138.93333333333348	0.4	183.29333333333346	0.4	219.1733333333335							-2	217.68000000000006																													-2	103.98	-2	115.38													-2	113.68	-2	126.03999999999999													-2	115.86000000000001	-2	132.64																																																																
34	EIa	eia	0.3333333333333333	26.133333333333322	0	5.6					-2	181.29333333333346	-2	217.1733333333335	0.3333333333333333	102.3333333333333	0.3333333333333333	111.97333333333331	0.3333333333333333	139.93333333333342	0.3333333333333333	218.0133333333334																																															-2	124.03999999999999													-2	113.86000000000001	-2	130.64																																																																
35	Aei	aei	0.4	26.53333333333332	0	5.6			0.4	139.33333333333348	0.4	181.69333333333347	0.4	217.5733333333335							-2	216.0133333333334																																																																																																																									-2	104.78	-2	110.5	-2	113.22	-2	122.16
36	uuE	yue	0.4	26.93333333333332	0	5.6			-2	137.33333333333348	-2	179.69333333333347	-2	215.5733333333335			0.4	112.37333333333332	0.4	140.33333333333343	0.4	216.4133333333334																													-2	101.98	-2	113.38													-2	111.68	-2	122.03999999999999													-2	111.86000000000001	-2	128.64																																																									-2	102.78	-2	108.5	-2	111.22	-2	120.16
37	yyy	uuu	0.4	27.333333333333318	0	5.6			0.4	137.7333333333335	0.4	180.09333333333348	0.4	215.9733333333335							-2	214.4133333333334																																																																																																																																
39	uE	ue			0.4	6.0					-2	178.09333333333348	-2	213.9733333333335			0.4	112.77333333333333	0.4	140.73333333333343	0.4	214.81333333333342																																																																																																																									-2	100.78	-2	106.5	-2	109.22	-2	118.16
40	aIu	Aiu	0.3333333333333333	27.66666666666665	0	6.0			-2	135.7333333333335	-2	176.09333333333348	-2	211.9733333333335	0.3333333333333333	102.66666666666663	0.3333333333333333	113.10666666666665	0.3333333333333333	141.06666666666678	0.3333333333333333	215.14666666666676																															-2	111.38															-2	120.03999999999999													-2	109.86000000000001	-2	126.63999999999999																																																																
