			Id(Bk)Syl1	Id(Bk)	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
			Id(Bk)Syl1	Id(Bk)	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
OO	OO	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	Oo		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	oO		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	oo		 1 	 2 	 0 	 0 	 0 	 0 	 0 
OA	OA	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	Oa		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	oA		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	oa		 1 	 2 	 0 	 0 	 0 	 0 	 0 
Oy	Oy	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	Ou		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	oy		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	ou		 1 	 2 	 0 	 0 	 0 	 0 	 0 
Oe	Oe	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	OE		 0 	 1 	 1 	 1 	 1 	 0 	 0 
	oe		 1 	 1 	 0 	 0 	 0 	 0 	 0 
	oE		 1 	 2 	 1 	 0 	 0 	 0 	 0 
Oi	Oi	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	OI		 0 	 1 	 1 	 1 	 1 	 0 	 0 
	oi		 1 	 1 	 0 	 0 	 0 	 0 	 0 
	oI		 1 	 2 	 1 	 0 	 0 	 0 	 0 
AO	AO	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	Ao		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	aO		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	ao		 1 	 2 	 0 	 0 	 0 	 0 	 0 
AA	AA	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	Aa		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	aA		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	aa		 1 	 2 	 0 	 0 	 0 	 0 	 0 
Ay	Ay	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	Au		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	ay		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	au		 1 	 2 	 0 	 0 	 0 	 0 	 0 
Ae	Ae	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	AE		 0 	 1 	 1 	 1 	 1 	 0 	 0 
	ae		 1 	 1 	 0 	 0 	 0 	 0 	 0 
	aE		 1 	 2 	 1 	 0 	 0 	 0 	 0 
Ai	Ai	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	AI		 0 	 1 	 1 	 1 	 1 	 0 	 0 
	ai		 1 	 1 	 0 	 0 	 0 	 0 	 0 
	aI		 1 	 2 	 1 	 0 	 0 	 0 	 0 
yO	yO	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	yo		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	uO		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	uo		 1 	 2 	 0 	 0 	 0 	 0 	 0 
yA	yA	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	ya		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	uA		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	ua		 1 	 2 	 0 	 0 	 0 	 0 	 0 
yy	yy	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
