			Id(Bk)Syl1	Id(Bk)	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
			Id(Bk)Syl1	Id(Bk)	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
OO	OO	 1 							
	Oo			 1 		 1 	 1 		
	oO		 1 	 1 				 1 	 1 
	oo		 1 	 2 					
OA	OA	 1 							
	Oa			 1 		 1 	 1 		
	oA		 1 	 1 				 1 	 1 
	oa		 1 	 2 					
Oy	Oy	 1 							
	Ou			 1 		 1 	 1 		
	oy		 1 	 1 				 1 	 1 
	ou		 1 	 2 					
Oe	Oe	 1 							
	OE			 1 	 1 	 1 	 1 		
	oe		 1 	 1 					
	oE		 1 	 2 	 1 				
Oi	Oi	 1 							
	OI			 1 	 1 	 1 	 1 		
	oi		 1 	 1 					
	oI		 1 	 2 	 1 				
AO	AO	 1 							
	Ao			 1 		 1 	 1 		
	aO		 1 	 1 				 1 	 1 
	ao		 1 	 2 					
AA	AA	 1 							
	Aa			 1 		 1 	 1 		
	aA		 1 	 1 				 1 	 1 
	aa		 1 	 2 					
Ay	Ay	 1 							
	Au			 1 		 1 	 1 		
	ay		 1 	 1 				 1 	 1 
	au		 1 	 2 					
Ae	Ae	 1 							
	AE			 1 	 1 	 1 	 1 		
	ae		 1 	 1 					
	aE		 1 	 2 	 1 				
Ai	Ai	 1 							
	AI			 1 	 1 	 1 	 1 		
	ai		 1 	 1 					
	aI		 1 	 2 	 1 				
yO	yO	 1 							
	yo			 1 		 1 	 1 		
	uO		 1 	 1 				 1 	 1 
	uo		 1 	 2 					
yA	yA	 1 							
	ya			 1 		 1 	 1 		
	uA		 1 	 1 				 1 	 1 
	ua		 1 	 2 					
yy	yy	 1 							
	yu			 1 		 1 	 1 		
	uy		 1 	 1 				 1 	 1 
	uu		 1 	 2 					
ye	ye	 1 							
	yE			 1 	 1 	 1 	 1 		
	ue		 1 	 1 					
	uE		 1 	 2 	 1 				
yi	yi	 1 							
	yI			 1 	 1 	 1 	 1 		
	ui		 1 	 1 					
	uI		 1 	 2 	 1 				
eO	eO	 1 							
	eo			 1 					
