			Id(Bk)Syl1	Id(Bk)	*F3	*B1	*B2
			Id(Bk)Syl1	Id(Bk)	*F3	*B1	*B2
Oe	Oe	 1 			 1 		
	OE			 1 	 1 		 1 
	oe		 1 	 1 			
	oE		 1 	 2 			 1 
Oi	Oi	 1 			 1 		
	OI			 1 	 1 	 1 	 1 
	oi		 1 	 1 			
	oI		 1 	 2 		 1 	 1 
Oo	Oo	 1 			 1 		
	OO			 1 	 2 		
	oo		 1 	 1 			
	oO		 1 	 2 	 1 		
Oa	Oa	 1 			 1 		
	OA			 1 	 2 		
	oa		 1 	 1 			
	oA		 1 	 2 	 1 		
Ou	Ou	 1 			 1 		
	Oy			 1 	 2 		
	ou		 1 	 1 			
	oy		 1 	 2 	 1 		
Ae	Ae	 1 			 1 		
	AE			 1 	 1 		 1 
	ae		 1 	 1 			
	aE		 1 	 2 			 1 
Ai	Ai	 1 			 1 		
	AI			 1 	 1 	 1 	 1 
	ai		 1 	 1 			
	aI		 1 	 2 		 1 	 1 
Ao	Ao	 1 			 1 		
	AO			 1 	 2 		
	ao		 1 	 1 			
	aO		 1 	 2 	 1 		
Aa	Aa	 1 			 1 		
	AA			 1 	 2 		
	aa		 1 	 1 			
	aA		 1 	 2 	 1 		
Au	Au	 1 			 1 		
	Ay			 1 	 2 		
	au		 1 	 1 			
	ay		 1 	 2 	 1 		
ye	ye	 1 			 1 		
	yE			 1 	 1 		 1 
	ue		 1 	 1 			
	uE		 1 	 2 			 1 
yi	yi	 1 			 1 		
	yI			 1 	 1 	 1 	 1 
	ui		 1 	 1 			
	uI		 1 	 2 		 1 	 1 
yo	yo	 1 			 1 		
	yO			 1 	 2 		
	uo		 1 	 1 			
	uO		 1 	 2 	 1 		
ya	ya	 1 			 1 		
	yA			 1 	 2 		
	ua		 1 	 1 			
	uA		 1 	 2 	 1 		
yu	yu	 1 			 1 		
	yy			 1 	 2 		
	uu		 1 	 1 			
	uy		 1 	 2 	 1 		
ee	ee	 1 					
	eE			 1 			 1 
	Ee		 1 	 1 			 1 
	EE		 1 	 2 			 2 
ei	ei	 1 					
	eI			 1 		 1 	 1 
	Ei		 1 	 1 			 1 
	EI		 1 	 2 		 1 	 2 
eo	eo	 1 					
	eO			 1 	 1 		
	Eo		 1 	 1 			 1 
	EO		 1 	 2 	 1 		 1 
ea	ea	 1 					
	eA			 1 	 1 		
	Ea		 1 	 1 			 1 
	EA		 1 	 2 	 1 		 1 
eu	eu	 1 					
	ey			 1 	 1 		
	Eu		 1 	 1 			 1 
	Ey		 1 	 2 	 1 		 1 
ie	ie	 1 					
	iE			 1 			 1 
	Ie		 1 	 1 		 1 	 1 
	IE		 1 	 2 		 1 	 2 
ii	ii	 1 					
	iI			 1 		 1 	 1 
	Ii		 1 	 1 		 1 	 1 
	II		 1 	 2 		 2 	 2 
io	io	 1 					
	iO			 1 	 1 		
	Io		 1 	 1 		 1 	 1 
	IO		 1 	 2 	 1 	 1 	 1 
ia	ia	 1 					
	iA			 1 	 1 		
	Ia		 1 	 1 		 1 	 1 
	IA		 1 	 2 	 1 	 1 	 1 
iu	iu	 1 					
	iy			 1 	 1 		
	Iu		 1 	 1 		 1 	 1 
	Iy		 1 	 2 	 1 	 1 	 1 
Ee	Ee	 1 					 1 
	EE			 1 			 2 
	ee		 1 	 1 			
	eE		 1 	 2 			 1 
Ei	Ei	 1 					 1 
	EI			 1 		 1 	 2 
	ei		 1 	 1 			
	eI		 1 	 2 		 1 	 1 
Eo	Eo	 1 					 1 
	EO			 1 	 1 		 1 
	eo		 1 	 1 			
	eO		 1 	 2 	 1 		
Ea	Ea	 1 					 1 
	EA			 1 	 1 		 1 
	ea		 1 	 1 			
	eA		 1 	 2 	 1 		
Eu	Eu	 1 					 1 
	Ey			 1 	 1 		 1 
	eu		 1 	 1 			
	ey		 1 	 2 	 1 		
oe	oe	 1 					
	oE			 1 			 1 
	Oe		 1 	 1 	 1 		
	OE		 1 	 2 	 1 		 1 
oi	oi	 1 					
	oI			 1 		 1 	 1 
	Oi		 1 	 1 	 1 		
	OI		 1 	 2 	 1 	 1 	 1 
oo	oo	 1 					
	oO			 1 	 1 		
	Oo		 1 	 1 	 1 		
	OO		 1 	 2 	 2 		
oa	oa	 1 					
	oA			 1 	 1 		
	Oa		 1 	 1 	 1 		
	OA		 1 	 2 	 2 		
ou	ou	 1 					
	oy			 1 	 1 		
	Ou		 1 	 1 	 1 		
	Oy		 1 	 2 	 2 		
ae	ae	 1 					
	aE			 1 			 1 
	Ae		 1 	 1 	 1 		
	AE		 1 	 2 	 1 		 1 
ai	ai	 1 					
	aI			 1 		 1 	 1 
	Ai		 1 	 1 	 1 		
	AI		 1 	 2 	 1 	 1 	 1 
ao	ao	 1 					
	aO			 1 	 1 		
	Ao		 1 	 1 	 1 		
	AO		 1 	 2 	 2 		
aa	aa	 1 					
	aA			 1 	 1 		
	Aa		 1 	 1 	 1 		
	AA		 1 	 2 	 2 		
au	au	 1 					
	ay			 1 	 1 		
	Au		 1 	 1 	 1 		
	Ay		 1 	 2 	 2 		
ue	ue	 1 					
	uE			 1 			 1 
	ye		 1 	 1 	 1 		
	yE		 1 	 2 	 1 		 1 
ui	ui	 1 					
	uI			 1 		 1 	 1 
	yi		 1 	 1 	 1 		
	yI		 1 	 2 	 1 	 1 	 1 
uo	uo	 1 					
	uO			 1 	 1 		
	yo		 1 	 1 	 1 		
	yO		 1 	 2 	 2 		
ua	ua	 1 					
	uA			 1 	 1 		
	ya		 1 	 1 	 1 		
	yA		 1 	 2 	 2 		
uu	uu	 1 					
	uy			 1 	 1 		
	yu		 1 	 1 	 1 		
	yy		 1 	 2 	 2 		
Oee	Oee	 1 			 1 		
	OeE			 1 	 1 		 1 
	OEE			 2 	 1 		 2 
	oee		 1 	 1 			
	oeE		 1 	 2 			 1 
	oEE		 1 	 3 			 2 
Oei	Oei	 1 			 1 		
	OeI			 1 	 1 	 1 	 1 
	OEi			 1 	 1 		 1 
	OEI			 2 	 1 	 1 	 2 
	oei		 1 	 1 			
	oeI		 1 	 2 		 1 	 1 
	oEi		 1 	 2 			 1 
	oEI		 1 	 3 		 1 	 2 
Oeo	Oeo	 1 			 1 		
	OeO			 1 	 2 		
	OEo			 1 	 1 		 1 
	OEO			 2 	 2 		 1 
	oeo		 1 	 1 			
	oeO		 1 	 2 	 1 		
	oEo		 1 	 2 			 1 
	oEO		 1 	 3 	 1 		 1 
Oea	Oea	 1 			 1 		
	OeA			 1 	 2 		
	OEa			 1 	 1 		 1 
	OEA			 2 	 2 		 1 
	oea		 1 	 1 			
	oeA		 1 	 2 	 1 		
	oEa		 1 	 2 			 1 
	oEA		 1 	 3 	 1 		 1 
Oeu	Oeu	 1 			 1 		
	Oey			 1 	 2 		
	OEu			 1 	 1 		 1 
	OEy			 2 	 2 		 1 
	oeu		 1 	 1 			
	oey		 1 	 2 	 1 		
	oEu		 1 	 2 			 1 
	oEy		 1 	 3 	 1 		 1 
Oie	Oie	 1 			 1 		
	OiE			 1 	 1 		 1 
	OIe			 1 	 1 	 1 	 1 
	OIE			 2 	 1 	 1 	 2 
	oie		 1 	 1 			
	oiE		 1 	 2 			 1 
	oIe		 1 	 2 		 1 	 1 
	oIE		 1 	 3 		 1 	 2 
Oii	Oii	 1 			 1 		
	OiI			 1 	 1 	 1 	 1 
	OII			 2 	 1 	 2 	 2 
	oii		 1 	 1 			
	oiI		 1 	 2 		 1 	 1 
	oII		 1 	 3 		 2 	 2 
Oio	Oio	 1 			 1 		
	OiO			 1 	 2 		
	OIo			 1 	 1 	 1 	 1 
	OIO			 2 	 2 	 1 	 1 
	oio		 1 	 1 			
	oiO		 1 	 2 	 1 		
	oIo		 1 	 2 		 1 	 1 
	oIO		 1 	 3 	 1 	 1 	 1 
Oia	Oia	 1 			 1 		
	OiA			 1 	 2 		
	OIa			 1 	 1 	 1 	 1 
	OIA			 2 	 2 	 1 	 1 
	oia		 1 	 1 			
	oiA		 1 	 2 	 1 		
	oIa		 1 	 2 		 1 	 1 
	oIA		 1 	 3 	 1 	 1 	 1 
Oiu	Oiu	 1 			 1 		
	Oiy			 1 	 2 		
	OIu			 1 	 1 	 1 	 1 
	OIy			 2 	 2 	 1 	 1 
	oiu		 1 	 1 			
	oiy		 1 	 2 	 1 		
	oIu		 1 	 2 		 1 	 1 
	oIy		 1 	 3 	 1 	 1 	 1 
Ooe	Ooe	 1 			 1 		
	OoE			 1 	 1 		 1 
	OOe			 1 	 2 		
	OOE			 2 	 2 		 1 
	ooe		 1 	 1 			
	ooE		 1 	 2 			 1 
	oOe		 1 	 2 	 1 		
	oOE		 1 	 3 	 1 		 1 
Ooi	Ooi	 1 			 1 		
	OoI			 1 	 1 	 1 	 1 
	OOi			 1 	 2 		
	OOI			 2 	 2 	 1 	 1 
	ooi		 1 	 1 			
	ooI		 1 	 2 		 1 	 1 
	oOi		 1 	 2 	 1 		
	oOI		 1 	 3 	 1 	 1 	 1 
Ooo	Ooo	 1 			 1 		
	OoO			 1 	 2 		
	OOO			 2 	 3 		
	ooo		 1 	 1 			
	ooO		 1 	 2 	 1 		
	oOO		 1 	 3 	 2 		
Ooa	Ooa	 1 			 1 		
	OoA			 1 	 2 		
	OOA			 2 	 3 		
	ooa		 1 	 1 			
	ooA		 1 	 2 	 1 		
	oOA		 1 	 3 	 2 		
Oou	Oou	 1 			 1 		
	Ooy			 1 	 2 		
	OOy			 2 	 3 		
	oou		 1 	 1 			
	ooy		 1 	 2 	 1 		
	oOy		 1 	 3 	 2 		
Oae	Oae	 1 			 1 		
	OaE			 1 	 1 		 1 
	OAe			 1 	 2 		
	OAE			 2 	 2 		 1 
	oae		 1 	 1 			
	oaE		 1 	 2 			 1 
	oAe		 1 	 2 	 1 		
	oAE		 1 	 3 	 1 		 1 
Oai	Oai	 1 			 1 		
	OaI			 1 	 1 	 1 	 1 
	OAi			 1 	 2 		
	OAI			 2 	 2 	 1 	 1 
	oai		 1 	 1 			
	oaI		 1 	 2 		 1 	 1 
	oAi		 1 	 2 	 1 		
	oAI		 1 	 3 	 1 	 1 	 1 
Oao	Oao	 1 			 1 		
	OaO			 1 	 2 		
	OAO			 2 	 3 		
	oao		 1 	 1 			
	oaO		 1 	 2 	 1 		
	oAO		 1 	 3 	 2 		
Oaa	Oaa	 1 			 1 		
	OaA			 1 	 2 		
	OAA			 2 	 3 		
	oaa		 1 	 1 			
	oaA		 1 	 2 	 1 		
	oAA		 1 	 3 	 2 		
Oau	Oau	 1 			 1 		
	Oay			 1 	 2 		
	OAy			 2 	 3 		
	oau		 1 	 1 			
	oay		 1 	 2 	 1 		
	oAy		 1 	 3 	 2 		
Oue	Oue	 1 			 1 		
	OuE			 1 	 1 		 1 
	Oye			 1 	 2 		
	OyE			 2 	 2 		 1 
	oue		 1 	 1 			
	ouE		 1 	 2 			 1 
	oye		 1 	 2 	 1 		
	oyE		 1 	 3 	 1 		 1 
Oui	Oui	 1 			 1 		
	OuI			 1 	 1 	 1 	 1 
	Oyi			 1 	 2 		
	OyI			 2 	 2 	 1 	 1 
	oui		 1 	 1 			
	ouI		 1 	 2 		 1 	 1 
	oyi		 1 	 2 	 1 		
	oyI		 1 	 3 	 1 	 1 	 1 
Ouo	Ouo	 1 			 1 		
	OuO			 1 	 2 		
	OyO			 2 	 3 		
	ouo		 1 	 1 			
	ouO		 1 	 2 	 1 		
	oyO		 1 	 3 	 2 		
Oua	Oua	 1 			 1 		
	OuA			 1 	 2 		
	OyA			 2 	 3 		
	oua		 1 	 1 			
	ouA		 1 	 2 	 1 		
	oyA		 1 	 3 	 2 		
Ouu	Ouu	 1 			 1 		
	Ouy			 1 	 2 		
	Oyy			 2 	 3 		
	ouu		 1 	 1 			
	ouy		 1 	 2 	 1 		
	oyy		 1 	 3 	 2 		
Aee	Aee	 1 			 1 		
	AeE			 1 	 1 		 1 
	AEE			 2 	 1 		 2 
	aee		 1 	 1 			
	aeE		 1 	 2 			 1 
	aEE		 1 	 3 			 2 
Aei	Aei	 1 			 1 		
	AeI			 1 	 1 	 1 	 1 
	AEi			 1 	 1 		 1 
	AEI			 2 	 1 	 1 	 2 
	aei		 1 	 1 			
	aeI		 1 	 2 		 1 	 1 
	aEi		 1 	 2 			 1 
	aEI		 1 	 3 		 1 	 2 
Aeo	Aeo	 1 			 1 		
	AeO			 1 	 2 		
	AEo			 1 	 1 		 1 
	AEO			 2 	 2 		 1 
	aeo		 1 	 1 			
	aeO		 1 	 2 	 1 		
	aEo		 1 	 2 			 1 
	aEO		 1 	 3 	 1 		 1 
Aea	Aea	 1 			 1 		
	AeA			 1 	 2 		
	AEa			 1 	 1 		 1 
	AEA			 2 	 2 		 1 
	aea		 1 	 1 			
	aeA		 1 	 2 	 1 		
	aEa		 1 	 2 			 1 
	aEA		 1 	 3 	 1 		 1 
Aeu	Aeu	 1 			 1 		
	Aey			 1 	 2 		
	AEu			 1 	 1 		 1 
	AEy			 2 	 2 		 1 
	aeu		 1 	 1 			
	aey		 1 	 2 	 1 		
	aEu		 1 	 2 			 1 
	aEy		 1 	 3 	 1 		 1 
Aie	Aie	 1 			 1 		
	AiE			 1 	 1 		 1 
	AIe			 1 	 1 	 1 	 1 
	AIE			 2 	 1 	 1 	 2 
	aie		 1 	 1 			
	aiE		 1 	 2 			 1 
	aIe		 1 	 2 		 1 	 1 
	aIE		 1 	 3 		 1 	 2 
Aii	Aii	 1 			 1 		
	AiI			 1 	 1 	 1 	 1 
	AII			 2 	 1 	 2 	 2 
	aii		 1 	 1 			
	aiI		 1 	 2 		 1 	 1 
	aII		 1 	 3 		 2 	 2 
Aio	Aio	 1 			 1 		
	AiO			 1 	 2 		
	AIo			 1 	 1 	 1 	 1 
	AIO			 2 	 2 	 1 	 1 
	aio		 1 	 1 			
	aiO		 1 	 2 	 1 		
	aIo		 1 	 2 		 1 	 1 
	aIO		 1 	 3 	 1 	 1 	 1 
Aia	Aia	 1 			 1 		
	AiA			 1 	 2 		
	AIa			 1 	 1 	 1 	 1 
	AIA			 2 	 2 	 1 	 1 
	aia		 1 	 1 			
	aiA		 1 	 2 	 1 		
	aIa		 1 	 2 		 1 	 1 
	aIA		 1 	 3 	 1 	 1 	 1 
Aiu	Aiu	 1 			 1 		
	Aiy			 1 	 2 		
	AIu			 1 	 1 	 1 	 1 
	AIy			 2 	 2 	 1 	 1 
	aiu		 1 	 1 			
	aiy		 1 	 2 	 1 		
	aIu		 1 	 2 		 1 	 1 
	aIy		 1 	 3 	 1 	 1 	 1 
Aoe	Aoe	 1 			 1 		
	AoE			 1 	 1 		 1 
	AOe			 1 	 2 		
	AOE			 2 	 2 		 1 
	aoe		 1 	 1 			
