trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
1	OyO	ouo	0.4	0.4	0	0	0.4	100.4	0.4	100.4	0.4	100.4	0.4	100.4					-2	98	-2	98																																																																																																																																
2	aaI	aai			0.4	0.4							-2	98.4	0.4	100.4	0.4	100.4	0.4	98.4	0.4	98.4																																																																																																																													-2	98	-2	98
3	ou	Oy	0.6666666666666666	1.0666666666666667	0	0.4	-2	98.4	-2	98.4	-2	98.4	-2	96.4					0.6666666666666666	99.06666666666668	0.6666666666666666	99.06666666666668																																																																																																																																
4	Iou	iou	0.4	1.4666666666666668	0	0.4							-2	94.4	0.4	100.80000000000001	0.4	100.80000000000001	0.4	99.46666666666668	0.4	99.46666666666668																																																									-2	98	-2	98	-2	98	-2	98																																																																
7	uoE	yOe	0.5	1.9666666666666668	0	0.4	-2	96.4	-2	96.4	-2	96.4	-2	92.4			0.5	101.30000000000001	0.5	99.96666666666668	0.5	99.96666666666668																																																																																																																																
9	yAO	uao	0.4	2.3666666666666667	0	0.4	0.4	96.80000000000001	0.4	96.80000000000001	0.4	96.80000000000001	0.4	92.80000000000001					-2	97.96666666666668	-2	97.96666666666668																																																																																																																																
10	ai	Ai	0.5	2.8666666666666667	0	0.4			-2	94.80000000000001	-2	94.80000000000001	-2	90.80000000000001							0.5	98.46666666666668																																																																																																																													0.5	98.5	0.5	98.5
11	au	Ay	1.0	3.8666666666666667	0	0.4			-2	92.80000000000001	-2	92.80000000000001	-2	88.80000000000001							1.0	99.46666666666668																																																																																																																																
17	eiA	eia			0.5	0.9			0.5	93.30000000000001	0.5	93.30000000000001	0.5	89.30000000000001							-2	97.46666666666668																																															-2	98													-2	96	-2	96																																																																
23	eeA	eea			0.5	1.4			0.5	93.80000000000001	0.5	93.80000000000001	0.5	89.80000000000001							-2	95.46666666666668																																													-2	98	-2	96													-2	94	-2	94																																																																
24	eA	ea			0.5	1.9			0.5	94.30000000000001	0.5	94.30000000000001	0.5	90.30000000000001							-2	93.46666666666668																																													-2	96	-2	94													-2	92	-2	92																																																																
