trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
2	Oie	oie	1.2307692307692308	1.2307692307692308	0	0	1.2307692307692308	101.23076923076923	1.2307692307692308	101.23076923076923	1.2307692307692308	101.23076923076923	1.2307692307692308	101.23076923076923					-2	98	-2	98																																																																																																											-2	98	-2	98	-2	98											-2	98	-2	98	-2	98
3	IEo	ieO	0.8888888888888888	2.1196581196581197	0	0	-2	99.23076923076923	-2	99.23076923076923	-2	99.23076923076923	-2	99.23076923076923	0.8888888888888888	100.88888888888889	0.8888888888888888	100.88888888888889	0.8888888888888888	98.88888888888889	0.8888888888888888	98.88888888888889																																																																																																																																
4	iye	iue			1.2727272727272727	1.2727272727272727			1.2727272727272727	100.50349650349649	1.2727272727272727	100.50349650349649	1.2727272727272727	100.50349650349649							-2	96.88888888888889																																																													-2	98	-2	98																																																									-2	98	-2	96	-2	96	-2	96
5	ou	Oy	1.1428571428571428	3.2625152625152625	0	1.2727272727272727	-2	97.23076923076923	-2	98.50349650349649	-2	98.50349650349649	-2	98.50349650349649					1.1428571428571428	100.03174603174602	1.1428571428571428	98.03174603174602																																																																																																																																
6	eiy	eiu			1.0	2.2727272727272725			1.0	99.50349650349649	1.0	99.50349650349649	1.0	99.50349650349649							-2	96.03174603174602																																															-2	98													-2	96	-2	96																																																																
7	ai	Ai	0.8571428571428571	4.119658119658119	0	2.2727272727272725			-2	97.50349650349649	-2	97.50349650349649	-2	97.50349650349649							0.8571428571428571	96.88888888888889																																																																																																																													0.8571428571428571	96.85714285714286	0.8571428571428571	96.85714285714286
8	auu	Ayy	1.2	5.319658119658119	0	2.2727272727272725			-2	95.50349650349649	-2	95.50349650349649	-2	95.50349650349649							1.2	98.08888888888889																																																																																																																																
10	ouu	Oyy	1.1428571428571428	6.462515262515263	0	2.2727272727272725	-2	95.23076923076923	-2	93.50349650349649	-2	93.50349650349649	-2	93.50349650349649					1.1428571428571428	101.17460317460316	1.1428571428571428	99.23174603174603																																																																																																																																
13	eAi	eai			1.2727272727272727	3.545454545454545			1.2727272727272727	94.77622377622376	1.2727272727272727	94.77622377622376	1.2727272727272727	94.77622377622376							-2	97.23174603174603																																													-2	98	-2	96													-2	94	-2	94																																																													-2	94.85714285714286	-2	94.85714285714286
