trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
1	uoo	yOO	1.0	1.0	1.0	1.0	-2	98	-2	98	-2	98	-2	98					1.0	101.0	1.0	101.0																																																																																																																																
2	iiy	iiu			0.8571428571428571	1.8571428571428572			0.8571428571428571	98.85714285714286	0.8571428571428571	98.85714285714286	0.8571428571428571	98.85714285714286							-2	99.0																																																													-2	98	-2	98																																																																
3	iau	iAy			0.8571428571428571	2.7142857142857144			-2	96.85714285714286	-2	96.85714285714286	-2	96.85714285714286							0.8571428571428571	99.85714285714286																																																													0.8571428571428571	98.85714285714286	0.8571428571428571	98.85714285714286																																																																
6	iyi	iui			1.1111111111111112	3.8253968253968256			1.1111111111111112	97.96825396825398	1.1111111111111112	97.96825396825398	1.1111111111111112	97.96825396825398							-2	97.85714285714286																																																													-2	96.85714285714286	-2	96.85714285714286																																																													-2	98	-2	98
9	Aie	aie	0.8888888888888888	1.8888888888888888	0.8888888888888888	4.714285714285714			0.8888888888888888	98.85714285714286	0.8888888888888888	98.85714285714286	0.8888888888888888	98.85714285714286							-2	95.85714285714286																																																																																																																											-2	98	-2	96	-2	96
10	oo	OO	1.0	2.888888888888889	1.0	5.714285714285714	-2	96	-2	96.85714285714286	-2	96.85714285714286	-2	96.85714285714286					1.0	102.0	1.0	96.85714285714286																																																																																																																																
12	eAe	eae			1.3846153846153846	7.0989010989010985			1.3846153846153846	98.24175824175825	1.3846153846153846	98.24175824175825	1.3846153846153846	98.24175824175825							-2	94.85714285714286																																													-2	98	-2	98													-2	94.85714285714286	-2	94.85714285714286																																																									-2	98	-2	96	-2	94	-2	94
14	iui	iyi			0.6666666666666666	7.7655677655677655			-2	96.24175824175825	-2	96.24175824175825	-2	96.24175824175825							0.6666666666666666	95.52380952380953																																																													0.6666666666666666	95.52380952380953	0.6666666666666666	95.52380952380953																																																													0.6666666666666666	94.66666666666667	0.6666666666666666	94.66666666666667
17	yOy	uou	0.5	3.388888888888889	0.5	8.265567765567766	0.5	96.5	0.5	96.74175824175825	0.5	96.74175824175825	0.5	96.74175824175825					-2	100.0	-2	93.52380952380953																																																																																																																																
18	aae	AAe	0.6	3.988888888888889	0.6	8.865567765567766			-2	94.74175824175825	-2	94.74175824175825	-2	94.74175824175825							0.6	94.12380952380953																																																																																																																									0.6	98.6	0.6	96.6	0.6	95.26666666666667	0.6	95.26666666666667
19	eiA	eia			1.0	9.865567765567766			1.0	95.74175824175825	1.0	95.74175824175825	1.0	95.74175824175825							-2	92.12380952380953																																															-2	96													-2	93.52380952380953	-2	93.52380952380953																																																																
20	eAO	eao			1.2307692307692308	11.096336996336998	1.2307692307692308	97.73076923076923	1.2307692307692308	96.97252747252747	1.2307692307692308	96.97252747252747	1.2307692307692308	96.97252747252747					-2	98.0	-2	90.12380952380953																																											-2	98	-2	96	-2	94											-2	98	-2	91.52380952380953	-2	91.52380952380953																																																																
21	iiu	iiy			0.8571428571428571	11.953479853479855			-2	94.97252747252747	-2	94.97252747252747	-2	94.97252747252747							0.8571428571428571	90.98095238095239																																																													0.8571428571428571	92.3809523809524	0.8571428571428571	92.3809523809524																																																																
23	eyi	eui			1.2727272727272727	13.226207126207129			1.2727272727272727	96.24525474525474	1.2727272727272727	96.24525474525474	1.2727272727272727	96.24525474525474							-2	88.98095238095239																																													-2	94	-2	92													-2	90.3809523809524	-2	90.3809523809524																																																													-2	93.26666666666667	-2	93.26666666666667
26	EIo	eiO	0.8	4.788888888888889	0.8	14.02620712620713	-2	95.73076923076923	-2	94.24525474525474	-2	94.24525474525474	-2	94.24525474525474	0.8	100.8	0.8	100.8	0.8	98.8	0.8	89.78095238095239																																																																																																																																
28	eeO	eeo			1.3333333333333333	15.359540459540463	1.3333333333333333	97.06410256410255	1.3333333333333333	95.57858807858807	1.3333333333333333	95.57858807858807	1.3333333333333333	95.57858807858807					-2	96.8	-2	87.78095238095239																																									-2	98	-2	96	-2	92	-2	90									-2	98	-2	96	-2	88.3809523809524	-2	88.3809523809524																																																																
29	ooo	OOO	1.0	5.788888888888889	1.0	16.35954045954046	-2	95.06410256410255	-2	93.57858807858807	-2	93.57858807858807	-2	93.57858807858807					1.0	97.8	1.0	88.78095238095239																																																																																																																																
33	OAe	oae	1.1428571428571428	6.931746031746032	1.1428571428571428	17.502397602397604	1.1428571428571428	96.2069597069597	1.1428571428571428	94.72144522144521	1.1428571428571428	94.72144522144521	1.1428571428571428	94.72144522144521					-2	95.8	-2	86.78095238095239																																																																																																											-2	98			-2	98									-2	96.6	-2	94.6	-2	91.26666666666667	-2	91.26666666666667
40	Oe	oe	1.25	8.181746031746032	1.25	18.752397602397604	1.25	97.4569597069597	1.25	95.97144522144521	1.25	95.97144522144521	1.25	95.97144522144521					-2	93.8	-2	84.78095238095239																																																																																																									-2	98	-2	96	-2	98	-2	96									-2	94.6	-2	92.6	-2	89.26666666666667	-2	89.26666666666667
41	iiO	iio			1.0909090909090908	19.843306693306694	1.0909090909090908	98.54786879786879	1.0909090909090908	97.0623543123543	1.0909090909090908	97.0623543123543	1.0909090909090908	97.0623543123543					-2	91.8	-2	82.78095238095239																																																									-2	96	-2	94	-2	86.3809523809524	-2	86.3809523809524																																																																
44	iau	iAy			0.8571428571428571	20.70044955044955			-2	95.0623543123543	-2	95.0623543123543	-2	95.0623543123543							0.8571428571428571	83.63809523809525																																																													0.8571428571428571	87.23809523809526	0.8571428571428571	87.23809523809526																																																																
45	aaa	AAA	1.0	9.181746031746032	1.0	21.70044955044955			-2	93.0623543123543	-2	93.0623543123543	-2	93.0623543123543							1.0	84.63809523809525																																																																																																																																
46	aou	AOy	1.0	10.181746031746032	1.0	22.70044955044955	-2	96.54786879786879	-2	91.0623543123543	-2	91.0623543123543	-2	91.0623543123543					1.0	92.8	1.0	85.63809523809525																																																																																																																																
49	uio	yiO	0.5714285714285714	10.753174603174603	0.5714285714285714	23.271878121878125	-2	94.54786879786879	-2	89.0623543123543	-2	89.0623543123543	-2	89.0623543123543					0.5714285714285714	93.37142857142857	0.5714285714285714	86.20952380952382																																																									0.5714285714285714	96.57142857142857	0.5714285714285714	94.57142857142857	0.5714285714285714	87.80952380952382	0.5714285714285714	87.80952380952382																																																													0.5714285714285714	89.83809523809524	0.5714285714285714	89.83809523809524
50	AeO	aeo	1.4	12.153174603174604	1.4	24.671878121878123	1.4	95.9478687978688	1.4	90.46235431235431	1.4	90.46235431235431	1.4	90.46235431235431					-2	91.37142857142857	-2	84.20952380952382																																									-2	96	-2	94	-2	90	-2	88									-2	94.57142857142857	-2	92.57142857142857	-2	85.80952380952382	-2	85.80952380952382																																																									-2	92.6	-2	90.6	-2	87.83809523809524	-2	87.83809523809524
55	euo	eyO			0.6153846153846154	25.28726273726274	-2	93.9478687978688	-2	88.46235431235431	-2	88.46235431235431	-2	88.46235431235431					0.6153846153846154	91.98681318681318	0.6153846153846154	84.82490842490843																																											0.6153846153846154	94.61538461538461	0.6153846153846154	90.61538461538461	0.6153846153846154	88.61538461538461											0.6153846153846154	93.18681318681318	0.6153846153846154	86.42490842490844	0.6153846153846154	86.42490842490844																																																																
57	OeA	oea	1.4	13.553174603174604	1.4	26.68726273726274	1.4	95.3478687978688	1.4	89.86235431235431	1.4	89.86235431235431	1.4	89.86235431235431					-2	89.98681318681318	-2	82.82490842490843																																													-2	88.61538461538461	-2	86.61538461538461													-2	84.42490842490844	-2	84.42490842490844																																									-2	96	-2	94	-2	96	-2	94									-2	90.6	-2	88.6	-2	85.83809523809524	-2	85.83809523809524
61	Oyi	oui	0.9090909090909091	14.462265512265512	0.9090909090909091	27.59635364635365	0.9090909090909091	96.2569597069597	0.9090909090909091	90.77144522144522	0.9090909090909091	90.77144522144522	0.9090909090909091	90.77144522144522					-2	87.98681318681318	-2	80.82490842490843																																																																																																															-2	92													-2	83.83809523809524	-2	83.83809523809524
63	eia	eiA			0.75	28.34635364635365			-2	88.77144522144522	-2	88.77144522144522	-2	88.77144522144522							0.75	81.57490842490843																																															0.75	87.36538461538461													0.75	85.17490842490844	0.75	85.17490842490844																																																																
64	ooa	OOA	1.0	15.462265512265512	1.0	29.34635364635365	-2	94.2569597069597	-2	86.77144522144522	-2	86.77144522144522	-2	86.77144522144522					1.0	88.98681318681318	1.0	82.57490842490843																																																																																																																																
65	iAe	iae			1.2727272727272727	30.619080919080922			1.2727272727272727	88.04417249417249	1.2727272727272727	88.04417249417249	1.2727272727272727	88.04417249417249							-2	80.57490842490843																																																													-2	83.17490842490844	-2	83.17490842490844																																																									-2	88.6	-2	86.6	-2	81.83809523809524	-2	81.83809523809524
