trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	iey	ieu			1.1111111111111112	1.1111111111111112			1.1111111111111112	101.11111111111111	1.1111111111111112	101.11111111111111	1.1111111111111112	101.11111111111111							-2	98																																													-2	98	-2	98													-2	98	-2	98																																																																
1	Apriori	Id(Bk)Syl1>>Id(Bk)	1.1111111111111107	21.11111111111111																																																																																																																																																			
2	oIa	oia			1.1666666666666667	2.2777777777777777							-2	99.11111111111111	1.1666666666666667	101.16666666666667	1.1666666666666667	101.16666666666667	1.1666666666666667	101.16666666666667	1.1666666666666667	99.16666666666667																																																													-2	96	-2	96																																													-2	98	-2	98													-2	98	-2	98
2	Apriori	Id(Bk)Syl1>>Id(Bk)	1.1666666666666679	22.27777777777778																																																																																																																																																			
3	EEa	eeA	0.8571428571428571	23.134920634920636	0	2.2777777777777777			-2	99.11111111111111	-2	99.11111111111111	-2	97.11111111111111			0.8571428571428571	102.02380952380953	0.8571428571428571	102.02380952380953	0.8571428571428571	100.02380952380953																																																																																																																																
5	yOO	uoo	0.5714285714285714	23.70634920634921	0	2.2777777777777777	0.5714285714285714	100.57142857142857	0.5714285714285714	99.68253968253968	0.5714285714285714	99.68253968253968	0.5714285714285714	97.68253968253968					-2	100.02380952380953	-2	98.02380952380953																																																																																																																																
6	Oye	oue	1.2307692307692308	24.93711843711844	0	2.2777777777777777	1.2307692307692308	101.8021978021978	1.2307692307692308	100.91330891330891	1.2307692307692308	100.91330891330891	1.2307692307692308	98.91330891330891					-2	98.02380952380953	-2	96.02380952380953																																																																																																											-2	98			-2	96									-2	98	-2	98	-2	96	-2	96
8	eue	eye			0.46153846153846156	2.7393162393162394			-2	98.91330891330891	-2	98.91330891330891	-2	96.91330891330891							0.46153846153846156	96.485347985348																																													0.46153846153846156	98.46153846153847	0.46153846153846156	98.46153846153847													0.46153846153846156	96.46153846153847	0.46153846153846156	96.46153846153847																																																									0.46153846153846156	98.46153846153847	0.46153846153846156	98.46153846153847	0.46153846153846156	96.46153846153847	0.46153846153846156	96.46153846153847
