trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	MaxIOSyl1	now	MaxIO	now	NonEmpty	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
1	_e_	aEu			2	2	2	2	0	0							2	102	2	102			-2	98	-2	98	-2	98																																																																																																																																
2	a__	Aee	2	2	0	2			2	2					-2	98	-2	100	-2	100							2	100																																																																																																																																
3	a__	Aio	2	4	0	2			2	4					-2	96	-2	98	-2	98					-2	96																													-2	98			-2	98											-2	98			-2	98									-2	98	-2	98	-2	98	-2	98																																																																
4	u_	yo	2	6	0	2			2	6					-2	94	-2	96	-2	96					-2	94																											-2	98	-2	96	-2	98	-2	96									-2	98	-2	96	-2	98	-2	96									-2	96	-2	96	-2	96	-2	96																																																																
5	__e	EaE			2	4	2	4	0	6							2	98	2	98			-2	96	-2	92	-2	98																																																																																																																																
6	_a_	oai					2	6	0	6									-2	96					-2	90	-2	96																																																																																																															-2	98													-2	98	-2	98
7	__a	oia					2	8	0	6									-2	94					-2	88	-2	94																																																													-2	94	-2	94																																													-2	98	-2	96													-2	96	-2	96
8	_i_	yiA					2	10	0	6					-2	92	-2	96	-2	92																																																																																																																																								
9	_a_	EaE					2	12	0	6													-2	94	-2	86	-2	92																																																																																																																																
10	u_	yA	2	8	0	4			2	8					-2	90	-2	94	-2	90							2	94																																																																																																																																
11	__e	yye					2	14	0	8					-2	88	-2	92	-2	88																																																																																																																																								
12	_u	Eu					2	16	0	8													-2	92	-2	84	-2	92																																																																																																																																
13	u_	yi	2	10	0	4			2	10					-2	86	-2	90	-2	86							2	94																																																																																																																																
14	_i	yi					2	18	0	10					-2	84	-2	88	-2	84																																																																																																																																								
15	__i	uEi					2	20	0	10													-2	90	-2	82	-2	92																																																																																													-2	98	-2	98													-2	96	-2	94													-2	94	-2	94
16	_e_	Aee					2	22	0	10					-2	82	-2	86	-2	82																																																																																																																																								
17	__e	AoE			2	6	2	24	0	10					-2	80							-2	88	-2	80	-2	90																							-2	98	-2	96	-2	94	-2	96	-2	94							-2	98	-2	96	-2	94	-2	96	-2	94							-2	98	-2	94	-2	94	-2	92	-2	92																																																																
18	i__	Iao	2	12	0	6			2	12									2	84	-2	98	-2	86	-2	78	-2	88																																																																																																																																
19	y_	uu	2	14	0	6			2	14					2	82	2	88	2	86							-2	86																																																																																																																																
20	__A	oua			2	8	2	26	0	14					2	84	2	90	2	88					-2	76	-2	84																																																																																																																																
21	u__	yiy	2	16	0	8			2	16					-2	82	-2	88	-2	86							2	86																																																																																																																																
22	_a_	oai					2	28	0	16									-2	84					-2	74	-2	84																																																																																																															-2	92													-2	92	-2	92
23	_i_	EiE					2	30	0	16													-2	84	-2	72	-2	82																																																					-2	98	-2	96	-2	92	-2	92	-2	90	-2	90																													-2	96	-2	96													-2	94	-2	90													-2	90	-2	90
24	_E_	IEi					2	32	0	16									-2	82	-2	96	-2	82	-2	70	-2	80																																																																															-2	98													-2	94	-2	94													-2	92	-2	88													-2	88	-2	88
25	o__	Oio	2	18	0	8			2	18			-2	98	-2	80	-2	86	-2	80																			-2	98			-2	98											-2	92			-2	92											-2	92			-2	92									-2	90	-2	90	-2	88	-2	88																																																																
26	__a	Ioa					2	34	0	18											-2	94	-2	80	-2	68	-2	78																																																																																																																																
27	u__	yyi	2	20	0	8			2	20					-2	78	-2	84	-2	78							2	80																																																																																																																																
28	i_	Iu	2	22	0	8			2	22									2	80	-2	92	-2	78	-2	66	-2	78																																																																																																																																
29	a__	Aoa	2	24	0	8			2	24					-2	76	-2	82	-2	78					-2	64	-2	76																									-2	94	-2	90	-2	94	-2	90									-2	94	-2	90	-2	94	-2	90									-2	88	-2	88	-2	86	-2	86																																																																
30	__u	Oey			2	10	2	36	0	24			-2	96	-2	74	-2	80	-2	76							2	78																																																																																																																																
31	__u	Eou					2	38	0	24													-2	76	-2	62	-2	76																																																																																																																																
32	u__	uoE							2	26													-2	74	-2	60	-2	74																																																																																																																																
33	a__	aai							2	28									-2	74							-2	72																																																																																																																													-2	86	-2	86
34	u__	yyo	2	26	0	10			2	30					-2	72	-2	78	-2	72					-2	58																											-2	92	-2	88	-2	92	-2	88									-2	92	-2	88	-2	92	-2	88									-2	86	-2	86	-2	84	-2	84																																																																
35	i_	Ii	2	28	0	10			2	32											-2	90	-2	72	-2	56	-2	70																																																																													-2	98	-2	96													-2	92	-2	92													-2	90	-2	86													-2	84	-2	84
36	_a_	oaa					2	40	0	32															-2	54	-2	68																																																																																																																																
37	__a	OAA			2	12	2	42	0	32			-2	94	-2	70	-2	76	-2	70							2	70																																																																																																																																
38	o__	Ooi	2	30	0	12			2	34			-2	92	-2	68	-2	74	-2	68																	-2	98	-2	96	-2	98	-2	96									-2	90	-2	86	-2	90	-2	86									-2	90	-2	86	-2	90	-2	86									-2	84	-2	84	-2	82	-2	82																																													-2	88	-2	84													-2	82	-2	82
39	__i	Oyi					2	44	0	34			-2	90	-2	66	-2	72	-2	66																																																																																																																																								
40	__i	Aei					2	46	0	34					-2	64	-2	70	-2	64																																																																																																																																								
41	i_	Iu	2	32	0	12			2	36									2	66	-2	88	-2	70	-2	52	-2	68																																																																																																																																
42	a__	Aee	2	34	0	12			2	38					-2	62	-2	68	-2	64							2	70																																																																																																																																
43	e__	Eoa	2	36	0	12			2	40							2	70	2	66			-2	68	-2	50	-2	68																																																																																																																																
44	a__	AAA	2	38	0	12			2	42					-2	60	-2	68	-2	64							2	70																																																																																																																																
45	_o_	Eoo					2	48	0	42													-2	66	-2	48	-2	68																																																																																																																																
46	a_	AA	2	40	0	12			2	44					-2	58	-2	66	-2	62							2	70																																																																																																																																
47	__i	uui					2	50	0	44																	-2	68																																																																																																																													-2	80	-2	80
48	__i	Eai					2	52	0	44													-2	64	-2	46	-2	66																																																																																															-2	90															-2	82													-2	78	-2	78
49	o__	Oeo	2	42	0	12			2	46			-2	88	-2	56	-2	64	-2	60																			-2	94			-2	94											-2	84			-2	84									-2	88	-2	84	-2	88	-2	84									-2	82	-2	82	-2	80	-2	80																																																																
50	i__	IEa	2	44	0	12			2	48									2	62	-2	86	-2	62	-2	44	-2	64																																																																																																																																
51	e__	Eao	2	46	0	12			2	50							2	66	2	64			-2	60	-2	42	-2	62																																																																																																																																
52	o__	oou							2	52															-2	40	-2	60																																																																																																																																
53	_a_	Iai					2	54	0	52									-2	62	-2	84	-2	58	-2	38	-2	58																																																																															-2	94															-2	88															-2	80													-2	76	-2	76
54	o__	oiu							2	54									-2	60							-2	56																																																													-2	78	-2	78																																													-2	86	-2	78													-2	74	-2	74
55	_a	Ia					2	56	0	54											-2	82	-2	56	-2	36	-2	54																																																																																																																																
56	_oo	Ioo					2	58	0	54											-2	80	-2	54	-2	34	-2	52																																																																																																																																
57	uua	yyA	2	48	0	12									-2	54	-2	64	-2	58							2	54																																																																																																																																
58	u_o	uio							2	56									-2	56																																																																	-2	80	-2	80	-2	76	-2	76																																																													-2	72	-2	72
59	oo_	Ooi	2	50	0	12			2	58			-2	86	-2	52	-2	62	-2	54					2	36	2	56									-2	96	-2	92	-2	96	-2	92									-2	88	-2	82	-2	88	-2	82									-2	86	-2	82	-2	86	-2	82									-2	78	-2	78	-2	74	-2	74																																													-2	84	-2	76													-2	70	-2	70
60	a_o	aio							2	60									-2	52																																																																	-2	76	-2	76	-2	72	-2	72																																																													-2	68	-2	68
61	a_u	aiu							2	62									-2	50																																																																					-2	70	-2	70																																																													-2	66	-2	66
62	uEE	yee	2	52	0	12									-2	50	-2	60	-2	48			2	56	2	38	2	58																																																																																																																																
63	ouE	Oye	2	54	0	12							-2	84	-2	48	-2	58	-2	46			2	58	2	40	2	60																																																																																																																																
65	_ei	Oei					2	60	0	62			-2	82	-2	46	-2	56	-2	44																																																																																																																																								
66	o_	oi							2	64									-2	42																																																																																																																					-2	82	-2	74													-2	64	-2	64
67	iey	IEu	2	56	0	12									2	48	2	58	2	44	-2	78	-2	56	-2	38	-2	58																																																																																																																																
68	a_o	aio							2	66									-2	42																																																																	-2	74	-2	74	-2	68	-2	68																																																													-2	62	-2	62
69	uEE	yee	2	58	0	12									-2	46	-2	56	-2	40			2	58	2	40	2	60																																																																																																																																
70	Aii	aii	2	60	0	12									2	48	2	58	2	42							-2	58																																																																																																																													-2	60	-2	60
72	uo_	uoi							2	68									-2	40																																																																																																																					-2	80	-2	72													-2	58	-2	58
73	eey	EEu	2	62	0	12									2	50	2	60	2	42			-2	56	-2	38	-2	56																																																																																																																																
74	o_o	Oio	2	64	0	12			2	70			-2	80	-2	48	-2	58	-2	40					2	40	2	58											-2	90			-2	90											-2	80			-2	80											-2	80			-2	80									-2	72	-2	72	-2	66	-2	66																																																																
75	iey	IEu	2	66	0	12									2	50	2	60	2	42	-2	76	-2	54	-2	38	-2	56																																																																																																																																
80	uoa	yoa	2	68	0	12									-2	48	-2	58	-2	40							2	58																									-2	86	-2	78	-2	86	-2	78									-2	84	-2	78	-2	84	-2	78									-2	70	-2	70	-2	64	-2	64																																																																
82	A_	Ao							2	72															-2	36	-2	56																									-2	84	-2	76	-2	84	-2	76									-2	82	-2	76	-2	82	-2	76									-2	68	-2	68	-2	62	-2	62																																																																
84	aoa	Aoa	2	70	0	12									-2	46	-2	56	-2	38							2	58																									-2	82	-2	74	-2	82	-2	74									-2	80	-2	74	-2	80	-2	74									-2	66	-2	66	-2	60	-2	60																																																																
87	iAA	Iaa	2	72	0	12									2	48	2	58	2	40	-2	74	-2	52	-2	34	-2	56																																																																																																																																
90	_oE	yoE					2	62	0	72					-2	46	-2	56	-2	38																															-2	96	-2	80	-2	72	-2	80	-2	72							-2	96	-2	78	-2	72	-2	78	-2	72							-2	94	-2	64	-2	64	-2	58	-2	58																																																																
93	uao	yAo	2	74	0	12									-2	44	-2	54	-2	36							2	58																									-2	78	-2	70	-2	78	-2	70									-2	76	-2	70	-2	76	-2	70									-2	62	-2	62	-2	56	-2	56																																																																
94	_yA	Iua			2	14	2	64	0	72					2	46	2	56	2	38	-2	72	-2	50	-2	32	-2	56																																																																																																																																
95	_aE	OAe			2	16	2	66	0	72			-2	78	-2	44	-2	54	-2	36			2	52	2	34	2	58																																																																																																																																
99	_io	Oio					2	68	0	72			-2	76	-2	42	-2	52	-2	34																			-2	88			-2	88											-2	68			-2	68											-2	68			-2	68																																																																																
101	_yA	OyA					2	70	0	72			-2	74	-2	40	-2	50	-2	32																																																																																																																																								
107	ouI	oui			2	18													-2	30	2	74	2	54	2	36	2	60																																																																																																															-2	70													-2	56	-2	56
108	yOO	yoo			2	20							2	76	2	42	2	52	2	32					-2	34	-2	58																									-2	76	-2	66	-2	76	-2	66									-2	74	-2	66	-2	74	-2	66									-2	60	-2	60	-2	54	-2	54																																																																
112	OO	Oo			2	22							2	78	2	44	2	54	2	34					-2	32	-2	56									-2	94	-2	86	-2	94	-2	86									-2	74	-2	64	-2	74	-2	64									-2	72	-2	64	-2	72	-2	64									-2	58	-2	58	-2	52	-2	52																																																																
113	oo_	ooi							2	74									-2	32																																																																																																																					-2	78	-2	68													-2	54	-2	54
115	_iA	Iia			2	24	2	72	0	74					2	46	2	56	2	34	-2	72	-2	52	-2	30	-2	54																																																													-2	50	-2	50													-2	96	-2	92													-2	90	-2	86													-2	76	-2	66													-2	52	-2	52
117	IaI	Iai			2	26													-2	32	2	74	2	54	2	32	2	56																																																																															-2	90															-2	84															-2	64													-2	50	-2	50
119	_ei	Oei					2	74	0	74			-2	76	-2	44	-2	54	-2	30																																																																																																																																								
121	AOO	Aoo			2	28							2	78	2	46	2	56	2	32					-2	30	-2	54																									-2	72	-2	62	-2	72	-2	62									-2	70	-2	62	-2	70	-2	62									-2	56	-2	56	-2	48	-2	48																																																																
122	o_	oi							2	76									-2	30																																																																																																																					-2	74	-2	62													-2	48	-2	48
123	iia	Iia	2	76	0	28													2	32	-2	72	-2	52	-2	28	-2	52																																																																													-2	94	-2	88													-2	88	-2	82													-2	72	-2	60													-2	46	-2	46
125	_ie	IiE			2	30	2	76	0	76							2	58	2	34	-2	70	-2	50	-2	26	-2	50																																																					-2	96	-2	92	-2	54	-2	54	-2	46	-2	46													-2	92	-2	86													-2	86	-2	80													-2	70	-2	58													-2	44	-2	44
127	oIo	Oio	2	78	0	30							-2	76	-2	44	-2	56	-2	32	2	72	2	52	2	28	2	52											-2	84			-2	84											-2	60			-2	60											-2	60			-2	60									-2	52	-2	52	-2	44	-2	44																																																																
133	OOA	Ooa			2	32							2	78	2	46	2	58	2	34					-2	26	-2	50									-2	92	-2	82	-2	92	-2	82									-2	70	-2	58	-2	70	-2	58									-2	68	-2	58	-2	68	-2	58									-2	50	-2	50	-2	42	-2	42																																																																
136	_au	OAy			2	34	2	78	0	76			-2	76	-2	44	-2	56	-2	32							2	52																																																																																																																																
137	aoE	AoE	2	80	0	34									-2	42	-2	54	-2	30							2	54																							-2	94	-2	68	-2	56	-2	68	-2	56							-2	94	-2	66	-2	56	-2	66	-2	56							-2	90	-2	48	-2	48	-2	40	-2	40																																																																
138	IEI	IEi			2	36													-2	28	2	74	2	54	2	28	2	56																																																																															-2	84													-2	84	-2	78													-2	68	-2	56													-2	42	-2	42
145	_ua	OyA			2	38	2	80	0	76			-2	74	-2	40	-2	52	-2	26							2	58																																																																																																																																
146	yuo	yyo			2	40									-2	38	-2	50	-2	24							2	60																									-2	66					2	58									-2	64					2	58									-2	46					2	42																																																																
159	Auo	Ayo			2	42									-2	36	-2	48	-2	22							2	62																									-2	64					2	60									-2	62					2	60									-2	44					2	44																																																																
162	EI	Ei			2	44													-2	20	2	76	2	56	2	30	2	64																																																																																													-2	82	-2	76													-2	66	-2	54													-2	40	-2	40
178	O__	Ooo							2	78															-2	28	-2	62									-2	90	-2	80	-2	90	-2	80									-2	62	-2	54	-2	66	-2	58									-2	60	-2	54	-2	64	-2	58									-2	42	-2	46	-2	38	-2	42																																																																
185	yuo	yyo			2	46									-2	34	-2	46	-2	18							2	64																									-2	60					2	60									-2	58					2	60									-2	40					2	44																																																																
