trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	MaxIOSyl1	now	MaxIO	now	NonEmpty	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
1	__	OA					2.0	2.0	2.0	2.0	2.0	102.0	-2	98	-2	98	-2	98	-2	98																																																																																																																																								
2	__a	Eoa					2.0	4.0	2.0	4.0													-2	98	-2	98	-2	98																																																																																																																																
3	i__	Ioo	1.6	1.6	1.6	1.6			1.6	5.6									1.6	99.6	-2	98	-2	96	-2	96	-2	96																																																																																																																																
4	o__	Oie	1.3333333333333333	2.9333333333333336	1.3333333333333333	2.9333333333333336			1.3333333333333333	6.933333333333333			-2	96	-2	96	-2	96	-2	97.6					1.3333333333333333	97.33333333333333	1.3333333333333333	97.33333333333333																																																																																																																																
5	e__	EoE	1.0	3.9333333333333336	1.0	3.9333333333333336			1.0	7.933333333333333							1.0	97.0	1.0	98.6			-2	94	-2	95.33333333333333	-2	95.33333333333333																																																																																																																																
6	o__	oEo							3.0	10.933333333333334													-2	92	-2	93.33333333333333	-2	93.33333333333333																																																																																																																																
7	u__	uai							4.0	14.933333333333334									-2	96.6							-2	91.33333333333333																																																																																																																													-2	98	-2	98
8	u__	yii	1.2	5.133333333333334	1.2	5.133333333333334			1.2	16.133333333333333					-2	94	-2	95.0	-2	94.6							1.2	92.53333333333333																																																																																																																																
9	_a_	Iao					2.6666666666666665	6.666666666666666	2.6666666666666665	18.8											-2	96	-2	90	-2	91.33333333333333	-2	90.53333333333333																																																																																																																																
10	a__	Aio	6.0	11.133333333333333	6.0	11.133333333333333			6.0	24.8					-2	92	-2	93.0	-2	92.6					-2	89.33333333333333																													-2	98			-2	98											-2	98			-2	98									-2	98	-2	98	-2	98	-2	98																																																																
11	_u_	Oyi			1.6	12.733333333333333	1.6	8.266666666666666	1.6	26.400000000000002			-2	94	-2	90	-2	91.0	-2	90.6							1.6	92.13333333333333																																																																																																																																
12	y__	yyy							3.0	29.400000000000002					-2	88	-2	89.0	-2	88.6																																																																																																																																								
13	_i_	Aie					2.0	10.266666666666666	2.0	31.400000000000002					-2	86	-2	87.0	-2	86.6																																																																																																																																								
14	_A_	oao			0.5714285714285714	13.304761904761904	0.5714285714285714	10.838095238095237	0.5714285714285714	31.971428571428575					0.5714285714285714	86.57142857142857	0.5714285714285714	87.57142857142857	0.5714285714285714	87.17142857142856					-2	87.33333333333333	-2	90.13333333333333																																																																																																																																
15	u__	yiy	1.2	12.333333333333332	1.2	14.504761904761903			1.2	33.17142857142858					-2	84.57142857142857	-2	85.57142857142857	-2	85.17142857142856							1.2	91.33333333333333																																																																																																																																
16	a__	Aiy	1.2	13.533333333333331	1.2	15.704761904761902			1.2	34.37142857142858					-2	82.57142857142857	-2	83.57142857142857	-2	83.17142857142856							1.2	92.53333333333333																																																																																																																																
17	_i_	uia					3.3333333333333335	14.17142857142857	3.3333333333333335	37.70476190476192																	-2	90.53333333333333																																																													-2	96	-2	96																																																													-2	96	-2	96
18	__i	Eui					4.666666666666667	18.83809523809524	4.666666666666667	42.37142857142858													-2	88	-2	85.33333333333333	-2	88.53333333333333																																																																																															-2	98															-2	98													-2	94	-2	94
19	A_	au	0.2857142857142857	13.819047619047618	0.2857142857142857	15.990476190476189			0.2857142857142857	42.657142857142865					0.2857142857142857	82.85714285714286	0.2857142857142857	83.85714285714286	0.2857142857142857	83.45714285714286							-2	86.53333333333333																																																																																																																																
20	_i_	yie					2.0	20.83809523809524	2.0	44.657142857142865					-2	80.85714285714286	-2	81.85714285714286	-2	81.45714285714286																																																																																																																																								
21	A__	Aoo							14.0	58.657142857142865															-2	83.33333333333333	-2	84.53333333333333																									-2	98	-2	96	-2	98	-2	96									-2	98	-2	96	-2	98	-2	96									-2	96	-2	96	-2	94	-2	94																																																																
22	o__	Ooo	11.0	24.819047619047616	11.0	26.990476190476187			11.0	69.65714285714287			-2	92	-2	78.85714285714286	-2	79.85714285714286	-2	79.45714285714286					-2	81.33333333333333	-2	82.53333333333333									-2	98	-2	98	-2	98	-2	98									-2	96	-2	94	-2	96	-2	94									-2	96	-2	94	-2	96	-2	94									-2	94	-2	94	-2	92	-2	92																																																																
23	_i_	Iii					8.666666666666666	29.504761904761907	8.666666666666666	78.32380952380954									-2	77.45714285714286	-2	94	-2	86	-2	79.33333333333333	-2	80.53333333333333																																																																													-2	98	-2	98													-2	98	-2	96													-2	98	-2	96													-2	92	-2	92
24	i__	Iou	1.6	26.419047619047618	1.6	28.59047619047619			1.6	79.92380952380954									1.6	79.05714285714285	-2	92	-2	84	-2	77.33333333333333	-2	78.53333333333333																																																																																																																																
25	eee	EEE	1.2	27.619047619047617	1.2	29.790476190476188											1.2	81.05714285714286	1.2	80.25714285714285			-2	82	-2	75.33333333333333	-2	76.53333333333333																																																																																																																																
26	uo_	yoi	7.6	35.219047619047615	7.6	37.390476190476186			7.6	87.52380952380953					-2	76.85714285714286	-2	79.05714285714286	-2	78.25714285714285							7.6	84.13333333333333																									-2	94	-2	92	-2	94	-2	92									-2	94	-2	92	-2	94	-2	92									-2	92	-2	92	-2	90	-2	90																																													-2	96	-2	94													-2	90	-2	90
27	iyy	Iuu	1.3333333333333333	36.55238095238095	1.3333333333333333	38.72380952380952									1.3333333333333333	78.19047619047619	1.3333333333333333	80.39047619047619	1.3333333333333333	79.59047619047618	-2	90	-2	80	-2	73.33333333333333	-2	82.13333333333333																																																																																																																																
29	eAi	Eai	2.3333333333333335	38.885714285714286	2.3333333333333335	41.05714285714286									2.3333333333333335	80.52380952380952	2.3333333333333335	82.72380952380952	2.3333333333333335	81.92380952380951			-2	78	-2	71.33333333333333	-2	80.13333333333333																																																																																															-2	94															-2	92													-2	88	-2	88
32	aou	Aou	7.5	46.385714285714286	7.5	48.55714285714286									-2	78.52380952380952	-2	80.72380952380952	-2	79.92380952380951							7.5	87.63333333333333																									-2	92	-2	90	-2	92	-2	90									-2	92	-2	90	-2	92	-2	90									-2	90	-2	90	-2	88	-2	88																																																																
35	oao	OAo	7.2	53.58571428571429	7.2	55.75714285714286							-2	90	-2	76.52380952380952	-2	78.72380952380952	-2	77.92380952380951					7.2	78.53333333333333	7.2	94.83333333333333											-2	96			-2	96									-2	90	-2	88	-2	90	-2	88									-2	90	-2	88	-2	90	-2	88									-2	88	-2	88	-2	86	-2	86																																																																
36	OOy	oou	0.5714285714285714	54.15714285714286	0.5714285714285714	56.32857142857143							0.5714285714285714	90.57142857142857	0.5714285714285714	77.09523809523809	0.5714285714285714	79.29523809523809	0.5714285714285714	78.49523809523808					-2	76.53333333333333	-2	92.83333333333333																																																																																																																																
38	Oe	oE	0.8571428571428571	55.01428571428571	0.8571428571428571	57.18571428571428							0.8571428571428571	91.42857142857143	0.8571428571428571	77.95238095238095	0.8571428571428571	80.15238095238095	0.8571428571428571	79.35238095238094			-2	76	-2	74.53333333333333	-2	90.83333333333333																																																																																																																																
39	yi_	yio							10.0	97.52380952380953															-2	72.53333333333333	-2	88.83333333333333																											-2	86			-2	86											-2	86			-2	86									-2	86	-2	86	-2	84	-2	84																																																																
41	ei	Ei	3.6	58.614285714285714	3.6	60.785714285714285											3.6	83.75238095238095	3.6	82.95238095238093			-2	74	-2	70.53333333333333	-2	86.83333333333333																																																																																													-2	96	-2	92													-2	94	-2	90													-2	86	-2	86
42	eiA	Eia	3.6666666666666665	62.28095238095238	3.6666666666666665	64.45238095238095									3.6666666666666665	81.61904761904762	3.6666666666666665	87.41904761904762	3.6666666666666665	86.6190476190476			-2	72	-2	68.53333333333333	-2	84.83333333333333																																																													-2	82	-2	82																													-2	94	-2	90													-2	92	-2	88													-2	84	-2	84
