trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	MaxIOSyl1	now	MaxIO	now	NonEmpty	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
1	__	oe					8.0	8.0	0	0	8.0	108.0					-2	98	-2	98					-2	98	-2	98																																																																																																									-2	98	-2	98	-2	98	-2	98									-2	98	-2	98	-2	98	-2	98
2	__e	oae					8.0	16.0	0	0															-2	96	-2	96																																																																																																											-2	96			-2	96									-2	96	-2	96	-2	96	-2	96
3	u__	yyA	1.5	1.5	0	0			1.5	1.5					-2	98	-2	96	-2	96							1.5	97.5																																																																																																																																
4	u__	uoa							2.0	3.5															-2	94	-2	95.5																																																																																																																																
5	a_	au							1.0	4.5																	-2	93.5																																																																																																																																
6	a__	AOA	2.0	3.5	0	0			2.0	6.5			-2	98	-2	96	-2	94	-2	94							2.0	95.5																																																																																																																																
7	_i_	Aii					3.0	19.0	0	6.5					-2	94	-2	92	-2	92																																																																																																																																								
8	a__	aau							1.0	7.5																	-2	93.5																																																																																																																																
9	a_	Ay	1.5	5.0	0	0			1.5	9.0					-2	92	-2	90	-2	90							1.5	95.0																																																																																																																																
10	_i	ai					3.0	22.0	0	9.0																	-2	93.0																																																																																																																													-2	94	-2	94
