trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	MaxIOSyl1	now	MaxIO	now	NonEmpty	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
1	__u	yey			1.0	1.0	1.0	1.0	0	0					-2	98	-2	98	-2	98							1.0	101.0																																																																																																																																
2	_i_	oie					1.8181818181818181	2.8181818181818183	0	0							-2	96	-2	96					-2	98	-2	99.0																																																																																																											-2	98	-2	98	-2	98											-2	98	-2	98	-2	98
3	A_	au	0.3333333333333333	0.3333333333333333	0	1.0			0.3333333333333333	0.3333333333333333					0.3333333333333333	98.33333333333333	0.3333333333333333	96.33333333333333	0.3333333333333333	96.33333333333333							-2	97.0																																																																																																																																
4	A__	AOy							1.6	1.9333333333333333			-2	98	-2	96.33333333333333	-2	94.33333333333333	-2	94.33333333333333																																																																																																																																								
5	u__	uoa							1.3333333333333333	3.2666666666666666															-2	96	-2	95.0																																																																																																																																
6	a__	Aei	1.0	1.3333333333333333	0	1.0			1.0	4.266666666666667					-2	94.33333333333333	-2	92.33333333333333	-2	92.33333333333333							1.0	96.0																																																																																																																																
7	_e_	Aey					1.5	4.318181818181818	0	4.266666666666667					-2	92.33333333333333	-2	90.33333333333333	-2	90.33333333333333																																																																																																																																								
8	_i_	yie					1.5	5.818181818181818	0	4.266666666666667					-2	90.33333333333333	-2	88.33333333333333	-2	88.33333333333333																																																																																																																																								
9	_i_	aio					1.7777777777777777	7.595959595959596	0	4.266666666666667															-2	94	-2	94.0																																																									-2	98	-2	98	-2	98	-2	98																																																													-2	96	-2	96
10	_i_	yiO					1.6	9.195959595959597	0	4.266666666666667			-2	96	-2	88.33333333333333	-2	86.33333333333333	-2	86.33333333333333																																																																																																																																								
11	_i	yi					1.5	10.695959595959597	0	4.266666666666667					-2	86.33333333333333	-2	84.33333333333333	-2	84.33333333333333																																																																																																																																								
12	y__	uao	0.5714285714285714	1.9047619047619047	0	1.0			0.5714285714285714	4.838095238095238					0.5714285714285714	86.9047619047619	0.5714285714285714	84.9047619047619	0.5714285714285714	84.9047619047619					-2	92	-2	92.0																																																																																																																																
13	_e_	ueo					1.8666666666666667	12.562626262626264	0	4.838095238095238															-2	90	-2	90.0																																									-2	98	-2	98	-2	98	-2	98									-2	96	-2	96	-2	96	-2	96																																																									-2	98	-2	96	-2	94	-2	94
14	__e	Aye					1.5	14.062626262626264	0	4.838095238095238					-2	84.9047619047619	-2	82.9047619047619	-2	82.9047619047619																																																																																																																																								
15	_e	ae					1.6666666666666667	15.72929292929293	0	4.838095238095238																	-2	88.0																																																																																																																									-2	96	-2	94	-2	92	-2	92
16	__i	Oyi					1.6	17.32929292929293	0	4.838095238095238			-2	94	-2	82.9047619047619	-2	80.9047619047619	-2	80.9047619047619																																																																																																																																								
17	A__	aoo	0.5714285714285714	2.4761904761904763	0	1.0			0.5714285714285714	5.409523809523809					0.5714285714285714	83.47619047619047	0.5714285714285714	81.47619047619047	0.5714285714285714	81.47619047619047					-2	88	-2	86.0																																																																																																																																
18	__e	uue					1.6666666666666667	18.995959595959597	0	5.409523809523809																	-2	84.0																																																																																																																									-2	94	-2	92	-2	90	-2	90
19	a_	AO	1.1428571428571428	3.619047619047619	0	1.0			1.1428571428571428	6.552380952380952			-2	92	-2	81.47619047619047	-2	79.47619047619047	-2	79.47619047619047							1.1428571428571428	85.14285714285714																																																																																																																																
20	_i_	Aie					1.5	20.495959595959597	0	6.552380952380952					-2	79.47619047619047	-2	77.47619047619047	-2	77.47619047619047																																																																																																																																								
21	__i	uai					1.5	21.995959595959597	0	6.552380952380952																	-2	83.14285714285714																																																																																																																													-2	88	-2	88
22	__e	OAe					1.6	23.5959595959596	0	6.552380952380952			-2	90	-2	77.47619047619047	-2	75.47619047619047	-2	75.47619047619047																																																																																																																																								
23	_i_	yie					1.5	25.0959595959596	0	6.552380952380952					-2	75.47619047619047	-2	73.47619047619047	-2	73.47619047619047																																																																																																																																								
24	_e_	uee					1.75	26.8459595959596	0	6.552380952380952							-2	71.47619047619047	-2	71.47619047619047							-2	81.14285714285714																																																																																																																									-2	92	-2	90	-2	86	-2	86
25	y__	yAA							1.5	8.052380952380952					-2	73.47619047619047	-2	69.47619047619047	-2	69.47619047619047																																																																																																																																								
26	A__	auu	0.3333333333333333	3.9523809523809526	0	1.0			0.3333333333333333	8.385714285714286					0.3333333333333333	73.8095238095238	0.3333333333333333	69.8095238095238	0.3333333333333333	69.8095238095238							-2	79.14285714285714																																																																																																																																
27	_i_	aiu					1.6666666666666667	28.512626262626267	0	8.385714285714286																	-2	77.14285714285714																																																													-2	94	-2	94																																																													-2	84	-2	84
28	_y	Oy					1.6	30.112626262626268	0	8.385714285714286			-2	88	-2	71.8095238095238	-2	67.8095238095238	-2	67.8095238095238																																																																																																																																								
29	y__	uao	0.5714285714285714	4.523809523809524	0	1.0			0.5714285714285714	8.957142857142857					0.5714285714285714	72.38095238095237	0.5714285714285714	68.38095238095237	0.5714285714285714	68.38095238095237					-2	86	-2	75.14285714285714																																																																																																																																
30	__y	oou			0.5714285714285714	1.5714285714285714	0.5714285714285714	30.68405483405484	0	8.957142857142857					0.5714285714285714	72.95238095238093	0.5714285714285714	68.95238095238093	0.5714285714285714	68.95238095238093					-2	84	-2	73.14285714285714																																																																																																																																
31	a__	aaa							1.0	9.957142857142857																	-2	71.14285714285714																																																																																																																																
32	_e_	Oee					1.6	32.28405483405484	0	9.957142857142857			-2	86	-2	70.95238095238093	-2	66.95238095238093	-2	66.95238095238093																																																																																																																																								
33	o__	ooo							1.3333333333333333	11.290476190476191															-2	82	-2	69.14285714285714																																																																																																																																
34	_i_	aiu					1.6666666666666667	33.95072150072151	0	11.290476190476191																	-2	67.14285714285714																																																													-2	92	-2	92																																																													-2	82	-2	82
35	u__	uua							1.0	12.290476190476191																	-2	65.14285714285714																																																																																																																																
36	__u	oou					1.3333333333333333	35.28405483405484	0	12.290476190476191															-2	80	-2	63.14285714285714																																																																																																																																
37	_a_	oau					1.3333333333333333	36.61738816738818	0	12.290476190476191															-2	78	-2	61.14285714285714																																																																																																																																
38	__a	OeA			1.1428571428571428	2.7142857142857144	1.1428571428571428	37.760245310245324	0	12.290476190476191			-2	84	-2	68.95238095238093	-2	64.95238095238093	-2	64.95238095238093							1.1428571428571428	62.285714285714285																																																																																																																																
39	a__	Ayy	1.0	5.523809523809524	0	2.7142857142857144			1.0	13.290476190476191					-2	66.95238095238093	-2	62.952380952380935	-2	62.952380952380935							1.0	63.285714285714285																																																																																																																																
40	u_	yA	1.0	6.523809523809524	0	2.7142857142857144			1.0	14.290476190476191					-2	64.95238095238093	-2	60.952380952380935	-2	60.952380952380935							1.0	64.28571428571428																																																																																																																																
41	__i	ooi					1.7142857142857142	39.47453102453104	0	14.290476190476191															-2	76	-2	62.28571428571428																																																																																																													-2	96	-2	96													-2	80	-2	80
42	a__	aia							1.7142857142857142	16.004761904761907									-2	58.952380952380935							-2	60.28571428571428																																																													-2	90	-2	90																																																													-2	78	-2	78
43	u__	yAO	1.1428571428571428	7.666666666666666	0	2.7142857142857144			1.1428571428571428	17.14761904761905			-2	82	-2	62.952380952380935	-2	58.952380952380935	-2	56.952380952380935							1.1428571428571428	61.42857142857142																																																																																																																																
44	_i_	oiu					1.7777777777777777	41.25230880230882	0	17.14761904761905															-2	74	-2	59.42857142857142																																																													-2	88	-2	88																																													-2	94	-2	94													-2	76	-2	76
45	a_	Ay	1.0	8.666666666666666	0	2.7142857142857144			1.0	18.14761904761905					-2	60.952380952380935	-2	56.952380952380935	-2	54.952380952380935							1.0	60.42857142857142																																																																																																																																
46	_e_	oee					1.8461538461538463	43.098462648462665	0	18.14761904761905							-2	54.952380952380935	-2	52.952380952380935					-2	72	-2	58.42857142857142																																																																																																									-2	98	-2	96	-2	92	-2	92									-2	90	-2	88	-2	74	-2	74
47	__a	OAA			1.1428571428571428	3.857142857142857	1.1428571428571428	44.24131979131981	0	18.14761904761905			-2	80	-2	58.952380952380935	-2	52.952380952380935	-2	50.952380952380935							1.1428571428571428	59.57142857142857																																																																																																																																
48	u__	uuo							1.3333333333333333	19.48095238095238															-2	70	-2	57.57142857142857																																																																																																																																
49	u_	ua							1.0	20.48095238095238																	-2	55.57142857142857																																																																																																																																
50	__e	yye					1.5	45.74131979131981	0	20.48095238095238					-2	56.952380952380935	-2	50.952380952380935	-2	48.952380952380935																																																																																																																																								
51	a__	aoo							1.3333333333333333	21.814285714285713															-2	68	-2	53.57142857142857																																																																																																																																
52	_u_	ouu					1.3333333333333333	47.074653124653146	0	21.814285714285713															-2	66	-2	51.57142857142857																																																																																																																																
53	u_	uu							1.0	22.814285714285713																	-2	49.57142857142857																																																																																																																																
54	_e_	yeO					1.6	48.67465312465315	0	22.814285714285713			-2	78	-2	54.952380952380935	-2	48.952380952380935	-2	46.952380952380935																																																																																																																																								
55	u__	uua							1.0	23.814285714285713																	-2	47.57142857142857																																																																																																																																
56	a__	aaa							1.0	24.814285714285713																	-2	45.57142857142857																																																																																																																																
57	u_	uo							1.3333333333333333	26.147619047619045															-2	64	-2	43.57142857142857																																																																																																																																
58	_e	Oe					1.6	50.27465312465315	0	26.147619047619045			-2	76	-2	52.952380952380935	-2	46.952380952380935	-2	44.952380952380935																																																																																																																																								
59	a__	aua							1.0	27.147619047619045																	-2	41.57142857142857																																																																																																																																
60	a_	ai							1.5	28.647619047619045									-2	42.952380952380935																																																																																																																																					-2	72	-2	72
