trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	MaxIOSyl1	now	MaxIO	now	NonEmpty	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
1	___	aea					2	2	2	2	2	102					-2	98	-2	98							-2	98																																													-2	98	-2	98													-2	98	-2	98																																																									-2	98	-2	98	-2	98	-2	98
2	_e_	uea					2	4	2	4																	-2	96																																													-2	96	-2	96													-2	96	-2	96																																																									-2	96	-2	96	-2	96	-2	96
3	_u	eu					2	6	2	6							-2	96	-2	96																																																					-2	94	-2	94													-2	94	-2	94																																																																
4	_u	eu					2	8	2	8							-2	94	-2	94																																																					-2	92	-2	92													-2	92	-2	92																																																																
5	o__	OOO	2	2	2	2			2	10			-2	98	-2	98	-2	92	-2	92					2	102	2	98																																																																																																																																
6	__i	Ayi					2	10	2	12					-2	96	-2	90	-2	90																																																																																																																																								
7	__e	uoe					2	12	2	14															-2	100	-2	96																																																																																																									-2	98	-2	98	-2	98	-2	98									-2	94	-2	94	-2	94	-2	94
8	_e_	AeA					2	14	2	16					-2	94	-2	88	-2	88																																																																																																																																								
9	e_	eO							2	18			-2	96	-2	92	-2	86	-2	86																																																																																																																																								
10	_i	ui					2	16	2	20																	-2	94																																																																																																																													-2	92	-2	92
11	i__	ioe							2	22							-2	84	-2	84					-2	98	-2	92																																																									-2	98	-2	98	-2	90	-2	90																																									-2	96	-2	96	-2	96	-2	96									-2	92	-2	92	-2	90	-2	90
12	__i	Oyi					2	18	2	24			-2	94	-2	90	-2	82	-2	82																																																																																																																																								
13	__i	oei					2	20	2	26							-2	80	-2	80					-2	96	-2	90																																																																																																									-2	94	-2	94	-2	94	-2	94									-2	90	-2	90	-2	88	-2	88
14	__i	OOi					2	22	2	28			-2	92	-2	88	-2	78	-2	78																																																																																																																																								
15	_i_	oie					2	24	2	30							-2	76	-2	76					-2	94	-2	88																																																																																																											-2	92	-2	92	-2	92											-2	88	-2	86	-2	86
16	__e	oue					2	26	2	32															-2	92	-2	86																																																																																																											-2	90			-2	90									-2	88	-2	86	-2	84	-2	84
17	u__	uuu							2	34																	-2	84																																																																																																																																
18	_e_	yey					2	28	2	36					-2	86	-2	74	-2	74																																																																																																																																								
19	_i	ei					2	30	2	38							-2	72	-2	72																																																																																																																																								
20	y__	uuu	2	4	2	4			2	40					2	88	2	74	2	74							-2	82																																																																																																																																
21	e__	eee							2	42							-2	72	-2	72																																																																																																																																								
22	__i	aui					2	32	2	44																	-2	80																																																																																																																													-2	82	-2	82
23	__i	Oei					2	34	2	46			-2	90	-2	86	-2	70	-2	70																																																																																																																																								
24	a_	aa							2	48																	-2	78																																																																																																																																
25	O__	OOO							2	50			-2	88	-2	84	-2	68	-2	68																																																																																																																																								
26	i__	iai							2	52									-2	66							-2	76																																																													-2	88	-2	88																																																													-2	80	-2	80
27	O_	oo	2	6	2	6			2	54			2	90	2	86	2	70	2	68					-2	90	-2	74																																																																																																																																
28	_e_	ueo					2	36	2	56															-2	88	-2	72																																									-2	98	-2	98	-2	90	-2	90									-2	96	-2	96	-2	86	-2	86																																																									-2	86	-2	84	-2	78	-2	78
29	e__	eau							2	58																	-2	70																																													-2	88	-2	88													-2	84	-2	84																																																																
30	i_	ii							2	60									-2	66																																																																																																																																								
31	a_	AO	2	8	2	8			2	62			-2	88	-2	84	-2	68	-2	64							2	72																																																																																																																																
32	i__	iAA							2	64					-2	82	-2	66	-2	62																																																																																																																																								
33	ee_	eeA							2	66					-2	80	-2	64	-2	60																																																																																																																																								
34	u__	uao							2	68															-2	86	-2	70																																																																																																																																
35	e__	eOA							2	70			-2	86	-2	78	-2	62	-2	58																																																																																																																																								
36	_ee	uee					2	38	2	72																	-2	68																																																																																																																									-2	84	-2	82	-2	76	-2	76
37	_uu	ouu					2	40	2	74															-2	84	-2	66																																																																																																																																
38	uau	yAy	2	10	2	10									-2	76	-2	60	-2	56							2	68																																																																																																																																
39	Aiy	aiu	2	12	2	12									2	78	2	62	2	58							-2	66																																																													-2	82	-2	82																																																													-2	74	-2	74
40	_ei	aei					2	42	2	76																	-2	64																																																																																																																									-2	82	-2	80	-2	72	-2	72
41	ie_	ieu							2	78																	-2	62																																													-2	86	-2	86													-2	80	-2	80																																																																
42	A_e	AOe							2	80			-2	84	-2	76	-2	60	-2	56																																																																																																																																								
43	uaa	yAA	2	14	2	14									-2	74	-2	58	-2	54							2	64																																																																																																																																
44	_eA	oea			2	16	2	44	2	82					2	76	2	60	2	56					-2	82	-2	62																																													-2	84	-2	84													-2	78	-2	78																																									-2	92	-2	88	-2	90	-2	88									-2	80	-2	78	-2	70	-2	70
45	e__	eOO							2	84			-2	82	-2	74	-2	58	-2	54																																																																																																																																								
46	OOe	ooe	2	16	2	18							2	84	2	76	2	60	2	56					-2	80	-2	60																																																																																																									-2	90	-2	86	-2	88	-2	86									-2	78	-2	76	-2	68	-2	68
47	ouu	Oyy	2	18	2	20							-2	82	-2	74	-2	58	-2	54					2	82	2	62																																																																																																																																
48	uao	yAO	2	20	2	22							-2	80	-2	72	-2	56	-2	52					2	84	2	64																																																																																																																																
50	Oiy	oiu	2	22	2	24							2	82	2	74	2	58	2	54					-2	82	-2	62																																																													-2	76	-2	76																																													-2	86	-2	84													-2	66	-2	66
51	aau	AAy	2	24	2	26									-2	72	-2	56	-2	52							2	64																																																																																																																																
