trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
0	Apriori	Id(Bk)Syl1>>Id(Bk)	30	30																																																																																																																																																		
1	oEa	oea			0.5	0.5					-2	98	-2	98			0.5	100.5	0.5	100.5	0.5	100.5																																													-2	98	-2	98													-2	98	-2	98																																									-2	98	-2	98	-2	98	-2	98									-2	98	-2	98	-2	98	-2	98
1	Apriori	Id(Bk)Syl1>>Id(Bk)	0.5	30.5																																																																																																																																																			
2	aoi	AOi	0.25	30.75	0.25	0.75													0.25	100.75	0.25	100.75																																																																																																													0.25	98.25	0.25	98.25													0.25	98.25	0.25	98.25
6	yee	uee	0.4	31.15	0.4	1.15			0.4	100.4	0.4	98.4	0.4	98.4							-2	98.75																																																																																																																																
7	ui	yi	0.4	31.549999999999997	0.4	1.5499999999999998			-2	98.4											0.4	99.15																																																																																																																													0.4	98.65	0.4	98.65
8	AiA	aia	0.4	31.949999999999996	0.4	1.9499999999999997			0.4	98.80000000000001	0.4	98.80000000000001	0.4	98.80000000000001							-2	97.15																																																																																																																													-2	96.65	-2	96.65
10	aAO	AAO	0.2	32.15	0.2	2.15															0.2	97.35000000000001																																																																																																																			0.2	100.2	0.2	100.2	0.2	100.2	0.2	98.2	0.2	98.2	0.2	96.85000000000001	0.2	96.85000000000001
11	oii	Oii	0.25	32.4	0.25	2.4													0.25	101.0	0.25	97.60000000000001																																																																																																													0.25	98.5	0.25	98.5													0.25	97.10000000000001	0.25	97.10000000000001
12	uII	uii			0.4	2.8									0.4	100.4	0.4	100.9	0.4	101.4	0.4	98.00000000000001																																																																																																																																
12	Apriori	Id(Bk)Syl1>>Id(Bk)	0.3999999999999986	32.8																																																																																																																																																			
13	oe	Oe	0.16666666666666666	32.96666666666666	0.16666666666666666	2.9666666666666663													0.16666666666666666	101.56666666666668	0.16666666666666666	98.16666666666669																																																																																																									0.16666666666666666	98.16666666666667	0.16666666666666666	98.16666666666667	0.16666666666666666	98.66666666666667	0.16666666666666666	98.66666666666667									0.16666666666666666	98.36666666666667	0.16666666666666666	98.36666666666667	0.16666666666666666	97.26666666666668	0.16666666666666666	97.26666666666668
15	uoI	yOi	0.3333333333333333	33.3	0.3333333333333333	3.3									0.3333333333333333	100.73333333333333	0.3333333333333333	101.23333333333333	0.3333333333333333	101.9	0.3333333333333333	98.50000000000001																																																																																																																																
16	oI	oi			0.4	3.6999999999999997									0.4	101.13333333333334	0.4	101.63333333333334	0.4	102.30000000000001	0.4	98.90000000000002																																																																																																																																
16	Apriori	Id(Bk)Syl1>>Id(Bk)	0.4000000000000057	33.7																																																																																																																																																			
17	oou	OOy	0.5	34.2	0.5	4.199999999999999													0.5	102.80000000000001	0.5	99.40000000000002																																																																																																																																
19	Aiy	aiu	0.4	34.6	0.4	4.6			0.4	99.20000000000002	0.4	99.20000000000002	0.4	99.20000000000002							-2	97.40000000000002																																																																																																																																
20	OOe	ooe	0.3333333333333333	34.93333333333334	0.3333333333333333	4.933333333333333	0.3333333333333333	100.33333333333333	0.3333333333333333	99.53333333333335	0.3333333333333333	99.53333333333335	0.3333333333333333	99.53333333333335					-2	100.80000000000001																																																																																																																																		
21	oEE	Oee	0.4	35.333333333333336	0.4	5.333333333333333											0.4	102.03333333333335	0.4	101.20000000000002	0.4	97.80000000000003																																																																																																																																
22	aai	AAi	0.4	35.733333333333334	0.4	5.733333333333333			-2	97.53333333333335	-2	97.53333333333335	-2	97.53333333333335							0.4	98.20000000000003																																																																																																																													0.4	97.66666666666669	0.4	97.66666666666669
23	Ae	ae	0.4	36.13333333333333	0.4	6.133333333333334			0.4	97.93333333333335	0.4	97.93333333333335	0.4	97.93333333333335							-2	96.20000000000003																																																																																																																									-2	96.36666666666667	-2	96.36666666666667	-2	95.66666666666669	-2	95.66666666666669
24	yOO	uoo	0.3333333333333333	36.46666666666667	0.3333333333333333	6.466666666666667	0.3333333333333333	100.66666666666666	0.3333333333333333	98.26666666666668	0.3333333333333333	98.26666666666668	0.3333333333333333	98.26666666666668					-2	99.20000000000002																																																																																																																																		
25	aIE	Aie	0.3333333333333333	36.800000000000004	0.3333333333333333	6.8									0.3333333333333333	101.46666666666667	0.3333333333333333	102.36666666666667	0.3333333333333333	99.53333333333335	0.3333333333333333	96.53333333333336																																																																																																																																
29	uee	yee	0.2857142857142857	37.08571428571429	0.2857142857142857	7.085714285714285			-2	96.26666666666668	-2	96.26666666666668	-2	96.26666666666668							0.2857142857142857	96.81904761904765																																																																																																																									0.2857142857142857	96.65238095238097	0.2857142857142857	96.65238095238097	0.2857142857142857	95.95238095238098	0.2857142857142857	95.95238095238098
30	ooa	OOA	0.5	37.58571428571429	0.5	7.585714285714285	-2	98.66666666666666											0.5	100.03333333333335	0.5	97.31904761904765																																																																																																																																
31	AyO	auo	0.3333333333333333	37.919047619047625	0.3333333333333333	7.9190476190476184	0.3333333333333333	98.99999999999999	0.3333333333333333	96.60000000000001	0.3333333333333333	96.60000000000001	0.3333333333333333	96.60000000000001					-2	98.03333333333335																																																																																																																																		
33	aao	AAO	0.5	38.419047619047625	0.5	8.419047619047618	-2	96.99999999999999											0.5	98.53333333333335	0.5	97.81904761904765																																																																																																																																
34	Aiy	aiu	0.4	38.81904761904762	0.4	8.819047619047618			0.4	97.00000000000001	0.4	97.00000000000001	0.4	97.00000000000001							-2	95.81904761904765																																																													-2	96	-2	96																																																																
35	yOe	uoe	0.3333333333333333	39.15238095238096	0.3333333333333333	9.152380952380952	0.3333333333333333	97.33333333333331	0.3333333333333333	97.33333333333334	0.3333333333333333	97.33333333333334	0.3333333333333333	97.33333333333334					-2	96.53333333333335																																																																																																											-2	96.16666666666667	-2	96.16666666666667	-2	96.66666666666667	-2	96.66666666666667																
37	auo	AyO	0.5	39.65238095238096	0.5	9.652380952380952	-2	95.33333333333331	-2	95.33333333333334	-2	95.33333333333334	-2	95.33333333333334					0.5	97.03333333333335	0.5	96.31904761904765																																																																																																																																
39	uuu	yyy	0.6666666666666666	40.31904761904762	0.6666666666666666	10.319047619047618															0.6666666666666666	96.98571428571432																																																																																																																																
45	AAA	aaa	0.4	40.71904761904762	0.4	10.719047619047618			0.4	95.73333333333335	0.4	95.73333333333335	0.4	95.73333333333335							-2	94.98571428571432																																																																																																																																
