trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
2	aIo	aio			2	2							-2	98	2	102	2	102	2	102	2	102																																																									-2	98	-2	98	-2	98	-2	98																																																													-2	98	-2	98
2	Apriori	Id(Bk)Syl1>>Id(Bk)	2	2																																																																																																																																																			
4	AOi	aoi	2	4	0	2	2	102	2	102	2	102	2	100					-2	100	-2	100																																																																																																													-2	98	-2	98													-2	96	-2	96
5	uu	yy	2	6	0	2			-2	100	-2	100	-2	98							2	102																																																																																																																																
6	ooE	OOe	2	8	0	2	-2	100	-2	98	-2	98	-2	96			2	104	2	102	2	104																																																																																																																																
7	AiA	aia	2	10	0	2			2	100	2	100	2	98							-2	102																																																													-2	96	-2	96																																																													-2	94	-2	94
13	OOO	ooo	2	12	0	2	2	102	2	102	2	102	2	100					-2	100	-2	100																																																																																																																																
14	ai	Ai	2	14	0	2			-2	100	-2	100	-2	98							2	102																																																																																																																													2	96	2	96
15	auu	Ayy	2	16	0	2			-2	98	-2	98	-2	96							2	104																																																																																																																																
16	Ae	ae	2	18	0	2			2	100	2	100	2	98							-2	102																																																																																																																									-2	98	-2	98	-2	94	-2	94
21	Aii	aii	2	20	0	2			2	102	2	102	2	100							-2	100																																																																																																																													-2	92	-2	92
22	oio	OiO	2	22	0	2	-2	100	-2	100	-2	100	-2	98					2	102	2	102																																																									2	100	2	100	2	98	2	98																																													2	100	2	100													2	94	2	94
23	AO	ao	2	24	0	2	2	102	2	102	2	102	2	100					-2	100	-2	100																																																																																																																																
24	oou	OOy	2	26	0	2	-2	100	-2	100	-2	100	-2	98					2	102	2	102																																																																																																																																
26	Ay	au	2	28	0	2			2	102	2	102	2	100							-2	100																																																																																																																																
27	aOe	aoe			2	4	2	102	2	104	2	104	2	102					-2	100	-2	98																																																																																																									-2	98	-2	98	-2	98	-2	98	2	102	2	102	2	102	2	102			-2	96			-2	92
30	uIo	uio			2	6							-2	100	2	104	2	106	2	102	2	100																																																									-2	98	-2	98	-2	96	-2	96																																																													-2	92	-2	90
32	ooe	OOe	2	30	0	6	-2	100	-2	102	-2	102	-2	98					2	104	2	102																																																																																																									2	100	2	100	2	100	2	100									2	100	2	98	2	94	2	92
33	Aye	aue	2	32	0	6			2	104	2	104	2	100							-2	100																																																																																																																									-2	98	-2	96	-2	92	-2	90
34	oe	Oe	2	34	0	6	-2	98	-2	102	-2	102	-2	98					2	106	2	102																																																																																																									2	102	2	102	2	102	2	102									2	100	2	98	2	94	2	92
38	yi	ui	2	36	0	6			2	104	2	104	2	100							-2	100																																																																																																																													-2	92	-2	90
39	oEi	oei			2	8					-2	102	-2	98			2	108	2	108	2	102																																																																																													2	102	2	102									-2	100	-2	100			2	104									-2	98	-2	96			2	92
40	ui	yi	2	38	0	8			-2	102	-2	100	-2	96							2	104																																																																																																																													2	94	2	94
41	aaa	AAA	2	40	0	8			-2	100	-2	98	-2	94							2	106																																																																																																																																
45	AOy	aou	2	42	0	8	2	100	2	102	2	100	2	96					-2	106	-2	104																																																																																																																																
47	Oai	oai	2	44	0	8	2	102	2	104	2	102	2	98					-2	104	-2	102													2	102	2	102													2	102	2	102													2	102	2	102													2	98	2	98																																															-2	102															-2	92
50	aou	AOy	2	46	0	8	-2	100	-2	102	-2	100	-2	96					2	106	2	104																																																																																																																																
52	AOe	aoe	2	48	0	8	2	102	2	104	2	102	2	98					-2	104	-2	102																																																																																																									-2	98	-2	98	-2	100	-2	100									-2	96	-2	94	-2	92	-2	90
54	ooi	OOi	2	50	0	8	-2	100	-2	102	-2	100	-2	96					2	106	2	104																																																																																																													2	102	2	102													2	94	2	92
55	AAe	aae	2	52	0	8			2	104	2	102	2	98							-2	102																																																																																																																									-2	94	-2	92	-2	92	-2	90
56	aai	AAi	2	54	0	8			-2	102	-2	100	-2	96							2	104																																																																																																																													2	94	2	92
61	yie	uie	2	56	0	8			2	104	2	102	2	98							-2	102																																																																																																																											-2	90	-2	92	-2	90
63	Aie	aie	2	58	0	8			2	106	2	104	2	100							-2	100																																																																																																																											-2	88	-2	90	-2	88
64	uaa	yAA	2	60	0	8			-2	104	-2	102	-2	98							2	102																																																																																																																																
67	uei	yei	2	62	0	8			-2	102	-2	100	-2	96							2	104																																																																																																																									2	96	2	90	2	92	2	90
69	Oiy	oiu	2	64	0	8	2	102	2	104	2	102	2	98					-2	104	-2	102																																																													-2	96	-2	96																																													-2	100	-2	100													-2	90	-2	88
71	uui	yyi	2	66	0	8			-2	102	-2	100	-2	96							2	104																																																																																																																													2	92	2	90
