trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
1	Oey	oeu	2	2	0	0	2	102	2	102	2	102	2	102					-2	98	-2	98																																													-2	98	-2	98													-2	98	-2	98																																									-2	98	-2	98	-2	98	-2	98									-2	98	-2	98	-2	98	-2	98
2	IaI	iai	2	4	0	0							-2	100	2	102	2	102	2	100	2	100																																																													0	98	0	98																																																													0	98	0	98
3	uae	yae	2	6	0	0			-2	100	-2	100	-2	98							2	102																													-2	98	-2	98													0	98	0	98													0	98	0	98																																																											2	100			2	100
4	oue	Oue	2	8	0	0	-2	100	0	100	0	100	0	98					2	102	2	104													0	100	0	100													0	98	0	98													0	98	0	98													0	98	0	98																																											2	100			2	100											2	102			2	102
5	eAe	eae			2	2			2	102	2	102	2	100							-2	102																																													0	98	0	98													0	98	0	98																																																									0	98	-2	100	0	98	-2	100
7	OOA	Ooa			2	4	2	102	2	104	2	104	2	102					-2	100	-2	100									0	100	0	100	0	100	0	100									0	100	0	100	0	98	0	98									0	100	0	100	0	98	0	98									0	100	0	100	0	98	0	98																																																																
7	Apriori	Id(Bk)Syl1>>Id(Bk)	1.1999999999999993	9.2																																																																																																																																																			
8	aEE	aee			2	6					-2	102	-2	100			2	104	2	102	2	102																																																																																																																									0	98	0	100	0	98	0	100
8	Apriori	Id(Bk)Syl1>>Id(Bk)	2.0	11.2																																																																																																																																																			
9	AO	Ao			2	8	2	104	2	106	2	104	2	102					0	102	0	102																									0	100	0	100	0	98	0	98									0	100	0	100	0	98	0	98									0	100	0	100	0	98	0	98																																																																
9	Apriori	Id(Bk)Syl1>>Id(Bk)	2.0	13.2																																																																																																																																																			
11	Euu	euu	2	15.2	0	8					-2	102	0	102			2	106	2	104	2	104																																													0	98	0	98													0	98	0	98																																																																
13	eu	Eu	2	17.2	0	8					2	104	2	104			-2	104	-2	102	-2	102																																													2	100	2	100													2	100	2	100																																																																
15	EoI	eoi	2	19.2	0	8					-2	102	-2	102	2	104	2	106	2	104	2	104																																									0	100	0	100	0	100	0	100									0	100	0	100	0	100	0	100																																													0	98	0	100													0	98	0	100
16	AOO	aoo	2	21.2	0	8	2	106	2	108	2	104	2	104					0	104	0	104																																																																																																																																
18	aeo	Aeo	2	23.2	0	8			-2	106	-2	102	-2	102							2	106																											0	100			0	98																																																																																									2	100	2	102	2	100	2	102
19	iAy	iau			2	10			2	108	2	104	2	104							-2	104																																																													0	100	0	100																																																																
20	uoo	yoo	2	25.2	0	10			-2	106	-2	102	-2	102							2	106																									0	100	0	100	0	98	0	98									0	100	0	100	0	100	0	100									0	100	0	100	0	100	0	100																																																																
21	uii	yii	2	27.2	0	10			-2	104	0	102	0	102							2	108																																																																																																																													2	102	2	104
22	eA	ea			2	12			2	106	2	104	2	104							-2	106																																													0	100	0	100													0	100	0	100																																																																
24	ue	ye	2	29.2	0	12			-2	104	0	104	0	104							2	108																																																																																																																									2	102	2	104	2	104	2	106
25	yAO	uao	2	31.2	0	12	2	108	2	106	2	106	2	106					0	104	-2	106																																																																																																																																
26	ooa	Ooa	2	33.2	0	12	-2	106	-2	104	-2	104	-2	104					2	106	2	108									0	100	0	100	0	100	0	100									0	100	0	100	0	98	0	98									0	100	0	100	0	100	0	100									0	100	0	100	0	100	0	100																																																																
27	eyy	euu			2	14			2	106	2	106	2	106							-2	106																																													0	100	0	100													0	100	0	100																																																																
28	oEo	Oeo	2	35.2	0	14	-2	104	-2	104	-2	104	-2	104			2	108	2	108	2	108											0	100			0	100											0	100			0	98									0	100	0	100	0	100	0	100									0	100	0	100	0	100	0	100																																																																
29	Aiy	Aiu			2	16			2	106	2	106	2	106							-2	106																															0	98															0	100													0	100	0	100																																																																
31	iyy	iuu			2	18			2	108	2	108	2	108							-2	104																																																													0	100	0	100																																																																
32	uI	yi	2	37.2	0	18			-2	106	-2	106	-2	106	2	106	2	110	2	110	2	106																																																																																																																																
35	uee	yee	2	39.2	0	18			-2	104	-2	104	-2	104							2	108																																																																																																																									2	104	2	106	2	106	2	108
36	Aee	aee	2	41.2	0	18			2	106	2	106	2	106							-2	106																																																																																																																									-2	102	-2	104	-2	104	-2	106
37	Oi	oi	2	43.2	0	18	2	106	2	108	2	108	2	108					-2	108	-2	104																																																																																																													0	98	0	100													0	104	-2	104
40	aoa	Aoa	2	45.2	0	18			-2	106	-2	106	-2	106							2	106																									0	100	0	100	0	98	0	98									0	100	0	100	0	100	0	100									0	100	0	100	0	100	0	100																																																																
42	OOi	ooi	2	47.2	0	18	2	108	2	108	2	108	2	108					-2	106	-2	104																																																																																																													0	98	0	100													0	104	0	104
43	oEu	Oeu	2	49.2	0	18	0	108	0	108	0	108	0	108			2	112	2	108	2	106															0	100															0	98													0	100	0	100													0	100	0	100																																																																
45	oo	Oo	2	51.2	0	18	-2	106	-2	106	-2	106	-2	106					2	110	2	108									0	100	0	100	0	100	0	100									0	100	0	100	0	98	0	98									0	100	0	100	0	100	0	100									0	100	0	100	0	100	0	100																																																																
46	Ayy	auu	2	53.2	0	18			2	108	2	108	2	108							-2	106																																																																																																																																
51	aOa	Aoa	2	55.2	0	18	2	108											-2	108															2	102	2	102									0	100	0	100			0	98									0	100	0	100			0	100									0	100	0	100			0	100																																																	2	102	2	102	2	102	2	102	2	104	2	106	2	106	2	106
58	aao	Aao	2	57.2	0	18			-2	106	-2	106	-2	106							2	108																											0	100	0	98	0	98											0	100	0	100	0	100											0	100	0	100	0	100																																																																
60	OOi	ooi	2	59.2	0	18	2	110	2	108	2	108	2	108					-2	106	-2	106																																																																																																													0	98	0	100													0	106	0	106
64	uue	yue	2	61.2	0	18			-2	106	-2	106	-2	106							2	108																													0	98	0	98													0	100	0	100													0	100	0	100																																																											2	108			2	108
65	eei	Eei	2	63.2	0	18					2	108	2	108			-2	110	-2	104	-2	106																																																																																									0	100	0	100	0	100	0	100									0	98	0	100	0	98	0	100									0	104	-2	106	-2	104	-2	106
66	eAe	Eae	2	65.2	0	18			2	108	2	110	2	110			-2	108	0	104	0	106																																																																																											0	100			0	100											0	100			0	100									0	104	0	106	0	104	0	106
67	aII	Aii	2	67.2	0	18			-2	106	-2	108	-2	108	2	108	2	110	2	106	2	108																																																																																																																																
68	ouu	Ouu	2	69.2	0	18	-2	108	0	106	-2	106	-2	106					2	108	2	110													0	102	0	102													0	98	0	98													0	100	0	100													0	100	0	100																																																																
69	iyO	iuo			2	20	2	110	2	108	2	108	2	108					-2	106	-2	108																																																											0	100	0	100	0	100																																																																
70	uei	yei	2	71.2	0	20			-2	106	-2	106	-2	106							2	110																																																																																																																									2	106	2	108	2	106	2	108
71	Ayo	Auo			2	22			2	108	2	108	2	108							-2	108																									2	102					0	98									2	102					0	100									2	102					0	100																																																																
72	ooE	ooe			2	24					0	108	0	108			2	112	2	108	2	110																																																																																																									0	98	0	100	0	98	0	100									0	106	0	108	0	106	0	108
74	AAO	Aao			2	26	2	112	2	110	2	110	2	110					0	108	-2	108																											0	100	0	98	0	98											0	100	0	100	0	100											0	100	0	100	0	100																																																																
75	aeu	Aeu	2	73.2	0	26			-2	108	-2	108	-2	108							2	110																															0	98																																																																																									2	108	2	110	2	108	2	110
77	eiy	Eiu	2	75.2	0	26			2	110	2	110	2	110			-2	110	-2	106	-2	108																																																													0	100	0	100																													0	100	0	100													0	98	0	100													-2	106	-2	108
79	aau	Aau	2	77.2	0	26			-2	108	-2	108	-2	108							2	110																													0	98	0	98													0	100	0	100													0	100	0	100																																																																
81	yA	ya			2	28			2	110	2	110	2	110							-2	108																													0	98	0	98													0	100	0	100													0	100	0	100																																																																
83	uE	ue			2	30					-2	108	-2	108			2	112	2	108	2	110																																																																																																																									0	108	-2	108	0	106	0	108
85	aiu	Aiu	2	79.2	0	30			-2	108	0	108	0	108							2	112																															0	98															0	100																																																																													2	108	2	110
87	eOy	eou			2	32	2	114	2	110	2	110	2	110					0	108	-2	110																																									0	102	0	100	0	100	0	100									0	102	0	100	0	100	0	100																																																																
88	oei	Oei	2	81.2	0	32	-2	112	-2	108	-2	108	-2	108					2	110	2	112																																																																																																									2	100	2	102	2	100	2	102									2	110	2	110	2	110	2	112
89	eiA	eia			2	34			2	110	2	110	2	110							-2	110																																															0	100													0	100	0	100																																																																
90	Oee	oee	2	83.2	0	34	2	114	2	112	2	112	2	112					0	110	0	110																																																																																																									0	100	0	102	0	100	0	102									0	110	0	110	0	110	-2	110
92	Iua	iua	2	85.2	0	34							-2	110	2	110	2	114	2	112	2	112																																																													0	100	0	100																																																																
94	eyi	eui			2	36			2	114	2	114	2	112							-2	110																																													0	100	0	100													0	100	0	100																																																													0	110	0	110
96	oai	Oai	2	87.2	0	36	-2	112	-2	112	-2	112	-2	110					2	114	2	112													0	102	0	102													0	98	0	98													0	100	0	100													0	100	0	100																																															2	104															2	112
97	uua	yua	2	89.2	0	36			-2	110	-2	110	0	110							2	114																													0	98	0	98													0	100	0	100													0	100	0	100																																																																
99	AOO	aoo	2	91.2	0	36	2	114	2	112	2	112	2	112					-2	112	-2	112																																																																																																																																
101	uau	yau	2	93.2	0	36			-2	110	-2	110	-2	110							2	114																													0	98	0	98													0	100	0	100													0	100	0	100																																																																
102	ee	Ee	2	95.2	0	36					2	112	2	112			-2	112	-2	110	-2	112																																																																																									0	100	0	100	0	100	0	100									0	100	0	102	0	100	0	104									-2	108	-2	108	-2	108	-2	110
103	uEo	yeo	2	97.2	0	36			0	110	-2	110	-2	110			2	114	2	112	2	114																											0	100			0	98									0	102	0	100	0	100	0	100									0	102	0	100	0	100	0	100																																																																
104	eyA	eua			2	38			2	112	2	112	2	112							-2	112																																													0	100	0	100													0	100	0	100																																																																
105	eau	Eau	2	99.2	0	38					2	114	2	114			-2	112	-2	110	-2	110																																													2	102	2	102													2	102	2	102																																																																
106	uai	yai	2	101.2	0	38			-2	110	-2	112	-2	112							2	112																													0	98	0	98													0	102	0	102													0	102	0	102																																																															2	112
107	uI	yi	2	103.2	0	38			0	110	-2	110	-2	110	2	112	2	114	2	112	2	114																																																																																																																																
108	eAO	Eao	2	105.2	0	38	2	116	2	112	2	112	2	112			-2	112	0	112	-2	112																																																																																																																																
