trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
3	auo	AyO	2	2	0	0	-2	98	-2	98	-2	98	-2	98					2	102	2	102																																																																																																																																
5	aia	AiA	2	4	0	0			0	98	0	98	0	98							2	104																																																													2	102	2	102																																																													2	102	2	102
7	AA	aa	2	6	0	0			2	100	2	100	2	100							-2	102																																																																																																																																
8	AeA	aea	2	8	0	0			2	102	2	102	2	102							-2	100																																													-2	98	-2	98													-2	100	-2	100																																																									-2	98	-2	98	-2	100	-2	100
9	OAy	oau	2	10	0	0	2	100	2	104	2	104	2	104					-2	100	0	100																																																																																																																																
10	oII	Oii	2	12	0	0	-2	98	-2	102	-2	102	-2	102	2	102	2	102	2	102	2	102																																																																																																																																
13	OyO	ouo	2	14	0	0	2	100	2	104	2	104	2	104					-2	100	-2	100																																																																																																																																
14	aIE	Aie	2	16	0	0			-2	102	-2	102	-2	102	2	104	2	104	2	102	2	102																																																																																																																																
16	Oeu	Oey			2	2			-2	100	-2	100	-2	100							2	104															2	102															2	102													2	100	2	100													2	102	2	102																																																																
20	ye	ue	2	18	0	2			2	102	2	102	2	102							-2	102																																																																																																																									0	98	0	98	-2	98	-2	98
21	oIa	oia			2	4							0	102	2	106	2	106	2	104	2	104																																																													0	102	0	102																																													0	100	0	100													0	98	0	98
22	Aie	aie	2	20	0	4			2	104	2	104	2	104							-2	102																																																																																																																											0	98	0	98	0	98
25	oEo	oeo			2	6					0	104	0	104			2	108	2	106	2	104																																									0	100	0	100	0	100	0	100									0	100	0	100	0	102	0	102																																									0	100	0	100	0	100	0	100									0	98	0	98	0	98	0	98
28	aea	AeA	2	22	0	6			-2	102	-2	102	-2	102							2	106																																													2	102	2	102													2	104	2	104																																																									2	100	2	100	2	100	2	100
30	AyO	auo	2	24	0	6	2	102	2	104	2	104	2	104					-2	104	-2	104																																																																																																																																
32	aiA	AiA	2	26	0	6			-2	102	-2	102	-2	102							2	106																																																																																																																							2	102			2	102	2	102	2	102
33	AAe	aae	2	28	0	6			2	104	2	104	2	104							-2	104																																																																																																																									0	100	-2	100	-2	100	-2	100
37	yeA	uea	2	30	0	6			2	106	2	106	2	106							-2	102																																													0	102	0	102													-2	102	-2	102																																																									0	100	0	100	0	100	0	100
