trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		236.9004591375994		167.58177828626808		214.08193563475623		218.78797090501752		257.9593411324837		196.19467486410124		226.85257855764365		166.32129591864748		178.19346441216143		299.8422533497761		287.7630406224829		247.73446546691105		229.4778617384357		258.8650414208349		162.35288366069108		173.68349265920241		170.57042138965758		221.06197207767076		183.09775476952078		208.31042249750774		264.669035900671		179.60487950953012		241.54736866294803		203.10369530622964		213.3748817777941		176.75766571907485		226.80366108413384		170.7145658694751		290.87291341757316		164.37390013080733		220.81452778175415		235.44991047694992		225.50404697382663		158.89560687561223		279.5323782037964		207.25959639198334		196.9256320328192		284.69981613014477		274.81548491416567		283.5678342326157		212.4357791396252		194.6914014810149		184.00535409666747		194.20679789465675		269.619358221076		190.55557378357776		166.4959261889628		217.9785365242467		226.9328532827766		290.67467454873486		202.4883134537774		268.501991682202		271.6820685009665		240.76972876040526		180.62687790785915		228.74635223301232		208.31753842836372		236.66378388198456		254.21806656154297		175.29013640803188		252.47634435295623		262.99133225934656		281.31394946632395		178.13750851140924		155.83471784695433		153.09095490073764		233.65005652609509		288.9423409428738		182.02822847222006		181.88156824171378		254.070536011846		284.9104877053433
3	AOi	aoi	0.2857142857142857	0.2857142857142857	0.2857142857142857	0.2857142857142857	0.2857142857142857	237.18617342331368	0.2857142857142857	167.86749257198235	0.2857142857142857	214.3676499204705	0.2857142857142857	219.0736851907318					-2	224.85257855764365	-2	164.32129591864748																																																																																																													-2	279.31394946632395	-2	176.13750851140924													-2	252.070536011846	-2	282.9104877053433
5	OiA	oia	0.2857142857142857	0.5714285714285714	0.2857142857142857	0.5714285714285714	0.2857142857142857	237.47188770902795	0.2857142857142857	168.15320685769663	0.2857142857142857	214.6533642061848	0.2857142857142857	219.35939947644607					-2	222.85257855764365	-2	162.32129591864748																																																													-2	272.81548491416567	-2	281.5678342326157																																													-2	277.31394946632395	-2	174.13750851140924													-2	250.070536011846	-2	280.9104877053433
8	aoE	aoe			0.4	0.9714285714285714					-2	212.6533642061848	-2	217.35939947644607			0.4	196.59467486410125	0.4	223.25257855764366	0.4	162.72129591864748																																																																																																									-2	250.47634435295623	-2	260.99133225934656	-2	275.31394946632395	-2	172.13750851140924									-2	180.02822847222006	-2	179.88156824171378	-2	248.070536011846	-2	278.9104877053433
12	ouE	oue			0.4	1.3714285714285714					-2	210.6533642061848	-2	215.35939947644607			0.4	196.99467486410126	0.4	223.65257855764366	0.4	163.1212959186475																																																																																																											-2	258.99133225934656			-2	170.13750851140924									-2	178.02822847222006	-2	177.88156824171378	-2	246.070536011846	-2	276.9104877053433
13	iyy	iuu			0.4	1.7714285714285714			0.4	168.55320685769664	0.4	211.0533642061848	0.4	215.75939947644608							-2	161.1212959186475																																																													-2	270.81548491416567	-2	279.5678342326157																																																																
14	eiy	eiu			0.4	2.1714285714285713			0.4	168.95320685769664	0.4	211.4533642061848	0.4	216.15939947644608							-2	159.1212959186475																																															-2	233.44991047694992													-2	268.81548491416567	-2	277.5678342326157																																																																
16	iiA	iia			0.4	2.571428571428571			0.4	169.35320685769665	0.4	211.8533642061848	0.4	216.5593994764461							-2	157.1212959186475																																																													-2	266.81548491416567	-2	275.5678342326157																																																																
18	eAe	eae			0.4	2.971428571428571			0.4	169.75320685769665	0.4	212.2533642061848	0.4	216.9593994764461							-2	155.1212959186475																																													-2	218.81452778175415	-2	231.44991047694992													-2	264.81548491416567	-2	273.5678342326157																																																									-2	176.02822847222006	-2	175.88156824171378	-2	244.070536011846	-2	274.9104877053433
20	Eoa	eoa	0.3333333333333333	0.9047619047619047	0.3333333333333333	3.3047619047619046					-2	210.2533642061848	-2	214.9593994764461			0.3333333333333333	197.3280081974346	0.3333333333333333	223.985911890977	0.3333333333333333	155.45462925198083																																									-2	288.87291341757316	-2	162.37390013080733	-2	216.81452778175415	-2	229.44991047694992									-2	194.9256320328192	-2	282.69981613014477	-2	262.81548491416567	-2	271.5678342326157																																																																
