trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		176.23505876944284		248.60332198434492		296.8696255046293		263.0186446018849		224.0661450246595		200.01032024268667		234.13662649189612		176.44452672963328		281.9076151030822		203.51882851835495		251.79962588751084		255.4384771696833		222.55029064187164		182.32972419633197		264.80017147941703		172.15927909686624		240.59101139906608		211.37484187399963		254.3871382345127		252.8198577896544		217.8790014480528		225.1664526055561		285.20083142737303		238.5967509638536		228.66497722792113		284.8313590652162		185.5745121340356		278.2195548034291		257.5878544869069		157.24065459005027		195.39177461052367		199.6161778328049		261.37643087035093		165.58705686022824		165.73841194770785		164.28268567027536		231.3424116930339		167.04119246116397		295.4680143566562		244.43175742328714		255.92338148041955		161.81442461489078		286.3930558066696		165.29276322856217		154.19033509053386		161.5905399844915		181.79469299530055		192.51735853204315		282.79651961607317		282.53823201571845		191.26642420088746		286.1581007029695		275.4979186792381		194.2368366859296		232.48096522261227		196.15318586118119		275.34097289434374		152.5547296161853		185.82713233639402		282.4267692984683		282.9930814509768		184.4849322284984		195.64804462421023		235.7714688566699		297.29828802588196		284.8438497727148		170.51387405273346		191.091182245163		279.75856608804446		283.4932816354318		287.4927993519924		212.17226359654725
1	uIo	uio			0.3333333333333333	0.3333333333333333							-2	261.0186446018849	0.3333333333333333	224.39947835799285	0.3333333333333333	200.34365357602002	0.3333333333333333	234.46995982522947	0.3333333333333333	176.77786006296662																																																									-2	229.3424116930339	-2	165.04119246116397	-2	293.4680143566562	-2	242.43175742328714																																																													-2	285.4927993519924	-2	210.17226359654725
2	IuE	iue	0.2857142857142857	0.2857142857142857	0.2857142857142857	0.6190476190476191					-2	294.8696255046293	-2	259.0186446018849	0.2857142857142857	224.68519264370713	0.2857142857142857	200.6293678617343	0.2857142857142857	234.75567411094374	0.2857142857142857	177.0635743486809																																																													-2	291.4680143566562	-2	240.43175742328714																																																									-2	277.75856608804446	-2	281.4932816354318	-2	283.4927993519924	-2	208.17226359654725
3	ooE	ooe			0.4	1.019047619047619					-2	292.8696255046293	-2	257.0186446018849			0.4	201.0293678617343	0.4	235.15567411094375	0.4	177.4635743486809																																																																																																									-2	280.9930814509768	-2	182.4849322284984	-2	193.64804462421023	-2	233.7714688566699									-2	275.75856608804446	-2	279.4932816354318	-2	281.4927993519924	-2	206.17226359654725
4	EaI	Eai			0.3333333333333333	1.3523809523809522							-2	255.0186446018849	0.3333333333333333	225.01852597704047	0.3333333333333333	201.36270119506764	0.3333333333333333	235.4890074442771	0.3333333333333333	177.79690768201425																																																																																															-2	194.15318586118119															-2	231.7714688566699													-2	279.4927993519924	-2	204.17226359654725
5	aEa	Aea	0.3333333333333333	0.6190476190476191	0.3333333333333333	1.6857142857142855			-2	246.60332198434492	-2	290.8696255046293	-2	253.0186446018849			0.3333333333333333	201.696034528401	0.3333333333333333	235.82234077761044	0.3333333333333333	178.1302410153476																															-2	236.5967509638536													-2	193.39177461052367	-2	197.6161778328049													-2	289.4680143566562	-2	238.43175742328714																																																																
6	aua	Aua	0.5	1.119047619047619	0.5	2.1857142857142855			-2	244.60332198434492	-2	288.8696255046293	-2	251.0186446018849							0.5	178.6302410153476																													-2	283.20083142737303	-2	234.5967509638536													-2	191.39177461052367	-2	195.6161778328049													-2	287.4680143566562	-2	236.43175742328714																																																																
7	uu	yu	0.5	1.619047619047619	0.5	2.6857142857142855			-2	242.60332198434492	-2	286.8696255046293	-2	249.0186446018849							0.5	179.1302410153476																													-2	281.20083142737303	-2	232.5967509638536													-2	189.39177461052367	-2	193.6161778328049													-2	285.4680143566562	-2	234.43175742328714																																																																
9	oE	oe			0.4	3.0857142857142854					-2	284.8696255046293	-2	247.0186446018849			0.4	202.096034528401	0.4	236.22234077761044	0.4	179.5302410153476																																																																																																									-2	278.9930814509768	-2	180.4849322284984	-2	191.64804462421023	-2	229.7714688566699									-2	273.75856608804446	-2	277.4932816354318	-2	277.4927993519924	-2	202.17226359654725
10	oEE	Oee	0.3333333333333333	1.9523809523809523	0.3333333333333333	3.419047619047619	-2	174.23505876944284	-2	240.60332198434492	-2	282.8696255046293	-2	245.0186446018849			0.3333333333333333	202.42936786173433	0.3333333333333333	236.55567411094378	0.3333333333333333	179.86357434868094																																																																																																																																
11	uEa	uea			0.4	3.819047619047619					-2	280.8696255046293	-2	243.0186446018849			0.4	202.82936786173434	0.4	236.9556741109438	0.4	180.26357434868095																																													-2	187.39177461052367	-2	191.6161778328049													-2	283.4680143566562	-2	232.43175742328714																																																									-2	271.75856608804446	-2	275.4932816354318	-2	275.4927993519924	-2	200.17226359654725
12	aIo	Aio	0.2857142857142857	2.238095238095238	0.2857142857142857	4.104761904761904			-2	238.60332198434492	-2	278.8696255046293	-2	241.0186446018849	0.2857142857142857	225.30424026275475	0.2857142857142857	203.11508214744862	0.2857142857142857	237.24138839665807	0.2857142857142857	180.54928863439523																											-2	223.1664526055561			-2	230.5967509638536											-2	155.24065459005027			-2	189.6161778328049									-2	227.3424116930339	-2	163.04119246116397	-2	281.4680143566562	-2	230.43175742328714																																																																
13	EoE	Eoe			0.4	4.504761904761905					-2	276.8696255046293	-2	239.0186446018849			0.4	203.51508214744862	0.4	237.64138839665807	0.4	180.94928863439523																																																																																											-2	192.2368366859296			-2	192.15318586118119									-2	276.9930814509768	-2	178.4849322284984	-2	189.64804462421023	-2	227.7714688566699									-2	269.75856608804446	-2	273.4932816354318	-2	273.4927993519924	-2	198.17226359654725
14	Iuu	iuu	0.2857142857142857	2.5238095238095237	0.2857142857142857	4.79047619047619							-2	237.0186446018849	0.2857142857142857	225.58995454846902	0.2857142857142857	203.8007964331629	0.2857142857142857	237.92710268237235	0.2857142857142857	181.2350029201095																																																													-2	279.4680143566562	-2	228.43175742328714																																																																
