trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		292.944392291038		271.89310349003506		230.16693335995075		261.3843431296754		203.9801839473717		187.85017180909668		156.04111956619036		224.3880394042036		217.003850099239		246.90974928912698		271.4114928464545		205.24340362195358		222.53066305240247		286.28656387000115		227.7546161819086		212.1159805878599		253.69383957396715		284.8901021656004		243.95227269764266		243.3486040945194		225.6405971132711		178.40843239627196		208.91139989814042		228.24723259418403		151.4857746544436		218.35001773073435		243.45490667017867		296.81323901437463		239.3165821918139		248.99508415487878		288.4537077743406		155.2479652404859		251.53290235016505		299.4876606637547		162.11829832319376		286.23594721918585		190.02748318894956		256.75355963225695		188.28706005347618		291.1869351537392		151.47533755767728		247.91356455207068		214.36738832992862		234.19333001064444		214.94551005844698		216.3392809515862		210.12571527912112		166.53603116322157		252.8291400155028		255.89990210247112		225.96898972775816		295.90063880990215		217.71852041512244		289.31605545745276		150.19438534286584		155.94782273677285		167.52261507086786		244.50289263773317		202.9296806463634		193.24281449122248		264.79134502847654		209.17168070579652		207.30313900033093		188.61494417543716		238.57386424811008		202.62340845201837		249.37814070354563		166.8295028857773		253.96225285567454		260.1466866865784		262.1136798667804		234.82194625559407
1	aI	Ai	0.2857142857142857	0.2857142857142857	0.2857142857142857	0.2857142857142857			-2	269.89310349003506	-2	228.16693335995075	-2	259.3843431296754	0.2857142857142857	204.26589823308598	0.2857142857142857	188.13588609481096	0.2857142857142857	156.32683385190464	0.2857142857142857	224.67375368991787																																																																																																																																
2	aIu	aiu			0.3333333333333333	0.6190476190476191							-2	257.3843431296754	0.3333333333333333	204.59923156641932	0.3333333333333333	188.4692194281443	0.3333333333333333	156.66016718523798	0.3333333333333333	225.00708702325122																																																													-2	186.28706005347618	-2	289.1869351537392																																																													-2	260.1136798667804	-2	232.82194625559407
4	uua	yyA	0.5	0.7857142857142857	0.5	1.119047619047619			-2	267.89310349003506	-2	226.16693335995075	-2	255.38434312967541							0.5	225.50708702325122																																																																																																																																
5	IEa	iEa	0.2857142857142857	1.0714285714285714	0.2857142857142857	1.4047619047619047							-2	253.38434312967541	0.2857142857142857	204.8849458521336	0.2857142857142857	188.75493371385858	0.2857142857142857	156.94588147095226	0.2857142857142857	225.7928013089655																																																					-2	160.11829832319376	-2	284.23594721918585	-2	188.02748318894956	-2	254.75355963225695	-2	184.28706005347618	-2	287.1869351537392																																																																
6	oEu	Oey	0.3333333333333333	1.4047619047619047	0.3333333333333333	1.738095238095238	-2	290.944392291038	-2	265.89310349003506	-2	224.16693335995075	-2	251.38434312967541			0.3333333333333333	189.08826704719192	0.3333333333333333	157.2792148042856	0.3333333333333333	226.12613464229884																																																																																																																																
7	Iuo	iyO	0.2857142857142857	1.6904761904761902	0.2857142857142857	2.0238095238095237	-2	288.944392291038	-2	263.89310349003506	-2	222.16693335995075	-2	249.38434312967541	0.2857142857142857	205.17066013784788	0.2857142857142857	189.3739813329062	0.2857142857142857	157.56492908999988	0.2857142857142857	226.41184892801311																																																																																																																																
8	IoI	iOi	0.2857142857142857	1.9761904761904758	0.2857142857142857	2.3095238095238093	-2	286.944392291038	-2	261.89310349003506	-2	220.16693335995075	-2	247.38434312967541	0.2857142857142857	205.45637442356215	0.2857142857142857	189.65969561862047	0.2857142857142857	157.85064337571416	0.2857142857142857	226.6975632137274																																																																																																																																
9	Iuu	iuu	0.2857142857142857	2.2619047619047614	0.2857142857142857	2.595238095238095							-2	245.38434312967541	0.2857142857142857	205.74208870927643	0.2857142857142857	189.94540990433475	0.2857142857142857	158.13635766142843	0.2857142857142857	226.98327749944167																																																													-2	182.28706005347618	-2	285.1869351537392																																																																
11	IaI	iAi	0.2857142857142857	2.547619047619047	0.2857142857142857	2.8809523809523805			-2	259.89310349003506	-2	218.16693335995075	-2	243.38434312967541	0.2857142857142857	206.0278029949907	0.2857142857142857	190.23112419004903	0.2857142857142857	158.4220719471427	0.2857142857142857	227.26899178515595																																																																																																																																
12	EoE	eOe	0.3333333333333333	2.8809523809523805	0.3333333333333333	3.214285714285714	-2	284.944392291038	-2	257.89310349003506	-2	216.16693335995075	-2	241.38434312967541			0.3333333333333333	190.56445752338237	0.3333333333333333	158.75540528047605	0.3333333333333333	227.6023251184893																																																																																																																																
13	aIE	aiE			0.3333333333333333	3.5476190476190474							-2	239.38434312967541	0.3333333333333333	206.36113632832405	0.3333333333333333	190.89779085671572	0.3333333333333333	159.0887386138094	0.3333333333333333	227.93565845182263																																																					-2	158.11829832319376	-2	282.23594721918585	-2	186.02748318894956	-2	252.75355963225695	-2	180.28706005347618	-2	283.1869351537392																																																													-2	258.1136798667804	-2	230.82194625559407
14	Eo	eO	0.3333333333333333	3.214285714285714	0.3333333333333333	3.880952380952381	-2	282.944392291038	-2	255.89310349003506	-2	214.16693335995075	-2	237.38434312967541			0.3333333333333333	191.23112419004906	0.3333333333333333	159.42207194714274	0.3333333333333333	228.26899178515598																																																																																																																																
15	uIa	yiA	0.2857142857142857	3.4999999999999996	0.2857142857142857	4.166666666666667			-2	253.89310349003506	-2	212.16693335995075	-2	235.38434312967541	0.2857142857142857	206.64685061403833	0.2857142857142857	191.51683847576334	0.2857142857142857	159.70778623285702	0.2857142857142857	228.55470607087025																																																																																																																																
16	uII	uii			0.3333333333333333	4.5							-2	233.38434312967541	0.3333333333333333	206.98018394737167	0.3333333333333333	191.85017180909668	0.3333333333333333	160.04111956619036	0.3333333333333333	228.8880394042036																																																																																																																													-2	256.1136798667804	-2	228.82194625559407
20	au	Ay	0.5	3.9999999999999996	0.5	5.0			-2	251.89310349003506	-2	210.16693335995075	-2	231.38434312967541							0.5	229.3880394042036																																																																																																																																
21	IE	iE	0.2857142857142857	4.285714285714286	0.2857142857142857	5.285714285714286							-2	229.38434312967541	0.2857142857142857	207.26589823308595	0.2857142857142857	192.13588609481096	0.2857142857142857	160.32683385190464	0.2857142857142857	229.67375368991787																																																					-2	156.11829832319376	-2	280.23594721918585	-2	184.02748318894956	-2	250.75355963225695	-2	178.28706005347618	-2	281.1869351537392																																																																
22	oou	OOy	0.4	4.685714285714286	0.4	5.685714285714286	-2	280.944392291038	-2	249.89310349003506	-2	208.16693335995075	-2	227.38434312967541					0.4	160.72683385190464	0.4	230.07375368991788																																																																																																																																
