trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		355.2348874548122		401.6070013194367		285.4010702647582		256.5999765027701		157.65352485866583		254.52224728667045		358.00921186179227		414.8432285264013		222.25868523563176		448.0489827672203		344.33216244067853		214.43084035776457		251.89630937322653		446.9702098365231		447.9702928300648		444.1316833374946		203.07781131653576		345.6038839465641		216.7160619021367		364.2304697158238		397.49876500730556		201.46264665223163		384.30948923631183		384.8557840316878		226.14460790211888		162.39004539230822		409.4519819511847		271.46294353693884		351.11771336252787		186.0716900113625		215.9148512728591		333.97042257944986		192.67828864839623		280.1772837345394		196.63037024601368		184.75132312607215		399.1112422154903		193.63997892260102		235.2922071620244		416.7948662392994		288.4102021953722		448.91508371738945		313.8518308615721		311.0697402041884		296.57900629060657		348.3440246436852		368.812813151776		224.77129038093		227.52022531842647		303.0646136908367		221.60392859261174		184.72519811627456		273.0443479160365		170.07827985306832		219.75994289559935		410.487064859831		404.21213904943266		222.15751420595464		274.31259414496236		376.3737519947015		431.21321473785645		232.37035321930892		367.40517772894714		335.7846000872242		394.1471791425396		439.3841121317419		329.4540536099382		332.27242460818763		318.1673735683132		361.63179647819913		393.3065896552006		248.8195444857572
1	AyO	auo	0.5714285714285714	0.5714285714285714	0	0	0.5714285714285714	355.8063160262408	0.5714285714285714	402.17842989086523	0.5714285714285714	285.97249883618673	0.5714285714285714	257.1714050741987					-2	356.00921186179227	-2	412.8432285264013																																																																																																																																
5	eAO	eao			1.2307692307692308	1.2307692307692308	1.2307692307692308	357.03708525701	1.2307692307692308	403.40919912163446	1.2307692307692308	287.20326806695596	1.2307692307692308	258.4021743049679					-2	354.00921186179227	-2	410.8432285264013																																											-2	184.0716900113625	-2	213.9148512728591	-2	331.97042257944986											-2	191.63997892260102	-2	233.2922071620244	-2	414.7948662392994																																																																
6	yOO	uoo	0.5714285714285714	1.1428571428571428	0	1.2307692307692308	0.5714285714285714	357.60851382843856	0.5714285714285714	403.980627693063	0.5714285714285714	287.7746966383845	0.5714285714285714	258.97360287639646					-2	352.00921186179227	-2	408.8432285264013																																																																																																																																
10	iAe	iae			1.2727272727272727	2.5034965034965033			1.2727272727272727	405.25335496579027	1.2727272727272727	289.04742391111176	1.2727272727272727	260.2463301491237							-2	406.8432285264013																																																													-2	231.2922071620244	-2	412.7948662392994																																																									-2	316.1673735683132	-2	359.63179647819913	-2	391.3065896552006	-2	246.8195444857572
12	yAA	uaa	0.4	1.5428571428571427	0	2.5034965034965033			0.4	405.65335496579024	0.4	289.44742391111174	0.4	260.6463301491237							-2	404.8432285264013																																																																																																																																
17	Eau	eau	1.2	2.742857142857143	0	2.5034965034965033					-2	287.44742391111174	-2	258.6463301491237			1.2	255.72224728667044	1.2	353.20921186179226	1.2	406.04322852640126																																													-2	211.9148512728591	-2	329.97042257944986													-2	229.2922071620244	-2	410.7948662392994																																																																
19	oau	OAy	1.1428571428571428	3.8857142857142857	0	2.5034965034965033	-2	355.60851382843856	-2	403.65335496579024	-2	285.44742391111174	-2	256.6463301491237					1.1428571428571428	354.3520690046494	1.1428571428571428	407.18608566925843																																																																																																																																
21	AiA	aia	1.1111111111111112	4.996825396825397	0	2.5034965034965033			1.1111111111111112	404.76446607690133	1.1111111111111112	286.5585350222228	1.1111111111111112	257.75744126023477							-2	405.18608566925843																																																													-2	227.2922071620244	-2	408.7948662392994																																																													-2	389.3065896552006	-2	244.8195444857572
23	yey	ueu	1.3846153846153846	6.381440781440782	0	2.5034965034965033			1.3846153846153846	406.1490814615167	1.3846153846153846	287.9431504068382	1.3846153846153846	259.14205664485013							-2	403.18608566925843																																													-2	209.9148512728591	-2	327.97042257944986													-2	225.2922071620244	-2	406.7948662392994																																																									-2	314.1673735683132	-2	357.63179647819913	-2	387.3065896552006	-2	242.8195444857572
24	auu	Ayy	1.2	7.581440781440782	0	2.5034965034965033			-2	404.1490814615167	-2	285.9431504068382	-2	257.14205664485013							1.2	404.3860856692584																																																																																																																																
25	aai	AAi	0.8571428571428571	8.438583638583639	0	2.5034965034965033			-2	402.1490814615167	-2	283.9431504068382	-2	255.14205664485013							0.8571428571428571	405.24322852640125																																																																																																																													0.8571428571428571	388.1637325123434	0.8571428571428571	243.67668734290007
