trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		263.3874959353258		239.87556077354805		447.3352216743924		443.87219600563253		264.22052253091465		237.89306496247633		215.9211967748209		437.06751171034944		214.9484836150246		236.1183118803968		277.8813558325767		308.06888595499555		163.05357448261427		171.84119977433966		392.7943077592469		227.26538711217285		257.6736622721955		387.8848324660271		328.1506437515761		187.61583180397594		266.6122386568194		355.83118202649393		265.0743622927032		239.63769223975316		403.6321801753535		287.3233783232326		317.1950328356452		255.83219852804802		365.6858541833129		426.064411839658		222.772285089333		440.2946454381257		315.2565680444775		432.44509226428636		281.3091762057308		208.06574966145712		220.83293762874257		155.73516900715322		394.14765059627416		384.5713915699978		181.05099881645782		294.80854239013246		438.67497935239857		285.3865454509994		278.0555188337329		215.36263948860216		245.96044346727115		164.79567175058995		244.2661747799291		178.397425113951		369.26263610465736		221.073784033797		246.9806224273902		370.7948923043896		248.62444671641447		346.81456731571177		344.679638400985		154.792570489416		333.31200151563945		225.79216121963208		240.57570856671583		427.93846553151155		389.4708418132357		392.3744975360536		333.1054491222669		276.34787704599285		350.2291375134132		361.2979938247771		195.85426417637183		267.57903285400437		426.11625002539387		241.691732162367
3	oII	oii			1.0	1.0							-2	441.87219600563253	1.0	265.22052253091465	1.0	238.89306496247633	1.0	216.9211967748209	1.0	438.06751171034944																																																																																																													-2	387.4708418132357	-2	390.3744975360536													-2	424.11625002539387	-2	239.691732162367
4	aoE	aoe			1.4285714285714286	2.428571428571429					-2	445.3352216743924	-2	439.87219600563253			1.4285714285714286	240.32163639104775	1.4285714285714286	218.34976820339233	1.4285714285714286	439.4960831389209																																																																																																									-2	238.57570856671583	-2	425.93846553151155	-2	385.4708418132357	-2	388.3744975360536									-2	193.85426417637183	-2	265.57903285400437	-2	422.11625002539387	-2	237.691732162367
5	EiE	eie	0.2222222222222222	0.2222222222222222	0	2.428571428571429					-2	443.3352216743924	-2	437.87219600563253			0.2222222222222222	240.54385861326998	0.2222222222222222	218.57199042561456	0.2222222222222222	439.7183053611431																																																					0.2222222222222222	281.53139842795304	0.2222222222222222	208.28797188367935	0.2222222222222222	221.0551598509648	0.2222222222222222	155.95739122937545	0.2222222222222222	394.3698728184964	0.2222222222222222	384.79361379222																													0.2222222222222222	248.8466689386367	0.2222222222222222	347.036789537934													0.2222222222222222	385.69306403545795	0.2222222222222222	388.5967197582758													0.2222222222222222	422.3384722476161	0.2222222222222222	237.91395438458923
6	uIo	uio			1.1666666666666667	3.595238095238096							-2	435.87219600563253	1.1666666666666667	266.38718919758134	1.1666666666666667	241.71052527993663	1.1666666666666667	219.73865709228122	1.1666666666666667	440.8849720278098																																																									-2	219.0551598509648	-2	153.95739122937545	-2	392.3698728184964	-2	382.79361379222																																																													-2	420.3384722476161	-2	235.91395438458923
8	oai	Oai	1.411764705882353	1.6339869281045751	0	3.595238095238096	-2	261.3874959353258	-2	237.87556077354805	-2	441.3352216743924	-2	433.87219600563253					1.411764705882353	221.15042179816356	1.411764705882353	442.29673673369217													-2	390.7943077592469	-2	225.26538711217285													-2	263.0743622927032	-2	237.63769223975316													-2	220.772285089333	-2	438.2946454381257													-2	390.3698728184964	-2	380.79361379222																																															1.411764705882353	390.0084844641582															1.411764705882353	237.32571909047158
9	eO	eo			1.3333333333333333	4.928571428571429	1.3333333333333333	262.7208292686591	1.3333333333333333	239.2088941068814	1.3333333333333333	442.66855500772573	1.3333333333333333	435.20552933896585					-2	219.15042179816356	-2	440.29673673369217																																									-2	363.6858541833129	-2	424.064411839658	-2	218.772285089333	-2	436.2946454381257									-2	217.0551598509648	-2	151.95739122937545	-2	388.3698728184964	-2	378.79361379222																																																																
11	iEa	iea			0.6153846153846154	5.543956043956044					-2	440.66855500772573	-2	433.20552933896585			0.6153846153846154	242.32590989532125	0.6153846153846154	219.76580641354818	0.6153846153846154	440.9121213490768																																													-2	216.772285089333	-2	434.2946454381257					0.6153846153846154	282.1467830433377	0.6153846153846154	208.90335649906396	0.6153846153846154	217.6705444663494	0.6153846153846154	152.57277584476006			0.6153846153846154	379.40899840760466																																																																
14	ey	eu			1.1111111111111112	6.6550671550671545			1.1111111111111112	240.3200052179925	1.1111111111111112	441.7796661188368	1.1111111111111112	434.31664045007693							-2	438.9121213490768																																													-2	214.772285089333	-2	432.2946454381257													-2	386.3698728184964	-2	377.40899840760466																																																																
16	aEa	aea			1.4285714285714286	8.083638583638583					-2	439.7796661188368	-2	432.31664045007693			1.4285714285714286	243.75448132389266	1.4285714285714286	221.1943778421196	1.4285714285714286	440.34069277764826																																													-2	212.772285089333	-2	430.2946454381257													-2	384.3698728184964	-2	375.40899840760466																																																									-2	191.85426417637183	-2	263.57903285400437	-2	418.3384722476161	-2	235.32571909047158
18	iiO	iio			1.0909090909090908	9.174547674547675	1.0909090909090908	263.81173835956815	1.0909090909090908	241.4109143089016	1.0909090909090908	440.8705752097459	1.0909090909090908	433.407549540986					-2	219.1943778421196	-2	438.34069277764826																																																									-2	215.6705444663494	-2	150.57277584476006	-2	382.3698728184964	-2	373.40899840760466																																																																
19	EEE	Eee			1.5555555555555556	10.73010323010323					-2	438.8705752097459	-2	431.407549540986			1.5555555555555556	245.3100368794482	1.5555555555555556	220.74993339767514	1.5555555555555556	439.8962483332038																																																																																									-2	244.9806224273902	-2	368.7948923043896	-2	246.8466689386367	-2	345.036789537934									-2	236.57570856671583	-2	423.93846553151155	-2	383.69306403545795	-2	388.0084844641582									-2	189.85426417637183	-2	261.57903285400437	-2	416.3384722476161	-2	233.32571909047158
20	OO	oo	0.5714285714285714	2.2054154995331468	0	10.73010323010323	0.5714285714285714	264.3831669309967	0.5714285714285714	241.98234288033018	0.5714285714285714	439.44200378117444	0.5714285714285714	431.97897811241455					-2	218.74993339767514	-2	437.8962483332038																																																																																																																																
21	OAi	Oai			1.4666666666666666	12.196769896769897			1.4666666666666666	243.44900954699685	1.4666666666666666	440.9086704478411	1.4666666666666666	433.4456447790812							-2	435.8962483332038													-2	388.7943077592469	-2	223.26538711217285													-2	261.0743622927032	-2	235.63769223975316													-2	210.772285089333	-2	428.2946454381257													-2	380.3698728184964	-2	371.40899840760466																																																													-2	414.3384722476161	-2	231.32571909047158
22	EEa	eea	1.2	3.405415499533147	0	12.196769896769897					-2	438.9086704478411	-2	431.4456447790812			1.2	246.5100368794482	1.2	219.94993339767512	1.2	437.0962483332038																																													-2	208.772285089333	-2	426.2946454381257													-2	378.3698728184964	-2	369.40899840760466																																																																
23	oEo	oeo			1.6363636363636365	13.833133533133534					-2	436.9086704478411	-2	429.4456447790812			1.6363636363636365	248.14640051581182	1.6363636363636365	221.58629703403875	1.6363636363636365	438.7326119695674																																									-2	361.6858541833129	-2	422.064411839658	-2	206.772285089333	-2	424.2946454381257									-2	213.6705444663494	-2	148.57277584476006	-2	376.3698728184964	-2	367.40899840760466																																									-2	234.57570856671583	-2	421.93846553151155	-2	381.69306403545795	-2	386.0084844641582									-2	187.85426417637183	-2	259.57903285400437	-2	412.3384722476161	-2	229.32571909047158
24	eAO	eao			1.2307692307692308	15.063902763902764	1.2307692307692308	265.61393616176593	1.2307692307692308	244.67977877776607	1.2307692307692308	438.1394396786103	1.2307692307692308	430.6764140098504					-2	219.58629703403875	-2	436.7326119695674																																											-2	420.064411839658	-2	204.772285089333	-2	422.2946454381257											-2	146.57277584476006	-2	374.3698728184964	-2	365.40899840760466																																																																
