trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		275.21019118002255		387.90710693438587		405.54208039972775		243.935584142381		313.44600266054124		177.51761825706492		429.20989275694507		294.7483108370987		237.28931261181285		300.9699255767872		407.24058495643055		411.78998947533245		311.7281175218715		156.90405488723223		302.8083294582774		347.2258435430574		231.932756138638		281.21733799631363		243.5255977226035		208.5229465500251		297.77956099472414		205.52150592008064		366.5658508871584		230.08054821364493		224.66678539784715		430.04611991357496		207.7641617138349		339.9804858561837		180.49344356963428		410.9476198820678		257.1415582953773		334.0088931755426		346.6264772151951		321.24978203072715		359.7716524562827		342.3910389961941		214.79049195553455		210.17652520465558		161.65297342654713		419.00528393327477		331.4211587155077		359.87338574366805		303.9082585157762		340.611462760369		171.24092281896466		159.78009842962763		263.73273960846694		254.39201898189427		448.6407745794002		171.18099798528732		228.40820758323287		360.68928812419114		186.5977213390492		262.7026066524547		390.58753646491766		173.69383538300892		364.8680637913068		237.82687471679583		405.0143156548013		256.7686544480738		314.311406416139		434.78496608937365		227.33910438445827		326.57358423900587		334.8608935829708		223.5545765416349		273.3681063593682		412.96236031409836		347.99309491432757		348.8549204654273		209.87792513172565		222.37419971964073
1	iye	iuE			1.2727272727272727	1.2727272727272727			1.2727272727272727	389.1798342071131	1.2727272727272727	406.814807672455	1.2727272727272727	245.20831141510828			-2	175.51761825706492	-2	427.20989275694507	-2	292.7483108370987																																																							-2	340.3910389961941			-2	208.17652520465558	-2	159.65297342654713	-2	417.00528393327477																																																																
3	ei	Ei	1.5	1.5	0	1.2727272727272727					1.5	408.314807672455	1.5	246.70831141510828			-2	173.51761825706492	-2	425.20989275694507	-2	290.7483108370987																																																																																													-2	388.58753646491766	-2	171.69383538300892													-2	225.33910438445827	-2	324.57358423900587													-2	207.87792513172565	-2	220.37419971964073
4	uuO	yyO	0.46153846153846156	1.9615384615384617	0	1.2727272727272727			-2	387.1798342071131	-2	406.314807672455	-2	244.70831141510828							0.46153846153846156	291.20984929863715																																																																																																																	0.46153846153846156	335.32243204450924	0.46153846153846156	224.01611500317335	0.46153846153846156	273.82964482090665	0.46153846153846156	413.4238987756368	0.46153846153846156	348.454633375866	0.46153846153846156	349.31645892696577	0.46153846153846156	208.3394635932641	0.46153846153846156	220.83573818117918
6	iee	iEE			1.5	2.7727272727272725					1.5	407.814807672455	1.5	246.20831141510828			-2	171.51761825706492	-2	423.20989275694507	-2	289.20984929863715																																																					-2	357.7716524562827	-2	338.3910389961941	-2	212.79049195553455	-2	206.17652520465558	-2	157.65297342654713	-2	415.00528393327477																																																																
7	Oie	oiE	1.4444444444444444	3.4059829059829063	0	2.7727272727272725	1.4444444444444444	276.654635624467	1.4444444444444444	388.6242786515576	1.4444444444444444	409.25925211689946	1.4444444444444444	247.65275585955274			-2	169.51761825706492	-2	421.20989275694507	-2	287.20984929863715																																																					-2	355.7716524562827	-2	336.3910389961941	-2	210.79049195553455	-2	204.17652520465558	-2	155.65297342654713	-2	413.00528393327477																																													-2	223.33910438445827	-2	322.57358423900587													-2	206.3394635932641	-2	218.83573818117918
9	eu	ey			0.6666666666666666	3.439393939393939			-2	386.6242786515576	-2	407.25925211689946	-2	245.65275585955274							0.6666666666666666	287.87651596530384																																													0.6666666666666666	257.808224962044	0.6666666666666666	334.6755598422093													0.6666666666666666	156.3196400932138	0.6666666666666666	413.67195059994145																																																																
11	yiA	uia	1.1111111111111112	4.517094017094017	0	3.439393939393939			1.1111111111111112	387.73538976266866	1.1111111111111112	408.37036322801055	1.1111111111111112	246.76386697066386							-2	285.87651596530384																																																													-2	154.3196400932138	-2	411.67195059994145																																																													-2	204.3394635932641	-2	216.83573818117918
12	Oey	oEu	0.75	5.267094017094017	0	3.439393939393939	0.75	277.404635624467	0.75	388.48538976266866	0.75	409.12036322801055	0.75	247.51386697066386			-2	167.51761825706492	-2	419.20989275694507	-2	283.87651596530384																																																																																																																																
13	aee	aEE			0.6	4.039393939393939					0.6	409.72036322801057	0.6	248.11386697066385			-2	165.51761825706492	-2	417.20989275694507	-2	281.87651596530384																																																																																																																									0.6	349.05463337586605	0.6	349.9164589269658	0.6	204.9394635932641	0.6	217.43573818117918
14	uua	yyA	1.2	6.467094017094017	0	4.039393939393939			-2	386.48538976266866	-2	407.72036322801057	-2	246.11386697066385							1.2	283.0765159653038																																																																																																																																
17	uuu	yyy	1.2	7.667094017094017	0	4.039393939393939			-2	384.48538976266866	-2	405.72036322801057	-2	244.11386697066385							1.2	284.2765159653038																																																																																																																																
19	OOi	ooi	1.0909090909090908	8.758003108003109	0	4.039393939393939	1.0909090909090908	278.49554471537607	1.0909090909090908	385.5762988535777	1.0909090909090908	406.81127231891963	1.0909090909090908	245.20477606157294					-2	415.20989275694507	-2	282.2765159653038																																																																																																													-2	221.33910438445827	-2	320.57358423900587													-2	202.9394635932641	-2	215.43573818117918
22	uee	yee	0.6666666666666666	9.424669774669775	0	4.039393939393939			-2	383.5762988535777	-2	404.81127231891963	-2	243.20477606157294							0.6666666666666666	282.9431826319705																																																																																																																									0.6666666666666666	349.72130004253273	0.6666666666666666	350.5831255936325	0.6666666666666666	203.60613025993075	0.6666666666666666	216.10240484784583
23	iOi	ioi			1.3333333333333333	5.372727272727272	1.3333333333333333	279.8288780487094	1.3333333333333333	384.90963218691104	1.3333333333333333	406.14460565225295	1.3333333333333333	244.5381093949063					-2	413.20989275694507	-2	280.9431826319705																																																									-2	208.79049195553455	-2	202.17652520465558	-2	152.3196400932138	-2	409.67195059994145																																													-2	219.33910438445827	-2	318.57358423900587													-2	201.60613025993075	-2	214.10240484784583
25	iyO	iuo			1.0	6.372727272727272	1.0	280.8288780487094	1.0	385.90963218691104	1.0	407.14460565225295	1.0	245.5381093949063					-2	411.20989275694507	-2	278.9431826319705																																																											-2	200.17652520465558	-2	150.3196400932138	-2	407.67195059994145																																																																
26	eaa	Eaa	0.6	10.024669774669775	0	6.372727272727272					0.6	407.744605652253	0.6	246.13810939490628			-2	163.51761825706492	-2	409.20989275694507	-2	276.9431826319705																																													0.6	258.408224962044	0.6	335.2755598422093													0.6	150.9196400932138	0.6	408.2719505999415																																																																
27	iA	ia			0.8571428571428571	7.229870129870129			0.8571428571428571	386.7667750440539	0.8571428571428571	408.6017485093958	0.8571428571428571	246.99525225204914							-2	274.9431826319705																																																													-2	148.9196400932138	-2	406.2719505999415																																																																
28	aau	AAy	1.2	11.224669774669774	0	7.229870129870129			-2	384.7667750440539	-2	406.6017485093958	-2	244.99525225204914							1.2	276.1431826319705																																																																																																																																
29	ii	Ii	1.7142857142857142	12.938955488955488	0	7.229870129870129							1.7142857142857142	246.70953796633486	-2	311.44600266054124	-2	161.51761825706492	-2	407.20989275694507	-2	274.1431826319705																																																																													-2	261.73273960846694	-2	252.39201898189427													-2	386.58753646491766	-2	169.69383538300892													-2	217.33910438445827	-2	316.57358423900587													-2	199.60613025993075	-2	212.10240484784583
31	yeA	uEa	0.8571428571428571	13.796098346098345	0	7.229870129870129			0.8571428571428571	385.6239179011967	0.8571428571428571	407.45889136653864	0.8571428571428571	247.56668082347772			-2	159.51761825706492	-2	405.20989275694507	-2	272.1431826319705																																																																																																																																
35	ua	yA	1.2	14.996098346098345	0	7.229870129870129			-2	383.6239179011967	-2	405.45889136653864	-2	245.56668082347772							1.2	273.3431826319705																																																																																																																																
36	uIo	yiO	0.8888888888888888	15.884987234987234	0	7.229870129870129	-2	278.8288780487094	-2	381.6239179011967	-2	403.45889136653864	-2	243.56668082347772	0.8888888888888888	312.33489154943015	0.8888888888888888	160.4065071459538	0.8888888888888888	406.098781645834	0.8888888888888888	274.2320715208594																																																																																																																																
38	uuu	yyy	1.2	17.084987234987235	0	7.229870129870129			-2	379.6239179011967	-2	401.45889136653864	-2	241.56668082347772							1.2	275.4320715208594																																																																																																																																
40	aue	auE			0.6	7.8298701298701285					0.6	402.05889136653866	0.6	242.16668082347772			-2	158.4065071459538	-2	404.098781645834	-2	273.4320715208594																																																																																																																									0.6	350.32130004253276	0.6	351.1831255936325	0.6	200.20613025993075	0.6	212.70240484784583
41	Oi	oi	1.0909090909090908	18.175896325896325	0	7.8298701298701285	1.0909090909090908	279.91978713961845	1.0909090909090908	380.71482699210577	1.0909090909090908	403.1498004574477	1.0909090909090908	243.2575899143868					-2	402.098781645834	-2	271.4320715208594																																																																																																													-2	215.33910438445827	-2	314.57358423900587													-2	198.20613025993075	-2	210.70240484784583
47	ooi	OOi	0.7272727272727273	18.90316905316905	0	7.8298701298701285	-2	277.91978713961845	-2	378.71482699210577	-2	401.1498004574477	-2	241.2575899143868					0.7272727272727273	402.82605437310673	0.7272727272727273	272.15934424813213																																																																																																													0.7272727272727273	216.066377111731	0.7272727272727273	315.3008569662786													0.7272727272727273	198.93340298720346	0.7272727272727273	211.42967757511855
48	uue	yye	0.6666666666666666	19.56983571983572	0	7.8298701298701285			-2	376.71482699210577	-2	399.1498004574477	-2	239.2575899143868							0.6666666666666666	272.8260109147988																																																																																																																									0.6666666666666666	350.98796670919944	0.6666666666666666	351.8497922602992	0.6666666666666666	199.60006965387012	0.6666666666666666	212.0963442417852
50	yOy	uou	0.5714285714285714	20.141264291264292	0	7.8298701298701285	0.5714285714285714	278.491215711047	0.5714285714285714	377.2862555635343	0.5714285714285714	399.7212290288763	0.5714285714285714	239.8290184858154					-2	400.82605437310673	-2	270.8260109147988																																																																																																																																
52	IIo	Iio			1.4444444444444444	9.274314574314573							-2	237.8290184858154	1.4444444444444444	313.7793359938746	1.4444444444444444	159.85095159039827	1.4444444444444444	402.2704988175512	1.4444444444444444	272.2704553592433																																																									-2	206.79049195553455	-2	198.17652520465558	-2	146.9196400932138	-2	404.2719505999415													-2	259.73273960846694	-2	250.39201898189427													-2	384.58753646491766	-2	167.69383538300892													-2	214.066377111731	-2	313.3008569662786													-2	197.60006965387012	-2	210.0963442417852
54	yey	uEu	0.8571428571428571	20.99840714840715	0	9.274314574314573			0.8571428571428571	378.14339842067716	0.8571428571428571	400.5783718860191	0.8571428571428571	238.68616134295826			-2	157.85095159039827	-2	400.2704988175512	-2	270.2704553592433																																																																																																																																
57	ieO	IEo	0.8888888888888888	21.88729603729604	0	9.274314574314573	0.8888888888888888	279.3801045999359	0.8888888888888888	379.0322873095661	0.8888888888888888	401.467260774908	0.8888888888888888	239.57505023184714	-2	311.7793359938746	-2	155.85095159039827	-2	398.2704988175512	-2	268.2704553592433																																																																																																																																
58	IuE	iye	0.75	22.63729603729604	0	9.274314574314573			-2	377.0322873095661	-2	399.467260774908	-2	237.57505023184714	0.75	312.5293359938746	0.75	156.60095159039827	0.75	399.0204988175512	0.75	269.0204553592433																																																																																																																																
60	ieA	IEa	1.0	23.63729603729604	0	9.274314574314573			1.0	378.0322873095661	1.0	400.467260774908	1.0	238.57505023184714	-2	310.5293359938746	-2	154.60095159039827	-2	397.0204988175512	-2	267.0204553592433																																																																																																																																
62	aIu	Aiy	0.75	24.38729603729604	0	9.274314574314573			-2	376.0322873095661	-2	398.467260774908	-2	236.57505023184714	0.75	311.2793359938746	0.75	155.35095159039827	0.75	397.7704988175512	0.75	267.7704553592433																																																																																																																																
66	Ioo	ioo	1.0	25.38729603729604	0	9.274314574314573							-2	234.57505023184714	1.0	312.2793359938746	1.0	156.35095159039827	1.0	398.7704988175512	1.0	268.7704553592433																																																									-2	204.79049195553455	-2	196.17652520465558	-2	144.9196400932138	-2	402.2719505999415																																																																
71	iOe	ioE			1.2307692307692308	10.505083805083803	1.2307692307692308	280.61087383070515	1.2307692307692308	377.2630565403353	1.2307692307692308	399.69803000567725	1.2307692307692308	235.80581946261637			-2	154.35095159039827	-2	396.7704988175512	-2	266.7704553592433																																																							-2	334.3910389961941	-2	202.79049195553455	-2	194.17652520465558	-2	142.9196400932138	-2	400.2719505999415																																																																
74	EEE	eee	0.6666666666666666	26.053962703962707	0	10.505083805083803					-2	397.69803000567725	-2	233.80581946261637			0.6666666666666666	155.01761825706492	0.6666666666666666	397.43716548421787	0.6666666666666666	267.43712202590996																																																																																																																																
75	yiO	uio	1.2307692307692308	27.284731934731937	0	10.505083805083803	1.2307692307692308	281.8416430614744	1.2307692307692308	378.4938257711045	1.2307692307692308	398.9287992364465	1.2307692307692308	235.0365886933856					-2	395.43716548421787	-2	265.43712202590996																																																									-2	200.79049195553455	-2	192.17652520465558	-2	140.9196400932138	-2	398.2719505999415																																																													-2	195.60006965387012	-2	208.0963442417852
76	oEE	Oee	1.0	28.284731934731937	0	10.505083805083803	-2	279.8416430614744	-2	376.4938257711045	-2	396.9287992364465	-2	233.0365886933856			1.0	156.01761825706492	1.0	396.43716548421787	1.0	266.43712202590996																																																																																																																																
77	uee	uEE			0.6	11.105083805083803					0.6	397.5287992364465	0.6	233.6365886933856			-2	154.01761825706492	-2	394.43716548421787	-2	264.43712202590996																																																																																																																									0.6	351.58796670919946	0.6	352.4497922602992	0.6	196.20006965387012	0.6	208.6963442417852
80	uoi	yOi	0.7272727272727273	29.012004662004664	0	11.105083805083803	-2	277.8416430614744	-2	374.4938257711045	-2	395.5287992364465	-2	231.6365886933856					0.7272727272727273	395.1644382114906	0.7272727272727273	265.1643947531827																																																																																																													0.7272727272727273	214.7936498390037	0.7272727272727273	314.02812969355136													0.7272727272727273	196.92734238114284	0.7272727272727273	209.42361696905792
81	aei	Aei	0.6666666666666666	29.67867132867133	0	11.105083805083803			-2	372.4938257711045	-2	393.5287992364465	-2	229.6365886933856							0.6666666666666666	265.8310614198494																																																																																																																									0.6666666666666666	352.25463337586615	0.6666666666666666	353.1164589269659	0.6666666666666666	197.5940090478095	0.6666666666666666	210.09028363572457
82	yeO	uEo	0.75	30.42867132867133	0	11.105083805083803	0.75	278.5916430614744	0.75	373.2438257711045	0.75	394.2787992364465	0.75	230.3865886933856			-2	152.01761825706492	-2	393.1644382114906	-2	263.8310614198494																																																																																																																																
83	ie	IE	1.1428571428571428	31.571528471528474	0	11.105083805083803					1.1428571428571428	395.42165637930367	1.1428571428571428	231.52944583624273	-2	310.2793359938746	-2	150.01761825706492	-2	391.1644382114906	-2	261.8310614198494																																																																																																																																
84	Ioa	ioa	1.0	32.571528471528474	0	11.105083805083803							-2	229.52944583624273	1.0	311.2793359938746	1.0	151.01761825706492	1.0	392.1644382114906	1.0	262.8310614198494																																																									-2	198.79049195553455	-2	190.17652520465558	-2	138.9196400932138	-2	396.2719505999415																																																																
85	IIo	Iio			1.4444444444444444	12.549528249528247							-2	227.52944583624273	1.4444444444444444	312.72378043831907	1.4444444444444444	152.46206270150938	1.4444444444444444	393.6088826559351	1.4444444444444444	264.27550586429385																																																									-2	196.79049195553455	-2	188.17652520465558	-2	136.9196400932138	-2	394.2719505999415													-2	257.73273960846694	-2	248.39201898189427													-2	382.58753646491766	-2	165.69383538300892													-2	212.7936498390037	-2	312.02812969355136													-2	195.5940090478095	-2	208.09028363572457
86	Eo	eO	1.0	33.571528471528474	0	12.549528249528247	-2	276.5916430614744	-2	371.2438257711045	-2	393.42165637930367	-2	225.52944583624273			1.0	153.46206270150938	1.0	394.6088826559351	1.0	265.27550586429385																																																																																																																																
87	iaa	Iaa	1.0	34.571528471528474	0	12.549528249528247							1.0	226.52944583624273	-2	310.72378043831907	-2	151.46206270150938	-2	392.6088826559351	-2	263.27550586429385																																																													1.0	137.9196400932138	1.0	395.2719505999415																																																																
88	eOy	Eou	0.75	35.321528471528474	0	12.549528249528247	0.75	277.3416430614744	0.75	371.9938257711045	0.75	394.17165637930367	0.75	227.27944583624273			-2	149.46206270150938	-2	390.6088826559351	-2	261.27550586429385																																																																																																																																
89	IIa	Iia			1.375	13.924528249528247							-2	225.27944583624273	1.375	312.09878043831907	1.375	150.83706270150938	1.375	391.9838826559351	1.375	262.65050586429385																																																													-2	135.9196400932138	-2	393.2719505999415													-2	255.73273960846694	-2	246.39201898189427													-2	380.58753646491766	-2	163.69383538300892													-2	210.7936498390037	-2	310.02812969355136													-2	193.5940090478095	-2	206.09028363572457
90	ooE	OOe	1.0	36.321528471528474	0	13.924528249528247	-2	275.3416430614744	-2	369.9938257711045	-2	392.17165637930367	-2	223.27944583624273			1.0	151.83706270150938	1.0	392.9838826559351	1.0	263.65050586429385																																																																																																																																
92	iyO	Iuo	0.8888888888888888	37.21041736041736	0	13.924528249528247	0.8888888888888888	276.2305319503633	0.8888888888888888	370.88271465999344	0.8888888888888888	393.0605452681926	0.8888888888888888	224.16833472513161	-2	310.09878043831907	-2	149.83706270150938	-2	390.9838826559351	-2	261.65050586429385																																																																																																																																
