trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		592.0241073387347		620.9758226351272		500.82321433920487		462.23862834454155		503.45943515239975		600.1555270343531		741.6484001654201		572.016566673638		748.271746534287		584.2480153445731		675.9038222423598		529.4474776575667		543.1433396370167		536.7104276286308		725.7553620405042		477.8502437554446		503.10851399848434		676.3559676415595		578.8302037174075		724.1022306626726		587.1976296853661		632.6409987842349		485.6237485697278		531.2412140104132		732.0951611832593		681.239083419494		468.55018976382087		539.9639923731906		673.7379686317079		539.5724043667631		693.5821316095785		466.8881338647885		620.2332688755314		732.885214628765		748.2175439884106		698.0472243374588		691.1858592034531		641.2743336481055		701.7768044187898		659.2831729816779		482.6004560983075		706.8381865026474		547.4768342954728		478.731241668341		518.7359885911685		677.8033317684076		606.6504740800572		587.2616544359558		669.7036851062917		514.3340454540539		505.35472757214586		687.996878664005		587.0627633909371		731.7933239649583		612.77856011965		551.3154629935206		513.1357276413055		451.64559941268266		710.071402070565		565.4289043169351		578.3644250146301		672.4587341299077		704.7865978704124		471.9209864627869		648.8503497399212		716.8107919368038		620.9006396247327		598.740528056056		702.2866531683103		609.3980349810066		634.2416164463484		455.9294931845998
1	yiA	uia	0.4	0.4	0	0			0.4	621.3758226351272	0.4	501.22321433920484	0.4	462.63862834454153							-2	570.016566673638																																																													-2	699.7768044187898	-2	657.2831729816779																																																													-2	632.2416164463484	-2	453.9294931845998
2	yAe	uaE	0.4	0.8	0	0			0.4	621.7758226351272	0.4	501.6232143392048	0.4	463.0386283445415			-2	598.1555270343531	-2	739.6484001654201	-2	568.016566673638																																																																																																																																
3	iA	ia			0.4	0.4			0.4	622.1758226351271	0.4	502.0232143392048	0.4	463.4386283445415							-2	566.016566673638																																																													-2	697.7768044187898	-2	655.2831729816779																																																																
4	ie	IE	0.5	1.3	0	0.4					0.5	502.5232143392048	0.5	463.9386283445415	-2	501.45943515239975	-2	596.1555270343531	-2	737.6484001654201	-2	564.016566673638																																																																																																																																
5	ii	Ii	0.6666666666666666	1.9666666666666668	0	0.4							0.6666666666666666	464.60529501120817	-2	499.45943515239975	-2	594.1555270343531	-2	735.6484001654201	-2	562.016566673638																																																																													-2	604.6504740800572	-2	585.2616544359558													-2	610.77856011965	-2	549.3154629935206													-2	702.7865978704124	-2	469.9209864627869													-2	630.2416164463484	-2	451.9294931845998
6	yAe	uaE	0.4	2.3666666666666667	0	0.4			0.4	622.5758226351271	0.4	502.9232143392048	0.4	465.00529501120815			-2	592.1555270343531	-2	733.6484001654201	-2	560.016566673638																																																																																																																																
7	eeO	EEo	0.3333333333333333	2.7	0	0.4	0.3333333333333333	592.357440672068	0.3333333333333333	622.9091559684605	0.3333333333333333	503.2565476725381	0.3333333333333333	465.33862834454146			-2	590.1555270343531	-2	731.6484001654201	-2	558.016566673638																																																																																																																																
9	yiO	uio	0.3333333333333333	3.0333333333333337	0	0.4	0.3333333333333333	592.6907740054014	0.3333333333333333	623.2424893017939	0.3333333333333333	503.5898810058714	0.3333333333333333	465.6719616778748					-2	729.6484001654201	-2	556.016566673638																																																									-2	689.1858592034531	-2	639.2743336481055	-2	695.7768044187898	-2	653.2831729816779																																																													-2	628.2416164463484	-2	449.9294931845998
10	ey	Eu	0.4	3.4333333333333336	0	0.4			0.4	623.6424893017938	0.4	503.9898810058714	0.4	466.07196167787475			-2	588.1555270343531	-2	727.6484001654201	-2	554.016566673638																																																																																																																																
13	ee	EE	0.5	3.9333333333333336	0	0.4					0.5	504.4898810058714	0.5	466.57196167787475			-2	586.1555270343531	-2	725.6484001654201	-2	552.016566673638																																																																																																																																
14	iAi	Iai	0.4	4.333333333333334	0	0.4			0.4	624.0424893017938	0.4	504.88988100587136	0.4	466.97196167787473	-2	497.45943515239975	-2	584.1555270343531	-2	723.6484001654201	-2	550.016566673638																																																																															-2	583.2616544359558															-2	547.3154629935206															-2	467.9209864627869													-2	626.2416164463484	-2	447.9294931845998
15	AAO	aao	0.3333333333333333	4.666666666666667	0	0.4	0.3333333333333333	593.0241073387348	0.3333333333333333	624.3758226351272	0.3333333333333333	505.2232143392047	0.3333333333333333	467.30529501120805					-2	721.6484001654201	-2	548.016566673638																																																																																																																																
