trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	aE	Ae	0.4	20.4	0	0			-2	98	-2	98	-2	98			0.4	100.4	0.4	100.4	0.4	100.4																																																																																																																																
3	Aii	aii	0.4	20.799999999999997	0	0			0.4	98.4	0.4	98.4	0.4	98.4							-2	98.4																																																																																																																													-2	98	-2	98
7	eiO	eio			0.3333333333333333	0.3333333333333333	0.3333333333333333	100.33333333333333	0.3333333333333333	98.73333333333333	0.3333333333333333	98.73333333333333	0.3333333333333333	98.73333333333333					-2	98.4	-2	96.4																																											-2	98			-2	98									-2	98	-2	98	-2	98	-2	98																																																																
9	uuo	yyO	0.5	21.299999999999997	0	0.3333333333333333	-2	98.33333333333333	-2	96.73333333333333	-2	96.73333333333333	-2	96.73333333333333					0.5	98.9	0.5	96.9																																																																																																																																
12	OOy	oou	0.3333333333333333	21.63333333333333	0	0.3333333333333333	0.3333333333333333	98.66666666666666	0.3333333333333333	97.06666666666666	0.3333333333333333	97.06666666666666	0.3333333333333333	97.06666666666666					-2	96.9	-2	94.9																																																																																																																																
13	yeA	uea	0.4	22.033333333333328	0	0.3333333333333333			0.4	97.46666666666667	0.4	97.46666666666667	0.4	97.46666666666667							-2	92.9																																													-2	98	-2	96													-2	96	-2	96																																																									-2	98	-2	98	-2	96	-2	96
14	OOy	oou	0.3333333333333333	22.36666666666666	0	0.3333333333333333	0.3333333333333333	98.99999999999999	0.3333333333333333	97.8	0.3333333333333333	97.8	0.3333333333333333	97.8					-2	94.9	-2	90.9																																																																																																																																
17	iiO	iio			0.3333333333333333	0.6666666666666666	0.3333333333333333	99.33333333333331	0.3333333333333333	98.13333333333333	0.3333333333333333	98.13333333333333	0.3333333333333333	98.13333333333333					-2	92.9	-2	88.9																																																									-2	96	-2	96	-2	94	-2	94																																																																
18	oIo	oio			0.3333333333333333	1.0							-2	96.13333333333333	0.3333333333333333	100.33333333333333	0.3333333333333333	100.73333333333333	0.3333333333333333	93.23333333333333	0.3333333333333333	89.23333333333333																																																									-2	94	-2	94	-2	92	-2	92																																													-2	98	-2	98													-2	94	-2	94
