trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300
0	Apriori	Id(Bk)Syl1>>Id(Bk)	35	35																																																																																																																																																		
2	eye	eue			0.4	0.4			0.4	300.4	0.4	300.4	0.4	300.4							-2	298																																													-2	298	-2	298													-2	298	-2	298																																																									-2	298	-2	298	-2	298	-2	298
2	Apriori	Id(Bk)Syl1>>Id(Bk)	0.3999999999999986	35.4																																																																																																																																																			
3	AiO	aio	0.3333333333333333	35.733333333333334	0	0.4	0.3333333333333333	300.3333333333333	0.3333333333333333	300.7333333333333	0.3333333333333333	300.7333333333333	0.3333333333333333	300.7333333333333					-2	298	-2	296																																																									-2	298	-2	298	-2	296	-2	296																																																													-2	296	-2	296
6	uII	yii	0.3333333333333333	36.06666666666667	0	0.4			-2	298.7333333333333	-2	298.7333333333333	-2	298.7333333333333	0.3333333333333333	300.3333333333333	0.3333333333333333	300.3333333333333	0.3333333333333333	298.3333333333333	0.3333333333333333	296.3333333333333																																																																																																																																
8	Eoo	eOO	0.4	36.46666666666667	0	0.4	-2	298.3333333333333	-2	296.7333333333333	-2	296.7333333333333	-2	296.7333333333333			0.4	300.7333333333333	0.4	298.7333333333333	0.4	296.7333333333333																																																																																																																																
13	yyy	uuu	0.4	36.86666666666667	0	0.4			0.4	297.13333333333327	0.4	297.13333333333327	0.4	297.13333333333327							-2	294.7333333333333																																																																																																																																
15	OOy	oou	0.3333333333333333	37.2	0	0.4	0.3333333333333333	298.66666666666663	0.3333333333333333	297.4666666666666	0.3333333333333333	297.4666666666666	0.3333333333333333	297.4666666666666					-2	296.7333333333333	-2	292.7333333333333																																																																																																																																
16	Eua	eua	0.4	37.6	0	0.4					-2	295.4666666666666	-2	295.4666666666666			0.4	301.13333333333327	0.4	297.13333333333327	0.4	293.13333333333327																																													-2	296	-2	296													-2	294	-2	294																																																																
17	iui	iyi			0.2857142857142857	0.6857142857142857			-2	295.4666666666666	-2	293.4666666666666	-2	293.4666666666666							0.2857142857142857	293.41904761904755																																																													0.2857142857142857	294.2857142857143	0.2857142857142857	294.2857142857143																																																													0.2857142857142857	296.2857142857143	0.2857142857142857	296.2857142857143
19	aao	AAO	0.5	38.1	0	0.6857142857142857	-2	296.66666666666663	-2	293.4666666666666	-2	291.4666666666666	-2	291.4666666666666					0.5	297.63333333333327	0.5	293.91904761904755																																																																																																																																
23	ouu	Oyy	0.5	38.6	0	0.6857142857142857	-2	294.66666666666663	-2	291.4666666666666	-2	289.4666666666666	-2	289.4666666666666					0.5	298.13333333333327	0.5	294.41904761904755																																																																																																																																
24	yy	uu	0.4	39.0	0	0.6857142857142857			0.4	291.86666666666656	0.4	289.86666666666656	0.4	289.86666666666656							-2	292.41904761904755																																																																																																																																
25	yOA	uoa	0.3333333333333333	39.333333333333336	0	0.6857142857142857	0.3333333333333333	294.99999999999994	0.3333333333333333	292.1999999999999	0.3333333333333333	290.1999999999999	0.3333333333333333	290.1999999999999					-2	296.13333333333327	-2	290.41904761904755																																																																																																																																
28	eyA	eua			0.4	1.0857142857142859			0.4	292.59999999999985	0.4	290.59999999999985	0.4	290.59999999999985							-2	288.41904761904755																																													-2	294	-2	294													-2	292.2857142857143	-2	292.2857142857143																																																																
30	aaa	AAA	0.6666666666666666	40.0	0	1.0857142857142859			-2	290.59999999999985	-2	288.59999999999985	-2	288.59999999999985							0.6666666666666666	289.08571428571423																																																																																																																																
32	AOO	aoo	0.3333333333333333	40.333333333333336	0	1.0857142857142859	0.3333333333333333	295.33333333333326	0.3333333333333333	290.93333333333317	0.3333333333333333	288.93333333333317	0.3333333333333333	288.93333333333317					-2	294.13333333333327	-2	287.08571428571423																																																																																																																																
35	iyy	iuu			0.4	1.4857142857142858			0.4	291.33333333333314	0.4	289.33333333333314	0.4	289.33333333333314							-2	285.08571428571423																																																													-2	290.2857142857143	-2	290.2857142857143																																																																
36	AOe	aoe	0.3333333333333333	40.66666666666667	0	1.4857142857142858	0.3333333333333333	295.6666666666666	0.3333333333333333	291.66666666666646	0.3333333333333333	289.66666666666646	0.3333333333333333	289.66666666666646					-2	292.13333333333327	-2	283.08571428571423																																																																																																									-2	298	-2	298	-2	298	-2	298									-2	296	-2	296	-2	294.2857142857143	-2	294.2857142857143
