trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		64.54545454545455		93.63636363636363		108.18181818181819		122.72727272727273		64.54545454545455		79.0909090909091		93.63636363636363		122.72727272727273		50.95454545454545		51.36363636363637		51.90909090909091		52.72727272727273		52.86363636363637		54.09090909090909		54.77272727272727		56.81818181818182		52.86363636363637		53.81818181818182		55.72727272727273		57.63636363636364		58.59090909090909		61.45454545454545		64.31818181818181		69.0909090909091		53.81818181818182		54.90909090909091		57.63636363636364		59.81818181818182		61.45454545454545		64.72727272727273		69.0909090909091		74.54545454545455		54.77272727272727		55.90909090909091		59.54545454545455		61.81818181818182		64.31818181818181		67.72727272727272		73.86363636363636		79.54545454545455		50.95454545454545		51.36363636363637		52.86363636363637		53.81818181818182		53.81818181818182		54.90909090909091		54.77272727272727		55.90909090909091		51.90909090909091		52.72727272727273		55.72727272727273		57.63636363636364		57.63636363636364		59.81818181818182		59.54545454545455		61.81818181818182		52.86363636363637		54.09090909090909		58.59090909090909		61.45454545454545		61.45454545454545		64.72727272727273		64.31818181818181		67.72727272727272		54.77272727272727		56.81818181818182		64.31818181818181		69.0909090909091		69.0909090909091		74.54545454545455		73.86363636363636		79.54545454545455
2	yiA	uia	2	2	2	2			2	95.63636363636363	2	110.18181818181819	2	124.72727272727273							-2	120.72727272727273																																																													-2	71.86363636363636	-2	77.54545454545455																																																													-2	71.86363636363636	-2	77.54545454545455
3	oo	OO	2	4	2	4	-2	62.54545454545455	-2	93.63636363636363	-2	108.18181818181819	-2	122.72727272727273					2	95.63636363636363	2	122.72727272727273																																																																																																																																
4	EIE	eie	2	6	2	6					-2	106.18181818181819	-2	120.72727272727273	2	66.54545454545455	2	81.0909090909091	2	97.63636363636363	2	124.72727272727273																																																																																																																																
6	iOA	ioa			2	8	2	64.54545454545455	2	95.63636363636363	2	108.18181818181819	2	122.72727272727273					-2	95.63636363636363	-2	122.72727272727273																																																									-2	62.31818181818181	-2	65.72727272727272	-2	69.86363636363636	-2	75.54545454545455																																																																
7	Euu	eyy	2	8	2	10			-2	93.63636363636363	-2	106.18181818181819	-2	120.72727272727273			2	83.0909090909091	2	97.63636363636363	2	124.72727272727273																																																																																																																																
8	Eaa	eaa	2	10	2	12					-2	104.18181818181819	-2	118.72727272727273			2	85.0909090909091	2	99.63636363636363	2	126.72727272727273																																													-2	67.0909090909091	-2	72.54545454545455													-2	67.86363636363636	-2	73.54545454545455																																																																
11	eyO	euo			2	14	2	66.54545454545455	2	95.63636363636363	2	106.18181818181819	2	120.72727272727273					-2	97.63636363636363	-2	124.72727272727273																																											-2	62.727272727272734	-2	65.0909090909091	-2	70.54545454545455											-2	63.72727272727272	-2	65.86363636363636	-2	71.54545454545455																																																																
14	eA	ea			2	16			2	97.63636363636363	2	108.18181818181819	2	122.72727272727273							-2	122.72727272727273																																													-2	63.09090909090909	-2	68.54545454545455													-2	63.86363636363636	-2	69.54545454545455																																																																
19	AAe	aae	2	12	2	18			2	99.63636363636363	2	110.18181818181819	2	124.72727272727273							-2	120.72727272727273																																																																																																																									-2	67.0909090909091	-2	72.54545454545455	-2	69.86363636363636	-2	75.54545454545455
