trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		140		140		140		140		140		140		140		140		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120
0	Apriori	Id(Bk)Syl1>>Id(Bk)	25	25																																																																																																																																																		
3	EoE	eOe	0.4	25.4	0	0	-2	138	-2	138	-2	138	-2	138			0.4	140.4	0.4	140.4	0.4	140.4																																																																																																																																
5	uiu	yiy	0.2857142857142857	25.685714285714283	0	0			-2	136	-2	136	-2	136							0.2857142857142857	140.68571428571428																																																													0.2857142857142857	100.28571428571429	0.2857142857142857	120.28571428571429																																																													0.2857142857142857	100.28571428571429	0.2857142857142857	120.28571428571429
8	yeO	uEo	0.3333333333333333	26.019047619047615	0	0	0.3333333333333333	138.33333333333334	0.3333333333333333	136.33333333333334	0.3333333333333333	136.33333333333334	0.3333333333333333	136.33333333333334			-2	138.4	-2	138.4	-2	138.68571428571428																																																																																																																																
10	eyy	Euu	0.4	26.419047619047614	0	0			0.4	136.73333333333335	0.4	136.73333333333335	0.4	136.73333333333335			-2	136.4	-2	136.4	-2	136.68571428571428																																																																																																																																
12	iia	Iia	0.6666666666666666	27.085714285714282	0	0							0.6666666666666666	137.4	-2	138	-2	134.4	-2	134.4	-2	134.68571428571428																																																																													-2	98	-2	118													-2	98	-2	118													-2	98	-2	118													-2	98.28571428571429	-2	118.28571428571429
13	aI	ai			0.3333333333333333	0.3333333333333333							-2	135.4	0.3333333333333333	138.33333333333334	0.3333333333333333	134.73333333333335	0.3333333333333333	134.73333333333335	0.3333333333333333	135.01904761904763																																																																																																																													-2	96.28571428571429	-2	116.28571428571429
14	aEo	AeO	0.4	27.48571428571428	0	0.3333333333333333	-2	136.33333333333334	-2	134.73333333333335	-2	134.73333333333335	-2	133.4			0.4	135.13333333333335	0.4	135.13333333333335	0.4	135.41904761904763																																																																																																																																
16	ioi	iOi			0.16666666666666666	0.5	-2	134.33333333333334	-2	132.73333333333335	-2	132.73333333333335	-2	131.4					0.16666666666666666	135.3	0.16666666666666666	135.5857142857143																																																									0.16666666666666666	100.16666666666667	0.16666666666666666	120.16666666666667	0.16666666666666666	100.45238095238096	0.16666666666666666	120.45238095238096																																													0.16666666666666666	98.16666666666667	0.16666666666666666	118.16666666666667													0.16666666666666666	96.45238095238096	0.16666666666666666	116.45238095238096
