trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300
0	Apriori	Id(Bk)Syl1>>Id(Bk)	25	25																																																																																																																																																		
1	aaE	AAe	0.4	25.4	0	0			-2	298	-2	298	-2	298			0.4	300.4	0.4	300.4	0.4	300.4																																																																																																																																
3	eee	EEE	0.5	25.9	0	0					0.5	298.5	0.5	298.5			-2	298.4	-2	298.4	-2	298.4																																																																																																																																
6	ei	Ei	0.5	26.4	0	0					0.5	299.0	0.5	299.0			-2	296.4	-2	296.4	-2	296.4																																																																																													-2	298	-2	298													-2	298	-2	298													-2	298	-2	298
7	oIu	oiu			0.3333333333333333	0.3333333333333333							-2	297.0	0.3333333333333333	300.3333333333333	0.3333333333333333	296.7333333333333	0.3333333333333333	296.7333333333333	0.3333333333333333	296.7333333333333																																																													-2	298	-2	298																																													-2	296	-2	296													-2	296	-2	296
8	IEu	iey	0.3333333333333333	26.73333333333333	0	0.3333333333333333			-2	296	-2	297.0	-2	295.0	0.3333333333333333	300.66666666666663	0.3333333333333333	297.0666666666666	0.3333333333333333	297.0666666666666	0.3333333333333333	297.0666666666666																																																																																																																																
9	uo	yO	0.5	27.23333333333333	0	0.3333333333333333	-2	298	-2	294	-2	295.0	-2	293.0					0.5	297.5666666666666	0.5	297.5666666666666																																																																																																																																
11	uoa	yOA	0.5	27.73333333333333	0	0.3333333333333333	-2	296	-2	292	-2	293.0	-2	291.0					0.5	298.0666666666666	0.5	298.0666666666666																																																																																																																																
13	Aye	auE	0.4	28.13333333333333	0	0.3333333333333333			0.4	292.4	0.4	293.4	0.4	291.4			-2	295.0666666666666	-2	296.0666666666666	-2	296.0666666666666																																																																																																																																
14	iye	IuE	0.4	28.533333333333328	0	0.3333333333333333			0.4	292.79999999999995	0.4	293.79999999999995	0.4	291.79999999999995	-2	298.66666666666663	-2	293.0666666666666	-2	294.0666666666666	-2	294.0666666666666																																																																																																																																
16	oI	Oi	0.3333333333333333	28.86666666666666	0	0.3333333333333333	-2	294	-2	290.79999999999995	-2	291.79999999999995	-2	289.79999999999995	0.3333333333333333	298.99999999999994	0.3333333333333333	293.3999999999999	0.3333333333333333	294.3999999999999	0.3333333333333333	294.3999999999999																																																																																																																																
17	yei	uEi	0.4	29.26666666666666	0	0.3333333333333333			0.4	291.19999999999993	0.4	292.19999999999993	0.4	290.19999999999993			-2	291.3999999999999	-2	292.3999999999999	-2	292.3999999999999																																																																																													-2	296	-2	296													-2	294	-2	294													-2	294	-2	294
19	iA	Ia	0.4	29.666666666666657	0	0.3333333333333333			0.4	291.5999999999999	0.4	292.5999999999999	0.4	290.5999999999999	-2	296.99999999999994	-2	289.3999999999999	-2	290.3999999999999	-2	290.3999999999999																																																																																																																																
20	aau	AAy	0.6666666666666666	30.333333333333325	0	0.3333333333333333			-2	289.5999999999999	-2	290.5999999999999	-2	288.5999999999999							0.6666666666666666	291.0666666666666																																																																																																																																
26	iOe	ioE			0.3333333333333333	0.6666666666666666	0.3333333333333333	294.3333333333333	0.3333333333333333	289.9333333333332	0.3333333333333333	290.9333333333332	0.3333333333333333	288.9333333333332			-2	287.3999999999999	-2	288.3999999999999	-2	289.0666666666666																																																							-2	298	-2	298	-2	298	-2	296	-2	296																																																																
28	yei	uEi	0.4	30.733333333333324	0	0.6666666666666666			0.4	290.3333333333332	0.4	291.3333333333332	0.4	289.3333333333332			-2	285.3999999999999	-2	286.3999999999999	-2	287.0666666666666																																																																																													-2	294	-2	294													-2	292	-2	292													-2	292	-2	292
30	oEo	OeO	0.4	31.133333333333322	0	0.6666666666666666	-2	292.3333333333333	-2	288.3333333333332	-2	289.3333333333332	-2	287.3333333333332			0.4	285.7999999999999	0.4	286.7999999999999	0.4	287.4666666666666																																																																																																																																
31	aua	AyA	0.6666666666666666	31.79999999999999	0	0.6666666666666666			-2	286.3333333333332	-2	287.3333333333332	-2	285.3333333333332							0.6666666666666666	288.13333333333327																																																																																																																																
34	iA	Ia	0.4	32.19999999999999	0	0.6666666666666666			0.4	286.7333333333332	0.4	287.7333333333332	0.4	285.7333333333332	-2	294.99999999999994	-2	283.7999999999999	-2	284.7999999999999	-2	286.13333333333327																																																																																																																																
36	oaE	OAe	0.4	32.59999999999999	0	0.6666666666666666	-2	290.3333333333333	-2	284.7333333333332	-2	285.7333333333332	-2	283.7333333333332			0.4	284.1999999999999	0.4	285.1999999999999	0.4	286.53333333333325																																																																																																																																
37	ey	Eu	0.4	32.999999999999986	0	0.6666666666666666			0.4	285.13333333333316	0.4	286.13333333333316	0.4	284.13333333333316			-2	282.1999999999999	-2	283.1999999999999	-2	284.53333333333325																																																																																																																																
