trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		140		140		140		140		140		140		140		140		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120
0	Apriori	Id(Bk)Syl1>>Id(Bk)	25	25																																																																																																																																																		
1	oEa	Oea	0.4	25.4	0	0	-2	138	-2	138	-2	138	-2	138			0.4	140.4	0.4	140.4	0.4	140.4															-2	118															-2	118													-2	98	-2	118													-2	98	-2	118																																																																
4	Oei	oei	0.3333333333333333	25.73333333333333	0	0	0.3333333333333333	138.33333333333334	0.3333333333333333	138.33333333333334	0.3333333333333333	138.33333333333334	0.3333333333333333	138.33333333333334					-2	138.4	-2	138.4																																																																																																									-2	98	-2	118	-2	98	-2	118									-2	98	-2	118	-2	98	-2	118
7	Oii	oii	0.3333333333333333	26.066666666666663	0	0	0.3333333333333333	138.66666666666669	0.3333333333333333	138.66666666666669	0.3333333333333333	138.66666666666669	0.3333333333333333	138.66666666666669					-2	136.4	-2	136.4																																																																																																													-2	96	-2	116													-2	96	-2	116
9	aua	Aua	0.6666666666666666	26.73333333333333	0	0			-2	136.66666666666669	-2	136.66666666666669	-2	136.66666666666669							0.6666666666666666	137.06666666666666																													-2	98	-2	116													-2	96	-2	116													-2	96	-2	116																																																																
10	eiO	Eio	0.3333333333333333	27.066666666666663	0	0	0.3333333333333333	139.00000000000003	0.3333333333333333	137.00000000000003	0.3333333333333333	137.00000000000003	0.3333333333333333	137.00000000000003			-2	138.4	-2	134.4	-2	135.06666666666666																																																									-2	98	-2	118	-2	94	-2	114																													-2	98	-2	118													-2	94	-2	114													-2	94	-2	114
14	uie	yie	0.3333333333333333	27.399999999999995	0	0			-2	135.00000000000003	-2	135.00000000000003	-2	135.00000000000003							0.3333333333333333	135.4																																																																																																																											0.3333333333333333	118.33333333333333	0.3333333333333333	94.33333333333333	0.3333333333333333	114.33333333333333
15	eAo	Eao	0.11764705882352941	27.517647058823524	0	0			0.11764705882352941	135.11764705882356	0.11764705882352941	135.11764705882356	0.11764705882352941	135.11764705882356			-2	136.4	-2	132.4	-2	133.4																									0.11764705882352941	100.11764705882354	0.11764705882352941	120.11764705882354	0.11764705882352941	98.11764705882354	0.11764705882352941	116.11764705882354									0.11764705882352941	100.11764705882354	0.11764705882352941	120.11764705882354	0.11764705882352941	96.11764705882354	0.11764705882352941	116.11764705882354									0.11764705882352941	98.11764705882354	0.11764705882352941	118.11764705882354	0.11764705882352941	94.11764705882354	0.11764705882352941	114.11764705882354																																																																
18	aia	Aia	0.4	27.917647058823523	0	0			-2	133.11764705882356	-2	133.11764705882356	-2	133.11764705882356							0.4	133.8																															-2	114.11764705882354															-2	114.11764705882354																																																																													0.4	94.73333333333333	0.4	114.73333333333333
