trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		120		120		140		140		180		180		140		140		140		140		140		140		180		180		160		160		160		160		160		160		180		180		180		180		180		180		180		180		180		180		100		100		140		140		160		160		180		180		120		120		140		140		160		160		180		180		140		140		140		140		160		160		180		180		180		180		180		180		180		180		180		180
0	Apriori	Id(Bk)Syl1>>Id(Bk)	35	35																																																																																																																																																		
1	eAe	eae			0.4	0.4			0.4	140.4	0.4	160.4	0.4	180.4							-2	178																																													-2	178	-2	178													-2	178	-2	178																																																									-2	178	-2	178	-2	178	-2	178
1	Apriori	Id(Bk)Syl1>>Id(Bk)	0.3999999999999986	35.4																																																																																																																																																			
2	uIo	uio			0.3333333333333333	0.7333333333333334							-2	178.4	0.3333333333333333	100.33333333333333	0.3333333333333333	120.33333333333333	0.3333333333333333	140.33333333333334	0.3333333333333333	178.33333333333334																																																									-2	178	-2	178	-2	176	-2	176																																																													-2	176	-2	176
2	Apriori	Id(Bk)Syl1>>Id(Bk)	0.3333333333333357	35.733333333333334																																																																																																																																																			
3	uau	yAy	0.6666666666666666	36.4	0	0.7333333333333334			-2	138.4	-2	158.4	-2	176.4							0.6666666666666666	179.0																																																																																																																																
5	iiO	iio			0.3333333333333333	1.0666666666666667	0.3333333333333333	100.33333333333333	0.3333333333333333	138.73333333333335	0.3333333333333333	158.73333333333335	0.3333333333333333	176.73333333333335					-2	138.33333333333334	-2	177.0																																																									-2	176	-2	176	-2	174	-2	174																																																																
6	OOe	ooe	0.3333333333333333	36.733333333333334	0	1.0666666666666667	0.3333333333333333	100.66666666666666	0.3333333333333333	139.0666666666667	0.3333333333333333	159.0666666666667	0.3333333333333333	177.0666666666667					-2	136.33333333333334	-2	175.0																																																																																																									-2	158	-2	158	-2	178	-2	178									-2	176	-2	176	-2	174	-2	174
7	IEI	iei	0.3333333333333333	37.06666666666667	0	1.0666666666666667					-2	157.0666666666667	-2	175.0666666666667	0.3333333333333333	100.66666666666666	0.3333333333333333	120.66666666666666	0.3333333333333333	136.66666666666669	0.3333333333333333	175.33333333333334																																																																																																																																
