trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		100		100		100		100		100		100		100		100		120		120		140		140		140		140		100		100		120		120		140		140		160		160		100		100		120		120		140		140		180		180		100		100		100		100		100		100		100		100		100		100		120		120		120		120		120		120		100		100		140		140		140		140		140		140		100		100		140		140		160		160		180		180
0	Apriori	Id(Bk)Syl1>>Id(Bk)	35	35																																																																																																																																																		
1	IIu	iiu	0.3333333333333333	35.333333333333336	0	0							-2	178	0.3333333333333333	100.33333333333333	0.3333333333333333	120.33333333333333	0.3333333333333333	140.33333333333334	0.3333333333333333	180.33333333333334																																																													-2	178	-2	178																																																																
2	OAe	oae	0.3333333333333333	35.66666666666667	0	0	0.3333333333333333	100.33333333333333	0.3333333333333333	140.33333333333334	0.3333333333333333	160.33333333333334	0.3333333333333333	178.33333333333334					-2	138.33333333333334	-2	178.33333333333334																																																																																																											-2	138			-2	138									-2	158	-2	158	-2	178	-2	178
3	Ayi	Aui			0.4	0.4			0.4	140.73333333333335	0.4	160.73333333333335	0.4	178.73333333333335							-2	176.33333333333334																													-2	138	-2	138													-2	158	-2	158													-2	176	-2	176																																																													-2	176	-2	176
5	ouo	Ouo	0.5	36.16666666666667	0	0.4	-2	98.33333333333333	-2	138.73333333333335	-2	158.73333333333335	-2	176.73333333333335					0.5	138.83333333333334	0.5	176.83333333333334											-2	98	-2	98	-2	98											-2	138	-2	136	-2	136											-2	138	-2	156	-2	156											-2	138	-2	174	-2	174																																																																
6	yOi	uoi	0.3333333333333333	36.50000000000001	0	0.4	0.3333333333333333	98.66666666666666	0.3333333333333333	139.0666666666667	0.3333333333333333	159.0666666666667	0.3333333333333333	177.0666666666667					-2	136.83333333333334	-2	174.83333333333334																																																																																																													-2	138	-2	136													-2	174	-2	174
7	eei	Eei	0.5	37.00000000000001	0	0.4					0.5	159.5666666666667	0.5	177.5666666666667			-2	118.33333333333333	-2	134.83333333333334	-2	172.83333333333334																																																																																									-2	118	-2	118	-2	118	-2	118									-2	138	-2	136	-2	136	-2	134									-2	156	-2	156	-2	172	-2	172
9	oau	Oau	0.5	37.50000000000001	0	0.4	-2	96.66666666666666	-2	137.0666666666667	-2	157.5666666666667	-2	175.5666666666667					0.5	135.33333333333334	0.5	173.33333333333334													-2	96	-2	96													-2	134	-2	134													-2	154	-2	154													-2	172	-2	172																																																																
10	yOO	yoo			0.3333333333333333	0.7333333333333334	0.3333333333333333	96.99999999999999	0.3333333333333333	137.40000000000003	0.3333333333333333	157.90000000000003	0.3333333333333333	175.90000000000003					-2	133.33333333333334	-2	171.33333333333334																									-2	138	-2	136	-2	132	-2	132									-2	138	-2	136	-2	152	-2	152									-2	138	-2	136	-2	170	-2	170																																																																
12	ouu	Ouu	0.5	38.00000000000001	0	0.7333333333333334	-2	94.99999999999999	-2	135.40000000000003	-2	155.90000000000003	-2	173.90000000000003					0.5	133.83333333333334	0.5	171.83333333333334													-2	94	-2	94													-2	130	-2	130													-2	150	-2	150													-2	168	-2	168																																																																
13	uoI	yoi	0.3333333333333333	38.33333333333334	0	0.7333333333333334			-2	133.40000000000003	-2	153.90000000000003	-2	171.90000000000003	0.3333333333333333	100.66666666666666	0.3333333333333333	118.66666666666666	0.3333333333333333	134.16666666666669	0.3333333333333333	172.16666666666669																									-2	136	-2	134	-2	128	-2	128									-2	136	-2	134	-2	148	-2	148									-2	136	-2	134	-2	166	-2	166																																													-2	134	-2	132													-2	170	-2	170
14	IIa	iia	0.3333333333333333	38.66666666666668	0	0.7333333333333334							-2	169.90000000000003	0.3333333333333333	100.99999999999999	0.3333333333333333	118.99999999999999	0.3333333333333333	134.50000000000003	0.3333333333333333	172.50000000000003																																																													-2	164	-2	164																																																																
15	ey	eu			0.4	1.1333333333333333			0.4	133.80000000000004	0.4	154.30000000000004	0.4	170.30000000000004							-2	170.50000000000003																																													-2	146	-2	146													-2	162	-2	162																																																																
16	yyy	yuu			0.4	1.5333333333333332			0.4	134.20000000000005	0.4	154.70000000000005	0.4	170.70000000000005							-2	168.50000000000003																													-2	126	-2	126													-2	144	-2	144													-2	160	-2	160																																																																
17	uEu	ueu			0.4	1.9333333333333331					-2	152.70000000000005	-2	168.70000000000005			0.4	119.39999999999999	0.4	134.90000000000003	0.4	168.90000000000003																																													-2	142	-2	142													-2	158	-2	158																																																									-2	154	-2	154	-2	168	-2	168
18	uEa	uea			0.4	2.333333333333333					-2	150.70000000000005	-2	166.70000000000005			0.4	119.8	0.4	135.30000000000004	0.4	169.30000000000004																																													-2	140	-2	140													-2	156	-2	156																																																									-2	152	-2	152	-2	166	-2	166
19	yOA	uoa	0.3333333333333333	39.000000000000014	0	2.333333333333333	0.3333333333333333	95.33333333333331	0.3333333333333333	134.5333333333334	0.3333333333333333	151.0333333333334	0.3333333333333333	167.0333333333334					-2	133.30000000000004	-2	167.30000000000004																																																																																																																																
20	ouE	oue			0.4	2.733333333333333					-2	149.0333333333334	-2	165.0333333333334			0.4	120.2	0.4	133.70000000000005	0.4	167.70000000000005																																																																																																											-2	134			-2	130									-2	150	-2	150	-2	164	-2	164
22	yye	uue	0.4	39.40000000000001	0	2.733333333333333			0.4	134.9333333333334	0.4	149.4333333333334	0.4	165.4333333333334							-2	165.70000000000005																																																																																																																									-2	148	-2	148	-2	162	-2	162
23	iAi	iai			0.4	3.133333333333333			0.4	135.3333333333334	0.4	149.8333333333334	0.4	165.8333333333334							-2	163.70000000000005																																																													-2	154	-2	154																																																													-2	160	-2	160
