trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		163.18		189.53		201.63		228.60000000000002		154.57		168.76		183.66		213.08		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.64		152.2		153.43		154.62		157.01		159.44		150.0		150.0		150.0		150.0		150.0		150.0		150.83		151.53		150.0		150.0		150.0		150.0		150.0		150.0		152.72		154.09		150.0		150.0		150.0		150.0		150.0		150.0		154.52		156.6		150.0		150.0		150.0		150.0		150.0		150.0		158.14		161.32
1	aIo	AiO	2	2	2	2	-2	161.18	-2	187.53	-2	199.63	-2	226.60000000000002	2	156.57	2	170.76	2	185.66	2	215.08																																																																																																																																
2	uI	yi	2	4	2	4			-2	185.53	-2	197.63	-2	224.60000000000002	2	158.57	2	172.76	2	187.66	2	217.08																																																																																																																																
3	IIu	Iiu			2	6							-2	222.60000000000002	2	160.57	2	174.76	2	189.66	2	219.08																																																													-2	155.01	-2	157.44													-2	148.83	-2	149.53													-2	150.72	-2	152.09													-2	152.52	-2	154.6													-2	156.14	-2	159.32
4	aaI	AAi	2	6	2	8			-2	183.53	-2	195.63	-2	220.60000000000002	2	162.57	2	176.76	2	191.66	2	221.08																																																																																																																																
6	ao	AO	2	8	2	10	-2	159.18	-2	181.53	-2	193.63	-2	218.60000000000002					2	193.66	2	223.08																																																																																																																																
10	Oyi	oui	2	10	2	12	2	161.18	2	183.53	2	195.63	2	220.60000000000002					-2	191.66	-2	221.08																																																																																																															-2	152.6													-2	154.14	-2	157.32
11	Oyi	oui	2	12	2	14	2	163.18	2	185.53	2	197.63	2	222.60000000000002					-2	189.66	-2	219.08																																																																																																															-2	150.6													-2	152.14	-2	155.32
12	IuI	iui	2	14	2	16							-2	220.60000000000002	2	164.57	2	178.76	2	191.66	2	221.08																																																													-2	153.01	-2	155.44																																																													-2	150.14	-2	153.32
14	IoI	iOi	2	16	2	18	-2	161.18	-2	183.53	-2	195.63	-2	218.60000000000002	2	166.57	2	180.76	2	193.66	2	223.08																																																																																																																																
16	Ae	aE	2	18	2	20			2	185.53	2	197.63	2	220.60000000000002			-2	178.76	-2	191.66	-2	221.08																																																																																																																																
19	iiO	iio			2	22	2	163.18	2	187.53	2	199.63	2	222.60000000000002					-2	189.66	-2	219.08																																																									-2	151.43	-2	152.62	-2	151.01	-2	153.44																																																																
20	Eau	eAy	2	20	2	24			-2	185.53	-2	197.63	-2	220.60000000000002			2	180.76	2	191.66	2	221.08																																																																																																																																
22	yeO	uEo	2	22	2	26	2	165.18	2	187.53	2	199.63	2	222.60000000000002			-2	178.76	-2	189.66	-2	219.08																																																																																																																																
23	aIa	AiA	2	24	2	28			-2	185.53	-2	197.63	-2	220.60000000000002	2	168.57	2	180.76	2	191.66	2	221.08																																																																																																																																
24	auE	Aye	2	26	2	30			-2	183.53	-2	195.63	-2	218.60000000000002			2	182.76	2	193.66	2	223.08																																																																																																																																
26	eeA	EEa	2	28	2	32			2	185.53	2	197.63	2	220.60000000000002			-2	180.76	-2	191.66	-2	221.08																																																																																																																																
27	iAO	Iao	2	30	2	34	2	167.18	2	187.53	2	199.63	2	222.60000000000002	-2	166.57	-2	178.76	-2	189.66	-2	219.08																																																																																																																																
28	AAe	aaE	2	32	2	36			2	189.53	2	201.63	2	224.60000000000002			-2	176.76	-2	187.66	-2	217.08																																																																																																																																
29	uII	yii	2	34	2	38			-2	187.53	-2	199.63	-2	222.60000000000002	2	168.57	2	178.76	2	189.66	2	219.08																																																																																																																																
30	IIE	iiE	2	36	2	40							-2	220.60000000000002	2	170.57	2	180.76	2	191.66	2	221.08																																																					-2	149.64	-2	150.2	-2	149.43	-2	150.62	-2	149.01	-2	151.44																																																																
31	Ia	ia	2	38	2	42							-2	218.60000000000002	2	172.57	2	182.76	2	193.66	2	223.08																																																													-2	147.01	-2	149.44																																																																
33	iO	Io	2	40	2	44	2	169.18	2	189.53	2	201.63	2	220.60000000000002	-2	170.57	-2	180.76	-2	191.66	-2	221.08																																																																																																																																
35	ei	Ei	2	42	2	46					2	203.63	2	222.60000000000002			-2	178.76	-2	189.66	-2	219.08																																																																																													-2	148.72	-2	150.09													-2	150.52	-2	148.6													-2	148.14	-2	151.32
37	aIa	aia			2	48							-2	220.60000000000002	2	172.57	2	180.76	2	191.66	2	221.08																																																													-2	145.01	-2	147.44																																																													-2	146.14	-2	149.32
40	IIE	iie	2	44	2	50					-2	201.63	-2	218.60000000000002	2	174.57	2	182.76	2	193.66	2	223.08																																																																																																																																
41	OeA	oEa	2	46	2	52	2	171.18	2	191.53	2	203.63	2	220.60000000000002			-2	180.76	-2	191.66	-2	221.08																																																																																																																																
42	ye	uE	2	48	2	54			2	193.53	2	205.63	2	222.60000000000002			-2	178.76	-2	189.66	-2	219.08																																																																																																																																
44	IEa	iEa	2	50	2	56							-2	220.60000000000002	2	176.57	2	180.76	2	191.66	2	221.08																																																					-2	147.64	-2	148.2	-2	147.43	-2	148.62	-2	143.01	-2	145.44																																																																
45	AiO	aio	2	52	2	58	2	173.18	2	195.53	2	207.63	2	222.60000000000002					-2	189.66	-2	219.08																																																									-2	145.43	-2	146.62	-2	141.01	-2	143.44																																																													-2	144.14	-2	147.32
46	aIo	AiO	2	54	2	60	-2	171.18	-2	193.53	-2	205.63	-2	220.60000000000002	2	178.57	2	182.76	2	191.66	2	221.08																																																																																																																																
48	Iuu	iyy	2	56	2	62			-2	191.53	-2	203.63	-2	218.60000000000002	2	180.57	2	184.76	2	193.66	2	223.08																																																																																																																																
49	ieA	IEa	2	58	2	64			2	193.53	2	205.63	2	220.60000000000002	-2	178.57	-2	182.76	-2	191.66	-2	221.08																																																																																																																																
