trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		164.42		193.51		220.28		246.64		150.0		150.0		165.17		195.25		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		152.0		152.61		155.56		157.56		150.0		150.0		150.0		150.0		153.82		154.97		161.1		164.44		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.8		152.49		153.71		154.69		150.0		150.0		150.0		150.0		155.43		157.66		161.1		164.36
1	IoI	ioi	2	2	0	0							-2	244.64	2	152.0	2	152.0	2	167.17	2	197.25																																																									-2	151.82	-2	152.97	-2	159.1	-2	162.44																																													-2	151.71	-2	152.69													-2	159.1	-2	162.36
2	Iau	iau	2	4	0	0							-2	242.64	2	154.0	2	154.0	2	169.17	2	199.25																																																													-2	157.1	-2	160.44																																																																
3	IIu	iiu	2	6	0	0							-2	240.64	2	156.0	2	156.0	2	171.17	2	201.25																																																													-2	155.1	-2	158.44																																																																
4	uaE	yAe	2	8	0	0			-2	191.51	-2	218.28	-2	238.64			2	158.0	2	173.17	2	203.25																																																																																																																																
5	uE	ye	2	10	0	0			-2	189.51	-2	216.28	-2	236.64			2	160.0	2	175.17	2	205.25																																																																																																																																
6	uEa	uea			2	2					-2	214.28	-2	234.64			2	162.0	2	177.17	2	207.25																																													-2	153.56	-2	155.56													-2	153.1	-2	156.44																																																									-2	153.43	-2	155.66	-2	157.1	-2	160.36
7	aaa	AAA	2	12	0	2			-2	187.51	-2	212.28	-2	232.64							2	209.25																																																																																																																																
8	IEa	iea	2	14	0	2					-2	210.28	-2	230.64	2	158.0	2	164.0	2	179.17	2	211.25																																													-2	151.56	-2	153.56													-2	151.1	-2	154.44																																																																
10	uIu	uiu			2	4							-2	228.64	2	160.0	2	166.0	2	181.17	2	213.25																																																													-2	149.1	-2	152.44																																																													-2	155.1	-2	158.36
11	uIu	uiu			2	6							-2	226.64	2	162.0	2	168.0	2	183.17	2	215.25																																																													-2	147.1	-2	150.44																																																													-2	153.1	-2	156.36
12	IaI	iAi	2	16	0	6			-2	185.51	-2	208.28	-2	224.64	2	164.0	2	170.0	2	185.17	2	217.25																																																																																																																																
13	Iua	iua	2	18	0	6							-2	222.64	2	166.0	2	172.0	2	187.17	2	219.25																																																													-2	145.1	-2	148.44																																																																
14	Eoa	eoa	2	20	0	6					-2	206.28	-2	220.64			2	174.0	2	189.17	2	221.25																																									-2	150.0	-2	150.61	-2	149.56	-2	151.56									-2	149.82	-2	150.97	-2	143.1	-2	146.44																																																																
15	OAe	oae	2	22	0	6	2	166.42	2	187.51	2	208.28	2	222.64					-2	187.17	-2	219.25																																																																																																											-2	150.49			-2	150.69									-2	151.43	-2	153.66	-2	151.1	-2	154.36
16	uuI	uui			2	8							-2	220.64	2	168.0	2	176.0	2	189.17	2	221.25																																																																																																																													-2	149.1	-2	152.36
18	EaE	eAe	2	24	0	8			-2	185.51	-2	206.28	-2	218.64			2	178.0	2	191.17	2	223.25																																																																																																																																
19	eey	eeu			2	10			2	187.51	2	208.28	2	220.64							-2	221.25																																													-2	147.56	-2	149.56													-2	141.1	-2	144.44																																																																
20	Iuo	iyO	2	26	0	10	-2	164.42	-2	185.51	-2	206.28	-2	218.64	2	170.0	2	180.0	2	193.17	2	223.25																																																																																																																																
21	eOy	eou			2	12	2	166.42	2	187.51	2	208.28	2	220.64					-2	191.17	-2	221.25																																									-2	148.0	-2	148.61	-2	145.56	-2	147.56									-2	147.82	-2	148.97	-2	139.1	-2	142.44																																																																
22	Aii	aii	2	28	0	12			2	189.51	2	210.28	2	222.64							-2	219.25																																																																																																																													-2	147.1	-2	150.36
23	aIE	aie			2	14					-2	208.28	-2	220.64	2	172.0	2	182.0	2	193.17	2	221.25																																																																																																																											-2	151.66	-2	145.1	-2	148.36
24	oaI	oai			2	16							-2	218.64	2	174.0	2	184.0	2	195.17	2	223.25																																																																																																															-2	148.69													-2	143.1	-2	146.36
27	yiA	uia	2	30	0	16			2	191.51	2	210.28	2	220.64							-2	221.25																																																													-2	137.1	-2	140.44																																																													-2	141.1	-2	144.36
29	yOe	uoe	2	32	0	16	2	168.42	2	193.51	2	212.28	2	222.64					-2	193.17	-2	219.25																																																																																																									-2	149.8	-2	148.49	-2	149.71	-2	146.69									-2	149.43	-2	149.66	-2	139.1	-2	142.36
30	aaI	AAi	2	34	0	16			-2	191.51	-2	210.28	-2	220.64	2	176.0	2	186.0	2	195.17	2	221.25																																																																																																																																
31	Iuo	iuo	2	36	0	16							-2	218.64	2	178.0	2	188.0	2	197.17	2	223.25																																																											-2	146.97	-2	135.1	-2	138.44																																																																
33	IEa	iea	2	38	0	16					-2	208.28	-2	216.64	2	180.0	2	190.0	2	199.17	2	225.25																																													-2	143.56	-2	145.56													-2	133.1	-2	136.44																																																																
36	yAA	uaa	2	40	0	16			2	193.51	2	210.28	2	218.64							-2	223.25																																																																																																																																
37	yAO	uao	2	42	0	16	2	170.42	2	195.51	2	212.28	2	220.64					-2	197.17	-2	221.25																																																																																																																																
38	OOy	oou	2	44	0	16	2	172.42	2	197.51	2	214.28	2	222.64					-2	195.17	-2	219.25																																																																																																																																
39	oEI	oei			2	18					-2	212.28	-2	220.64	2	182.0	2	192.0	2	197.17	2	221.25																																																																																																									-2	147.8	-2	146.49	-2	147.71	-2	144.69									-2	147.43	-2	147.66	-2	137.1	-2	140.36
41	ooI	OOi	2	46	0	18	-2	170.42	-2	195.51	-2	210.28	-2	218.64	2	184.0	2	194.0	2	199.17	2	223.25																																																																																																																																
43	eey	eeu			2	20			2	197.51	2	212.28	2	220.64							-2	221.25																																													-2	141.56	-2	143.56													-2	131.1	-2	134.44																																																																
44	uao	yAO	2	48	0	20	-2	168.42	-2	195.51	-2	210.28	-2	218.64					2	201.17	2	223.25																																																																																																																																
45	yOe	uoe	2	50	0	20	2	170.42	2	197.51	2	212.28	2	220.64					-2	199.17	-2	221.25																																																																																																									-2	145.8	-2	144.49	-2	145.71	-2	142.69									-2	145.43	-2	145.66	-2	135.1	-2	138.36
47	OAe	oae	2	52	0	20	2	172.42	2	199.51	2	214.28	2	222.64					-2	197.17	-2	219.25																																																																																																											-2	142.49			-2	140.69									-2	143.43	-2	143.66	-2	133.1	-2	136.36
48	oEI	Oei	2	54	0	20	-2	170.42	-2	197.51	-2	212.28	-2	220.64	2	186.0	2	196.0	2	199.17	2	221.25																																																																																																																																
49	Ia	iA	2	56	0	20			-2	195.51	-2	210.28	-2	218.64	2	188.0	2	198.0	2	201.17	2	223.25																																																																																																																																
52	Ioa	ioa	2	58	0	20							-2	216.64	2	190.0	2	200.0	2	203.17	2	225.25																																																									-2	145.82	-2	144.97	-2	129.1	-2	132.44																																																																
54	Aei	aei	2	60	0	20			2	197.51	2	212.28	2	218.64							-2	223.25																																																																																																																									-2	141.43	-2	141.66	-2	131.1	-2	134.36
57	AeO	aeo	2	62	0	20	2	172.42	2	199.51	2	214.28	2	220.64					-2	201.17	-2	221.25																																									-2	146.0	-2	146.61	-2	139.56	-2	141.56									-2	143.82	-2	142.97	-2	127.1	-2	130.44																																																									-2	139.43	-2	139.66	-2	129.1	-2	132.36
58	ieO	ieo			2	22	2	174.42	2	201.51	2	216.28	2	222.64					-2	199.17	-2	219.25																																									-2	144.0	-2	144.61	-2	137.56	-2	139.56									-2	141.82	-2	140.97	-2	125.1	-2	128.44																																																																
59	Eou	eOy	2	64	0	22	-2	172.42	-2	199.51	-2	214.28	-2	220.64			2	202.0	2	201.17	2	221.25																																																																																																																																
60	iyA	iua			2	24			2	201.51	2	216.28	2	222.64							-2	219.25																																																													-2	123.1	-2	126.44																																																																
61	aIE	aie			2	26					-2	214.28	-2	220.64	2	192.0	2	204.0	2	203.17	2	221.25																																																																																																																											-2	137.66	-2	127.1	-2	130.36
62	Oyi	oui	2	66	0	26	2	174.42	2	203.51	2	216.28	2	222.64					-2	201.17	-2	219.25																																																																																																															-2	138.69													-2	125.1	-2	128.36
63	Eua	eua	2	68	0	26					-2	214.28	-2	220.64			2	206.0	2	203.17	2	221.25																																													-2	135.56	-2	137.56													-2	121.1	-2	124.44																																																																
64	Iao	iAO	2	70	0	26	-2	172.42	-2	201.51	-2	212.28	-2	218.64	2	194.0	2	208.0	2	205.17	2	223.25																																																																																																																																
71	OAA	oaa	2	72	0	26	2	174.42	2	203.51	2	214.28	2	220.64					-2	203.17	-2	221.25																																																																																																																																
73	IEo	ieO	2	74	0	26	-2	172.42	-2	201.51	-2	212.28	-2	218.64	2	196.0	2	210.0	2	205.17	2	223.25																																																																																																																																
74	Oii	oii	2	76	0	26	2	174.42	2	203.51	2	214.28	2	220.64					-2	203.17	-2	221.25																																																																																																													-2	143.71	-2	136.69													-2	123.1	-2	126.36000000000001
75	yeO	ueo	2	78	0	26	2	176.42	2	205.51	2	216.28	2	222.64					-2	201.17	-2	219.25																																									-2	142.0	-2	142.61	-2	133.56	-2	135.56									-2	139.82	-2	138.97	-2	119.1	-2	122.44																																																									-2	137.43	-2	135.66	-2	121.1	-2	124.36000000000001
76	aIo	AiO	2	80	0	26	-2	174.42	-2	203.51	-2	214.28	-2	220.64	2	198.0	2	212.0	2	203.17	2	221.25																																																																																																																																
77	IEE	iee	2	82	0	26					-2	212.28	-2	218.64	2	200.0	2	214.0	2	205.17	2	223.25																																																																																																																																
78	OAi	oai	2	84	0	26	2	176.42	2	205.51	2	214.28	2	220.64					-2	203.17	-2	221.25																																																																																																															-2	134.69													-2	119.1	-2	122.36000000000001
81	Io	iO	2	86	0	26	-2	174.42	-2	203.51	-2	212.28	-2	218.64	2	202.0	2	216.0	2	205.17	2	223.25																																																																																																																																
83	Iuo	iuo	2	88	0	26							-2	216.64	2	204.0	2	218.0	2	207.17	2	225.25																																																											-2	136.97	-2	117.1	-2	120.44																																																																
85	eOO	eoo			2	28	2	176.42	2	205.51	2	214.28	2	218.64					-2	205.17	-2	223.25																																									-2	140.0	-2	140.61	-2	131.56	-2	133.56									-2	137.82	-2	134.97	-2	115.1	-2	118.44																																																																
87	AO	ao	2	90	0	28	2	178.42	2	207.51	2	216.28	2	220.64					-2	203.17	-2	221.25																																																																																																																																
90	uEE	uee			2	30					-2	214.28	-2	218.64			2	220.0	2	205.17	2	223.25																																																																																																																									-2	135.43	-2	133.66	-2	117.1	-2	120.36000000000001
92	AOe	aoe	2	92	0	30	2	180.42	2	209.51	2	216.28	2	220.64					-2	203.17	-2	221.25																																																																																																									-2	143.8	-2	140.49	-2	141.71	-2	132.69									-2	133.43	-2	131.66	-2	115.1	-2	118.36000000000001
93	eAi	eai			2	32			2	211.51	2	218.28	2	222.64							-2	219.25																																													-2	129.56	-2	131.56													-2	113.1	-2	116.44																																																													-2	113.1	-2	116.36000000000001
