trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		155.5		166.66		190.5		213.8		150.0		155.35		179.43		227.69		150.0		150.0		150.0		150.0		151.19		151.97		153.31		155.99		150.0		150.0		150.0		150.0		153.53		156.23		160.13		168.44		150.0		150.0		150.0		150.0		156.34		159.24		168.52		177.55		150.0		150.0		150.0		150.0		159.2		161.9		176.95		185.2		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.07		151.83		152.14		153.14		150.0		150.0		150.0		150.0		154.06		155.74		157.86		159.93		150.0		150.0		150.0		150.0		159.65		162.82		168.97		173.38
1	yOe	yoe			7.333333333333333	7.333333333333333	7.333333333333333	162.83333333333334	7.333333333333333	173.99333333333334	7.333333333333333	197.83333333333334	7.333333333333333	221.13333333333335					-2	177.43	-2	225.69																									-2	151.53	-2	154.23	-2	158.13	-2	166.44									-2	154.34	-2	157.24	-2	166.52	-2	175.55									-2	157.2	-2	159.9	-2	174.95	-2	183.2																																									-2	152.06	-2	153.74	-2	155.86	-2	157.93									-2	157.65	-2	160.82	-2	166.97	-2	171.38
2	yAA	uaa	0.4	0.4	0	7.333333333333333			0.4	174.39333333333335	0.4	198.23333333333335	0.4	221.53333333333336							-2	223.69																																																																																																																																
3	uEE	uee			2.4	9.733333333333333					-2	196.23333333333335	-2	219.53333333333336			2.4	157.75	2.4	179.83	2.4	226.09																																																																																																																									-2	155.65	-2	158.82	-2	164.97	-2	169.38
4	yyA	yua			2.8	12.533333333333331			2.8	177.19333333333336	2.8	199.03333333333336	2.8	222.33333333333337							-2	224.09																													-2	156.13	-2	164.44													-2	164.52	-2	173.55													-2	172.95	-2	181.2																																																																
5	EuE	eue	4.0	4.4	0	12.533333333333331					-2	197.03333333333336	-2	220.33333333333337			4.0	161.75	4.0	183.83	4.0	228.09																																													-2	162.52	-2	171.55													-2	170.95	-2	179.2																																																									-2	153.65	-2	156.82	-2	162.97	-2	167.38
6	yiy	yiu			2.0	14.533333333333331			2.0	179.19333333333336	2.0	199.03333333333336	2.0	222.33333333333337							-2	226.09																															-2	162.44															-2	169.55													-2	168.95	-2	177.2																																																																
7	OOA	Ooa			6.0	20.53333333333333	6.0	168.83333333333334	6.0	185.19333333333336	6.0	205.03333333333336	6.0	228.33333333333337					-2	181.83	-2	224.09									-2	149.19	-2	149.97	-2	151.31	-2	153.99									-2	149.53	-2	152.23	-2	154.13	-2	160.44									-2	152.34	-2	155.24	-2	160.52	-2	167.55									-2	155.2	-2	157.9	-2	166.95	-2	175.2																																																																
8	uuE	yue	5.2	9.600000000000001	0	20.53333333333333			-2	183.19333333333336	-2	203.03333333333336	-2	226.33333333333337			5.2	166.95	5.2	187.03	5.2	229.29																													-2	152.13	-2	158.44													-2	158.52	-2	165.55													-2	164.95	-2	173.2																																																									-2	151.65	-2	154.82	-2	160.97	-2	165.38
11	eiO	eio			2.6666666666666665	23.2	2.6666666666666665	171.5	2.6666666666666665	185.86	2.6666666666666665	205.70000000000002	2.6666666666666665	229.00000000000003					-2	185.03	-2	227.29																																											-2	153.24			-2	163.55									-2	153.2	-2	155.9	-2	162.95	-2	171.2																																																																
12	aIu	Aiu	2.3333333333333335	11.933333333333335	0	23.2			-2	183.86	-2	203.70000000000002	-2	227.00000000000003	2.3333333333333335	152.33333333333334	2.3333333333333335	169.28333333333333	2.3333333333333335	187.36333333333334	2.3333333333333335	229.62333333333333																															-2	156.44															-2	161.55													-2	160.95	-2	169.2																																																																
13	yAy	uau	0.4	12.333333333333336	0	23.2			0.4	184.26000000000002	0.4	204.10000000000002	0.4	227.40000000000003							-2	227.62333333333333																																																																																																																																
