trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		163.26		189.46		202.73		228.91		154.64		168.31		183.41		212.75		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.49		152.09		153.29		154.53		156.86		159.31		150.0		150.0		150.0		150.0		150.0		150.0		150.89		151.59		150.0		150.0		150.0		150.0		150.0		150.0		152.27		153.46		150.0		150.0		150.0		150.0		150.0		150.0		154.14		155.91		150.0		150.0		150.0		150.0		150.0		150.0		157.69		160.69
1	ouI	Oyi	1.3333333333333333	1.3333333333333333	0	0	-2	161.26	-2	187.46	-2	200.73	-2	226.91	1.3333333333333333	155.97333333333333	1.3333333333333333	169.64333333333335	1.3333333333333333	184.74333333333334	1.3333333333333333	214.08333333333334																																																																																																																																
2	Iaa	iaa	1.0	2.333333333333333	0	0							-2	224.91	1.0	156.97333333333333	1.0	170.64333333333335	1.0	185.74333333333334	1.0	215.08333333333334																																																													-2	154.86	-2	157.31																																																																
3	Iuu	iuu	1.0	3.333333333333333	0	0							-2	222.91	1.0	157.97333333333333	1.0	171.64333333333335	1.0	186.74333333333334	1.0	216.08333333333334																																																													-2	152.86	-2	155.31																																																																
5	oaa	OAA	2.0	5.333333333333333	0	0	-2	159.26	-2	185.46	-2	198.73	-2	220.91					2.0	188.74333333333334	2.0	218.08333333333334																																																																																																																																
6	EEI	EEi			2.3333333333333335	2.3333333333333335							-2	218.91	2.3333333333333335	160.30666666666667	2.3333333333333335	173.9766666666667	2.3333333333333335	191.07666666666668	2.3333333333333335	220.41666666666669																																																																																													-2	150.27	-2	151.46													-2	152.14	-2	153.91													-2	155.69	-2	158.69
7	iiO	Iio	5.333333333333333	10.666666666666666	0	2.3333333333333335	5.333333333333333	164.59333333333333	5.333333333333333	190.79333333333335	5.333333333333333	204.06333333333333	5.333333333333333	224.24333333333334	-2	158.30666666666667	-2	171.9766666666667	-2	189.07666666666668	-2	218.41666666666669																																																									-2	151.29	-2	152.53	-2	150.86	-2	153.31													-2	148.89	-2	149.59													-2	148.27	-2	149.46													-2	150.14	-2	151.91													-2	153.69	-2	156.69
9	aau	AAy	2.0	12.666666666666666	0	2.3333333333333335			-2	188.79333333333335	-2	202.06333333333333	-2	222.24333333333334							2.0	220.41666666666669																																																																																																																																
10	aao	AAO	2.0	14.666666666666666	0	2.3333333333333335	-2	162.59333333333333	-2	186.79333333333335	-2	200.06333333333333	-2	220.24333333333334					2.0	191.07666666666668	2.0	222.41666666666669																																																																																																																																
12	iOi	ioi			3.3333333333333335	5.666666666666667	3.3333333333333335	165.92666666666668	3.3333333333333335	190.1266666666667	3.3333333333333335	203.39666666666668	3.3333333333333335	223.57666666666668					-2	189.07666666666668	-2	220.41666666666669																																																									-2	149.29	-2	150.53	-2	148.86	-2	151.31																																													-2	148.14	-2	149.91													-2	151.69	-2	154.69
13	uIE	yie	1.0	15.666666666666666	0	5.666666666666667			-2	188.1266666666667	-2	201.39666666666668	-2	221.57666666666668	1.0	159.30666666666667	1.0	172.9766666666667	1.0	190.07666666666668	1.0	221.41666666666669																																																																																																																																
16	IIa	Iia			3.6666666666666665	9.333333333333334							-2	219.57666666666668	3.6666666666666665	162.97333333333333	3.6666666666666665	176.64333333333335	3.6666666666666665	193.74333333333334	3.6666666666666665	225.08333333333334																																																													-2	146.86	-2	149.31													-2	146.89	-2	147.59													-2	146.27	-2	147.46													-2	146.14	-2	147.91													-2	149.69	-2	152.69
18	yOO	uoo	0.6666666666666666	16.333333333333332	0	9.333333333333334	0.6666666666666666	166.59333333333333	0.6666666666666666	188.79333333333335	0.6666666666666666	202.06333333333333	0.6666666666666666	220.24333333333334					-2	191.74333333333334	-2	223.08333333333334																																																																																																																																
20	iOe	IoE	1.3333333333333333	17.666666666666664	0	9.333333333333334	1.3333333333333333	167.92666666666668	1.3333333333333333	190.1266666666667	1.3333333333333333	203.39666666666668	1.3333333333333333	221.57666666666668	-2	160.97333333333333	-2	174.64333333333335	-2	189.74333333333334	-2	221.08333333333334																																																																																																																																
22	iee	IEE	2.0	19.666666666666664	0	9.333333333333334					2.0	205.39666666666668	2.0	223.57666666666668	-2	158.97333333333333	-2	172.64333333333335	-2	187.74333333333334	-2	219.08333333333334																																																																																																																																
24	IEo	iEo	2.3333333333333335	21.999999999999996	0	9.333333333333334							-2	221.57666666666668	2.3333333333333335	161.30666666666667	2.3333333333333335	174.9766666666667	2.3333333333333335	190.07666666666668	2.3333333333333335	221.41666666666669																																																					-2	149.49	-2	150.09	-2	147.29	-2	148.53	-2	144.86	-2	147.31																																																																
27	IEa	iEa	2.3333333333333335	24.33333333333333	0	9.333333333333334							-2	219.57666666666668	2.3333333333333335	163.64000000000001	2.3333333333333335	177.31000000000003	2.3333333333333335	192.41000000000003	2.3333333333333335	223.75000000000003																																																					-2	147.49	-2	148.09	-2	145.29	-2	146.53	-2	142.86	-2	145.31																																																																
30	yO	uo	0.6666666666666666	24.999999999999996	0	9.333333333333334	0.6666666666666666	168.59333333333333	0.6666666666666666	190.79333333333335	0.6666666666666666	206.06333333333333	0.6666666666666666	220.24333333333334					-2	190.41000000000003	-2	221.75000000000003																																																																																																																																
31	aoI	AOi	1.3333333333333333	26.33333333333333	0	9.333333333333334	-2	166.59333333333333	-2	188.79333333333335	-2	204.06333333333333	-2	218.24333333333334	1.3333333333333333	164.97333333333336	1.3333333333333333	178.64333333333337	1.3333333333333333	191.74333333333337	1.3333333333333333	223.08333333333337																																																																																																																																
33	yeA	uEa	1.2	27.533333333333328	0	9.333333333333334			1.2	189.99333333333334	1.2	205.26333333333332	1.2	219.44333333333333			-2	176.64333333333337	-2	189.74333333333337	-2	221.08333333333337																																																																																																																																
34	eye	EuE	1.2	28.733333333333327	0	9.333333333333334			1.2	191.19333333333333	1.2	206.4633333333333	1.2	220.64333333333332			-2	174.64333333333337	-2	187.74333333333337	-2	219.08333333333337																																																																																																																																
35	uEo	yeO	1.6	30.33333333333333	0	9.333333333333334	-2	164.59333333333333	-2	189.19333333333333	-2	204.4633333333333	-2	218.64333333333332			1.6	176.24333333333337	1.6	189.34333333333336	1.6	220.68333333333337																																																																																																																																
37	eiO	Eio	4.333333333333333	34.666666666666664	0	9.333333333333334	4.333333333333333	168.92666666666668	4.333333333333333	193.52666666666667	4.333333333333333	208.79666666666665	4.333333333333333	222.97666666666666			-2	174.24333333333337	-2	187.34333333333336	-2	218.68333333333337																																																									-2	143.29	-2	144.53	-2	140.86	-2	143.31																													-2	144.27	-2	145.46													-2	144.14	-2	145.91													-2	147.69	-2	150.69
38	uII	uii			1.0	10.333333333333334							-2	220.97666666666666	1.0	165.97333333333336	1.0	175.24333333333337	1.0	188.34333333333336	1.0	219.68333333333337																																																																																																																													-2	145.69	-2	148.69
39	Oii	oii	2.0	36.666666666666664	0	10.333333333333334	2.0	170.92666666666668	2.0	195.52666666666667	2.0	210.79666666666665	2.0	222.97666666666666					-2	186.34333333333336	-2	217.68333333333337																																																																																																													-2	142.14	-2	143.91													-2	143.69	-2	146.69
40	EoI	eOi	1.3333333333333333	38.0	0	10.333333333333334	-2	168.92666666666668	-2	193.52666666666667	-2	208.79666666666665	-2	220.97666666666666	1.3333333333333333	167.3066666666667	1.3333333333333333	176.5766666666667	1.3333333333333333	187.6766666666667	1.3333333333333333	219.0166666666667																																																																																																																																
41	uoI	uoi			1.6666666666666667	12.0							-2	218.97666666666666	1.6666666666666667	168.97333333333336	1.6666666666666667	178.24333333333337	1.6666666666666667	189.34333333333336	1.6666666666666667	220.68333333333337																																																																																																													-2	140.14	-2	141.91													-2	141.69	-2	144.69
43	oIa	OiA	1.3333333333333333	39.333333333333336	0	12.0	-2	166.92666666666668	-2	191.52666666666667	-2	206.79666666666665	-2	216.97666666666666	1.3333333333333333	170.3066666666667	1.3333333333333333	179.5766666666667	1.3333333333333333	190.6766666666667	1.3333333333333333	222.0166666666667																																																																																																																																
44	yii	uii	1.2	40.53333333333334	0	12.0			1.2	192.72666666666666	1.2	207.99666666666664	1.2	218.17666666666665							-2	220.0166666666667																																																																																																																													-2	139.69	-2	142.69
45	Eu	ey	1.2	41.73333333333334	0	12.0			-2	190.72666666666666	-2	205.99666666666664	-2	216.17666666666665			1.2	180.7766666666667	1.2	191.8766666666667	1.2	221.2166666666667																																																																																																																																
47	iyO	iuo			1.6666666666666667	13.666666666666666	1.6666666666666667	168.59333333333333	1.6666666666666667	192.39333333333332	1.6666666666666667	207.6633333333333	1.6666666666666667	217.8433333333333					-2	189.8766666666667	-2	219.2166666666667																																																											-2	142.53	-2	138.86	-2	141.31																																																																
50	OOA	ooa	0.6666666666666666	42.400000000000006	0	13.666666666666666	0.6666666666666666	169.26	0.6666666666666666	193.05999999999997	0.6666666666666666	208.32999999999996	0.6666666666666666	218.50999999999996					-2	187.8766666666667	-2	217.2166666666667																																																																																																																																
