trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		164.85		193.5		220.87		247.51999999999998		150.0		150.0		164.65		194.48		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.91		152.54		155.99		157.91		150.0		150.0		150.0		150.0		153.88		154.83		161.84		164.75		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		152.04		152.74		153.91		154.92		150.0		150.0		150.0		150.0		156.1		158.13		162.14		165.31
2	Iaa	iAA	0.4	0.4	0	0			-2	191.5	-2	218.87	-2	245.51999999999998	0.4	150.4	0.4	150.4	0.4	165.05	0.4	194.88																																																																																																																																
3	IIo	iio	0.4	0.8	0	0							-2	243.51999999999998	0.4	150.8	0.4	150.8	0.4	165.45000000000002	0.4	195.28																																																									-2	151.88	-2	152.83	-2	159.84	-2	162.75																																																																
4	aEI	Aei	0.4	1.2000000000000002	0	0			-2	189.5	-2	216.87	-2	241.51999999999998	0.4	151.20000000000002	0.4	151.20000000000002	0.4	165.85000000000002	0.4	195.68																																																																																																																																
5	uaa	yAA	1.0	2.2	0	0			-2	187.5	-2	214.87	-2	239.51999999999998							1.0	196.68																																																																																																																																
6	uEu	yey	0.5	2.7	0	0			-2	185.5	-2	212.87	-2	237.51999999999998			0.5	151.70000000000002	0.5	166.35000000000002	0.5	197.18																																																																																																																																
8	EoI	eOi	0.4	3.1	0	0	-2	162.85	-2	183.5	-2	210.87	-2	235.51999999999998	0.4	151.60000000000002	0.4	152.10000000000002	0.4	166.75000000000003	0.4	197.58																																																																																																																																
9	ouu	Oyy	0.6666666666666666	3.7666666666666666	0	0	-2	160.85	-2	181.5	-2	208.87	-2	233.51999999999998					0.6666666666666666	167.41666666666669	0.6666666666666666	198.24666666666667																																																																																																																																
10	oEa	OeA	0.5	4.266666666666667	0	0	-2	158.85	-2	179.5	-2	206.87	-2	231.51999999999998			0.5	152.60000000000002	0.5	167.91666666666669	0.5	198.74666666666667																																																																																																																																
11	ouI	oui			0.4	0.4							-2	229.51999999999998	0.4	152.00000000000003	0.4	153.00000000000003	0.4	168.3166666666667	0.4	199.14666666666668																																																																																																															-2	152.92													-2	160.14	-2	163.31
