trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
1	uuI	yyi	2	2	0	0			-2	98	-2	98	-2	98	2	102	2	102	2	102	2	102																																																																																																																																
3	IuE	iue	2	4	0	0					-2	96	-2	96	2	104	2	104	2	104	2	104																																																													-2	98	-2	98																																																									-2	98	-2	98	-2	98	-2	98
4	Aey	aeu	2	6	0	0			2	100	2	98	2	98							-2	102																																													-2	98	-2	98													-2	96	-2	96																																																									-2	96	-2	96	-2	96	-2	96
6	Ayi	aui	2	8	0	0			2	102	2	100	2	100							-2	100																																																																																																																													-2	94	-2	94
8	iai	iAi			2	2			-2	100	-2	98	-2	98							2	102																																																													2	98	2	98																																																													2	96	2	96
10	iA	ia			2	4			2	102	2	100	2	100							-2	100																																																													-2	96	-2	96																																																																
12	ioi	iOi			2	6	-2	98	-2	100	-2	98	-2	98					2	106	2	102																																																									2	102	2	102	2	98	2	98																																													2	102	2	102													2	98	2	98
13	aui	Ayi	2	10	0	6			-2	98	-2	96	-2	96							2	104																																																																																																																													2	100	2	100
15	eyA	eua			2	8			2	100	2	98	2	98							-2	102																																													-2	96	-2	96													-2	96	-2	96																																																																
16	OOe	ooe	2	12	0	8	2	100	2	102	2	100	2	100					-2	104	-2	100																																																																																																									-2	98	-2	98	-2	100	-2	100									-2	94	-2	94	-2	98	-2	98
17	yAe	uae	2	14	0	8			2	104	2	102	2	102							-2	98																																																																																																																									-2	92	-2	92	-2	96	-2	96
21	uue	yye	2	16	0	8			-2	102	-2	100	-2	100							2	100																																																																																																																									2	94	2	94	2	98	2	98
22	oa	OA	2	18	0	8	-2	98	-2	100	-2	98	-2	98					2	106	2	102																																																																																																																																
23	OO	oo	2	20	0	8	2	100	2	102	2	100	2	100					-2	104	-2	100																																																																																																																																
24	aie	Aie	2	22	0	8			-2	100	-2	98	-2	98							2	102																																																																																																																											2	96	2	100	2	100
26	AAO	aao	2	24	0	8	2	102	2	102	2	100	2	100					-2	102	-2	100																																																																																																																																
27	Eou	eOy	2	26	0	8	-2	100	-2	100	-2	98	-2	98			2	106	2	104	2	102																																																																																																																																
28	yyO	uuo	2	28	0	8	2	102	2	102	2	100	2	100					-2	102	-2	100																																																																																																																																
29	aoi	AOi	2	30	0	8	-2	100	-2	100	-2	98	-2	98					2	104	2	102																																																																																																													2	102	2	102													2	102	2	102
30	Oeu	oeu	2	32	0	8	2	102	2	102	2	100	2	100					-2	102	-2	100															2	102															2	102																																																																									-2	96	-2	96	-2	100	-2	100									-2	92	-2	94	-2	100	-2	100
31	uua	yyA	2	34	0	8			-2	100	-2	98	-2	98							2	102																																																																																																																																
32	eeA	eea			2	10			2	102	2	100	2	100							-2	100																																													-2	94	-2	94													-2	94	-2	94																																																																
33	iyi	iui			2	12			2	104	2	102	2	102							-2	98																																																													-2	92	-2	92																																																													-2	98	-2	98
34	uea	yeA	2	36	0	12			-2	102	-2	100	-2	100							2	100																																													2	96	2	96													2	94	2	94																																																									2	94	2	96	2	100	2	100
37	iua	iyA			2	14			-2	100	-2	98	-2	98							2	102																																																													2	96	2	96																																																																
38	aa	AA	2	38	0	14			-2	98	-2	96	-2	96							2	104																																																																																																																																
40	yiy	uiu	2	40	0	14			2	100	2	98	2	98							-2	102																																																													-2	94	-2	94																																																													-2	98	-2	98
42	yiO	uio	2	42	0	14	2	104	2	102	2	100	2	100					-2	100	-2	100																																																									-2	100	-2	100	-2	92	-2	92																																																													-2	96	-2	96
45	uou	yOy	2	44	0	14	-2	102	-2	100	-2	98	-2	98					2	102	2	102																																																																																																																																
47	eeO	eeo			2	16	2	104	2	102	2	100	2	100					-2	100	-2	100																																									-2	98	-2	98	-2	94	-2	94									-2	98	-2	98	-2	90	-2	90																																																																
48	uaa	yAA	2	46	0	16			-2	100	-2	98	-2	98							2	102																																																																																																																																
51	oaa	OAA	2	48	0	16	-2	102	-2	98	-2	96	-2	96					2	102	2	104																																																																																																																																
53	eyA	eua			2	18			2	100	2	98	2	98							-2	102																																													-2	92	-2	92													-2	88	-2	88																																																																
58	aoe	AOe	2	50	0	18	-2	100	-2	98	-2	96	-2	96					2	104	2	104																																																																																																									2	98	2	98	2	102	2	102									2	96	2	98	2	98	2	98
59	aeu	Aey	2	52	0	18			-2	96	-2	94	-2	94							2	106																																													2	94	2	94													2	90	2	90																																																									2	98	2	100	2	100	2	100
63	iiA	iia			2	20			2	98	2	96	2	96							-2	104																																																													-2	88	-2	88																																																																
65	Ayi	aui	2	54	0	20			2	100	2	98	2	98							-2	102																																																																																																																													-2	98	-2	98
66	eOe	eoe			2	22	2	102	2	102	2	100	2	100					-2	102	-2	100																																									-2	96	-2	96	-2	92	-2	92									-2	96	-2	96	-2	86	-2	86																																									-2	96	-2	96	-2	100	-2	100									-2	96	-2	98	-2	96	-2	96
68	uau	yAy	2	56	0	22			-2	100	-2	98	-2	98							2	102																																																																																																																																
69	eao	eAO			2	24	-2	100	-2	98	-2	96	-2	96					2	104	2	104																																											2	98	2	94	2	94											2	98	2	88	2	88																																																																
74	eOi	eoi			2	26	2	102	2	100	2	98	2	98					-2	102	-2	102																																									-2	94	-2	96	-2	92	-2	92									-2	94	-2	96	-2	86	-2	86																																													-2	98	-2	98													-2	94	-2	94
75	AeA	aea	2	58	0	26			2	102	2	100	2	100							-2	100																																													-2	90	-2	90													-2	84	-2	84																																																									-2	94	-2	96	-2	92	-2	92
79	AOA	aoa	2	60	0	26	2	104	2	104	2	102	2	102					-2	100	-2	98																																																																																																																																
81	oae	OAe	2	62	0	26	-2	102	-2	102	-2	100	-2	100					2	102	2	100																																																																																																											2	98			2	100									2	96	2	98	2	94	2	94
82	yee	uee	2	64	0	26			2	104	2	102	2	102							-2	98																																																																																																																									-2	94	-2	96	-2	92	-2	92
83	iiu	iiy			2	28			-2	102	-2	100	-2	100							2	100																																																													2	86	2	86																																																																
86	aoo	AOO	2	66	0	28	-2	100	-2	100	-2	98	-2	98					2	104	2	102																																																																																																																																
87	OeO	oeo	2	68	0	28	2	102	2	102	2	100	2	100					-2	102	-2	100																																									-2	92	-2	94	-2	88	-2	88									-2	92	-2	94	-2	84	-2	84																																									-2	94	-2	96	-2	96	-2	98									-2	92	-2	94	-2	90	-2	90
89	ioi	iOi			2	30	-2	100	-2	100	-2	98	-2	98					2	104	2	102																																																									2	94	2	96	2	86	2	86																																													2	98	2	100													2	92	2	92
90	OO	oo	2	70	0	30	2	102	2	102	2	100	2	100					-2	102	-2	100																																																																																																																																
92	OeO	oeo	2	72	0	30	2	104	2	104	2	102	2	102					-2	100	-2	98																																									-2	90	-2	92	-2	86	-2	86									-2	92	-2	94	-2	84	-2	84																																									-2	92	-2	94	-2	96	-2	98									-2	90	-2	92	-2	90	-2	90
93	eoi	eOi			2	32	-2	102	-2	102	-2	100	-2	100					2	102	2	100																																									2	92	2	94	2	88	2	88									2	94	2	96	2	86	2	86																																													2	98	2	100													2	92	2	92
94	eai	eAi			2	34			-2	100	-2	98	-2	98							2	102																																													2	90	2	90													2	88	2	88																																																													2	94	2	94
96	Oiy	oiu	2	74	0	34	2	104	2	102	2	100	2	100					-2	100	-2	100																																																													-2	86	-2	86																																													-2	96	-2	98													-2	92	-2	92
99	aai	AAi	2	76	0	34			-2	100	-2	98	-2	98							2	102																																																																																																																													2	94	2	94
100	Ai	ai	2	78	0	34			2	102	2	100	2	100							-2	100																																																																																																																													-2	92	-2	92
101	uua	yyA	2	80	0	34			-2	100	-2	98	-2	98							2	102																																																																																																																																
102	iyi	iui			2	36			2	102	2	100	2	100							-2	100																																																													-2	84	-2	84																																																													-2	90	-2	90
104	aoe	AOe	2	82	0	36	-2	102	-2	100	-2	98	-2	98					2	102	2	102																																																																																																									2	94	2	96	2	98	2	100									2	92	2	94	2	92	2	92
105	eeu	eey			2	38			-2	98	-2	96	-2	96							2	104																																													2	92	2	92													2	86	2	86																																																																
107	ieO	ieo			2	40	2	104	2	100	2	98	2	98					-2	100	-2	102																																									-2	90	-2	92	-2	90	-2	90									-2	92	-2	94	-2	84	-2	84																																																																
109	iye	iue			2	42			2	102	2	100	2	100							-2	100																																																													-2	82	-2	82																																																									-2	90	-2	92	-2	90	-2	90
112	ooi	OOi	2	84	0	42	-2	102	-2	100	-2	98	-2	98					2	102	2	102																																																																																																													2	100	2	102													2	92	2	92
114	oye	Oye	2	86	0	42	-2	100	-2	98	-2	96	-2	96					2	104	2	104																																																																																																					2	102	2	102	2	96	2	98	2	102	2	104					2	102	2	102	2	92	2	94	2	94	2	94
116	yAi	uai	2	88	0	42			2	100	2	98	2	98							-2	102																																																																																																																													-2	92	-2	92
117	iaO	iAO			2	44			-2	98	-2	96	-2	96							2	104																																																													2	84	2	84																																																	2	102	2	102	2	104	2	104	2	94	2	96	2	94	2	94
119	eyi	eui			2	46			2	100	2	98	2	98							-2	102																																													-2	88	-2	88													-2	82	-2	82																																																													-2	92	-2	92
120	OA	oa	2	90	0	46	2	102	2	102	2	100	2	100					-2	102	-2	100																																																																																																																																
122	uae	yAe	2	92	0	46			-2	100	-2	98	-2	98							2	102																																																																																																																									2	96	2	98	2	94	2	94
125	Aye	aue	2	94	0	46			2	102	2	100	2	100							-2	100																																																																																																																									-2	94	-2	96	-2	92	-2	92
127	AOi	aoi	2	96	0	46	2	104	2	104	2	102	2	102					-2	100	-2	98																																																																																																													-2	100	-2	102													-2	90	-2	90
128	aii	Aii	2	98	0	46			-2	102	-2	100	-2	100							2	100																																																																																																																													2	92	2	92
135	Eua	eua	2	100	0	46					-2	98	-2	98			2	108	2	102	2	102																																													-2	86	-2	86													-2	80	-2	80																																																																
139	OA	oa	2	102	0	46	2	106	2	104	2	100	2	100					-2	100	-2	100																																																																																																																																
141	auu	Ayy	2	104	0	46			-2	102	-2	98	-2	98							2	102																																																																																																																																
142	yoi	yOi			2	48	-2	104	-2	100	-2	96	-2	96					2	102	2	104																									2	102	2	102	2	102	2	104									2	92	2	94	2	88	2	88									2	94	2	96	2	82	2	82																																													2	102	2	104													2	94	2	94
143	eOy	eou			2	50	2	106	2	102	2	98	2	98					-2	100	-2	102																																									-2	90	-2	92	-2	86	-2	86									-2	92	-2	94	-2	80	-2	80																																																																
144	ou	Oy	2	106	0	50	-2	104	-2	100	-2	96	-2	96					2	102	2	104																																																																																																																																
145	iyi	iui			2	52			2	102	2	98	2	98							-2	102																																																													-2	78	-2	78																																																													-2	92	-2	92
146	yuo	yyO			2	54	-2	102	-2	100	-2	96	-2	96					2	104	2	104																											2	104	2	104	2	106											2	94	2	88	2	88											2	96	2	80	2	80																																																																
150	oiA	oia			2	56			2	102	2	98	2	98							-2	102																																																													-2	78	-2	78																																							2	104			2	100											2	106			2	98				
153	iOA	ioa			2	58	2	104	2	104	2	100	2	100					-2	102	-2	100																																																									-2	90	-2	94	-2	76	-2	76																																																																
154	aeO	aeo			2	60	2	106	2	106	2	102	2	102					-2	100	-2	98																																									-2	88	-2	92	-2	86	-2	86									-2	88	-2	92	-2	74	-2	74																																																			2	104			2	108								
