trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
2	iy	iu			2	2			2	102	2	102	2	102							-2	98																																																													-2	98	-2	98																																																																
2	Apriori	Id(Bk)Syl1>>Id(Bk)	2	2																																																																																																																																																			
4	aIa	aia			2	4							-2	100	2	102	2	102	2	102	2	100																																																													-2	96	-2	96																																																													-2	98	-2	98
4	Apriori	Id(Bk)Syl1>>Id(Bk)	2	4																																																																																																																																																			
5	Eou	eou	2	6	0	4					-2	100	-2	98			2	104	2	104	2	102																																									-2	98	-2	98	-2	98	-2	98									-2	98	-2	98	-2	94	-2	94																																																																
6	Oia	OiA			2	6			-2	100	-2	98	-2	96							2	104															2	102															2	102															2	100													2	96	2	96																																																																
7	yiO	uio	2	8	0	6	2	102	2	102	2	100	2	98					-2	102	-2	102																																																									-2	96	-2	96	-2	94	-2	94																																																													-2	96	-2	96
8	yee	uee	2	10	0	6			2	104	2	102	2	100							-2	100																																																																																																																									-2	98	-2	98	-2	94	-2	94
9	uie	yie	2	12	0	6			-2	102	-2	100	-2	98							2	102																																																																																																																											2	100	2	96	2	96
11	iui	iyi			2	8			-2	100	-2	98	-2	96							2	104																																																													2	96	2	96																																																													2	98	2	98
14	iA	ia			2	10			2	102	2	100	2	98							-2	102																																																													-2	94	-2	94																																																																
15	Oii	oii	2	14	0	10	2	104	2	104	2	102	2	100					-2	100	-2	100																																																																																																													-2	98	-2	98													-2	96	-2	96
17	ioi	iOi			2	12	-2	102	-2	102	-2	100	-2	98					2	102	2	102																																																									2	98	2	98	2	96	2	96																																													2	100	2	100													2	98	2	98
19	eia	eiA			2	14			-2	100	-2	98	-2	96							2	104																																															2	102													2	98	2	98																																																																
21	Oiy	oiu	2	16	0	14	2	104	2	102	2	100	2	98					-2	100	-2	102																																																													-2	96	-2	96																																													-2	98	-2	98													-2	96	-2	96
25	yiO	uio	2	18	0	14	2	106	2	104	2	102	2	100					-2	98	-2	100																																																									-2	96	-2	96	-2	94	-2	94																																																													-2	94	-2	94
27	eui	eyi			2	16			-2	102	-2	100	-2	98							2	102																																													2	100	2	104													2	96	2	96																																																													2	96	2	96
28	uu	yy	2	20	0	16			-2	100	-2	98	-2	96							2	104																																																																																																																																
31	ouu	Oyy	2	22	0	16	-2	104	-2	98	-2	96	-2	94					2	100	2	106																																																																																																																																
32	Ayy	auu	2	24	0	16			2	100	2	98	2	96							-2	104																																																																																																																																
33	iuo	iyO			2	18	-2	102	-2	98	-2	96	-2	94					2	102	2	106																																																											2	98	2	98	2	98																																																																
35	iOi	ioi			2	20	2	104	2	100	2	98	2	96					-2	100	-2	104																																																									-2	94	-2	96	-2	96	-2	96																																													-2	96	-2	96													-2	94	-2	94
36	yAO	uao	2	26	0	20	2	106	2	102	2	100	2	98					-2	98	-2	102																																																																																																																																
37	yey	ueu	2	28	0	20			2	104	2	102	2	100							-2	100																																													-2	98	-2	102													-2	94	-2	94																																																									-2	96	-2	98	-2	92	-2	92
40	aoE	aoe			2	22					-2	100	-2	98			2	106	2	100	2	102																																																																																																									-2	98	-2	98	-2	94	-2	94									-2	94	-2	96	-2	90	-2	90
43	euu	eyy			2	24			-2	102	-2	98	-2	96							2	104																																													2	100	2	104													2	96	2	96																																																																
44	yOO	uoo	2	30	0	24	2	108	2	104	2	100	2	98					-2	98	-2	102																																																																																																																																
45	oei	Oei	2	32	0	24	-2	106	-2	102	-2	98	-2	96					2	100	2	104																																																																																																									2	100	2	100	2	96	2	96									2	96	2	98	2	92	2	92
47	eOe	eoe			2	26	2	108	2	104	2	100	2	98					-2	98	-2	102																																									-2	96	-2	96	-2	98	-2	102									-2	92	-2	94	-2	94	-2	94																																									-2	98	-2	98	-2	94	-2	94									-2	94	-2	96	-2	90	-2	90
50	iau	iAy			2	28			-2	102	-2	98	-2	96							2	104																																																													2	96	2	96																																																																
51	eao	eAO			2	30	-2	106	-2	100	-2	96	-2	94					2	100	2	106																																											2	98	2	100	2	104											2	96	2	98	2	98																																																																
52	iyA	iua			2	32			2	102	2	98	2	96							-2	104																																																													-2	96	-2	96																																																																
53	oey	Oey	2	34	0	32	-2	104	-2	100	-2	96	-2	94					2	102	2	106																																																																																																							2	102	2	100	2	100	2	96	2	96							2	102	2	96	2	98	2	92	2	92
54	AAA	aaa	2	36	0	32			2	102	2	98	2	96							-2	104																																																																																																																																
55	iye	iue			2	34			2	104	2	100	2	98							-2	102																																																													-2	94	-2	94																																																									-2	94	-2	96	-2	90	-2	90
61	OOA	ooa	2	38	0	34	2	106	2	106	2	102	2	100					-2	100	-2	100																																																																																																																																
62	oae	OAe	2	40	0	34	-2	104	-2	104	-2	100	-2	98					2	102	2	102																																																																																																											2	102			2	98									2	96	2	98	2	92	2	92
63	iiu	iiy			2	36			-2	102	-2	98	-2	96							2	104																																																													2	96	2	96																																																																
64	yAe	uae	2	42	0	36			2	104	2	100	2	98							-2	102																																																																																																																									-2	94	-2	96	-2	90	-2	90
65	ua	yA	2	44	0	36			-2	102	-2	98	-2	96							2	104																																																																																																																																
66	Aei	aei	2	46	0	36			2	104	2	100	2	98							-2	102																																																																																																																									-2	92	-2	94	-2	88	-2	88
69	uee	yee	2	48	0	36			-2	102	-2	98	-2	96							2	104																																																																																																																									2	94	2	96	2	90	2	90
71	OOi	ooi	2	50	0	36	2	106	2	104	2	100	2	98					-2	100	-2	102																																																																																																													-2	94	-2	96													-2	88	-2	88
73	uoe	yOe	2	52	0	36	-2	104	-2	102	-2	98	-2	96					2	102	2	104																																																																																																									2	102	2	104	2	96	2	98									2	96	2	98	2	90	2	90
