trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
5	eyi	Eui	2	2	0	0			2	102	2	102	2	102			-2	98	-2	98	-2	98																																																																																															-2	98															-2	98													-2	98	-2	98
6	ooE	Ooe	2	4	0	0	-2	98	-2	100	-2	100	-2	100			2	100	2	100	2	100									-2	98	-2	98	-2	98	-2	98									-2	98	-2	98	-2	98	-2	98									-2	98	-2	98	-2	98	-2	98									-2	98	-2	98	-2	98	-2	98																																									-2	98	-2	98	-2	98	-2	96									-2	98	-2	98	-2	96	-2	96
7	AOi	aoi	2	6	0	0	2	100	2	102	2	102	2	102					-2	98	-2	98																																																																																																													-2	96	-2	94													-2	94	-2	94
8	eAO	Eao	2	8	0	0	2	102	2	104	2	104	2	104			-2	98	-2	96	-2	96																																																																																																																																
9	EaI	eai	2	10	0	0					-2	102	-2	102	2	102	2	100	2	98	2	98																																													-2	96	-2	96													-2	96	-2	96																																																													-2	92	-2	92
11	AeO	Aeo			2	2	2	104	2	106	2	104	2	104					-2	96	-2	96																											-2	96			-2	96									-2	96	-2	96	-2	94	-2	94									-2	96	-2	96	-2	94	-2	94																																																																
14	oau	Oau	2	12	0	2	-2	102	-2	104	-2	102	-2	102					2	98	2	98													-2	96	-2	96													-2	96	-2	94													-2	92	-2	92													-2	92	-2	92																																																																
15	ooa	Ooa	2	14	0	2	-2	100	-2	102	-2	100	-2	100					2	100	2	100									-2	96	-2	96	-2	94	-2	94									-2	96	-2	94	-2	94	-2	92									-2	94	-2	94	-2	90	-2	90									-2	94	-2	94	-2	90	-2	90																																																																
16	uo	yo	2	16	0	2			-2	100	-2	98	-2	98							2	102																									-2	94	-2	92	-2	92	-2	90									-2	92	-2	92	-2	88	-2	88									-2	92	-2	92	-2	88	-2	88																																																																
17	eeA	eea			2	4			2	102	2	100	2	100							-2	100																																													-2	86	-2	86													-2	86	-2	86																																																																
18	oiu	Oiu	2	18	0	4	-2	98	-2	100	-2	98	-2	98					2	102	2	102															-2	92															-2	88															-2	84																																																													2	98	2	96													2	94	2	94
19	Aiy	aiu	2	20	0	4			2	102	2	100	2	100							-2	100																																																													-2	84	-2	84																																																													-2	92	-2	92
20	EEI	Eei			2	6					-2	98	-2	98	2	104	2	102	2	104	2	102																																																																																									-2	98	-2	98	-2	98	-2	96									-2	96	-2	96	-2	96	-2	94									-2	96	-2	96	-2	90	-2	90
21	OiO	Oio			2	8	2	100	2	104	2	100	2	100					-2	102	-2	100											-2	94			-2	90											-2	90			-2	86											-2	90			-2	82									-2	90	-2	90	-2	82	-2	82																																																																
22	auE	Aue	2	22	0	8			-2	102	-2	98	-2	98			2	104	2	104	2	102																													-2	90	-2	84													-2	84	-2	80													-2	80	-2	80																																																									-2	94	-2	94	-2	88	-2	88
23	AyO	Auo			2	10	2	102	2	104	2	100	2	100					-2	102	-2	100																											-2	88	-2	88	-2	82											-2	88	-2	82	-2	78											-2	88	-2	78	-2	78																																																																
27	auu	Auu	2	24	0	10			-2	102	-2	98	-2	98							2	102																													-2	86	-2	80													-2	80	-2	76													-2	76	-2	76																																																																
28	iOi	ioi			2	12	2	104	2	104	2	100	2	100					-2	100	-2	100																																																									-2	88	-2	86	-2	74	-2	74																																													-2	94	-2	92													-2	86	-2	86
32	eai	Eai	2	26	0	12					2	102	2	102			-2	102	-2	98	-2	98																																													2	82	2	78													2	76	2	76																															-2	94															-2	90															-2	84
33	ooo	Ooo	2	28	0	12	-2	102	-2	102	-2	100	-2	100					2	100	2	100									-2	94	-2	92	-2	92	-2	88									-2	92	-2	86	-2	84	-2	78									-2	90	-2	86	-2	80	-2	76									-2	86	-2	84	-2	74	-2	74																																																																
34	iye	iue			2	14			2	104	2	102	2	102							-2	98																																																													-2	72	-2	72																																																									-2	92	-2	92	-2	84	-2	82
35	euu	Euu	2	30	0	14					2	104	2	104			-2	100	-2	98	-2	96																																													2	82	2	78													2	74	2	74																																																																
36	aou	Aou	2	32	0	14			-2	102	-2	102	-2	102							2	98																									-2	90	-2	84	-2	82	-2	76									-2	88	-2	84	-2	80	-2	76									-2	84	-2	82	-2	72	-2	72																																																																
37	uE	ye	2	34	0	14			-2	100	-2	100	-2	100			2	102	2	100	2	100																																																																																																																																
39	iEa	iea			2	16					-2	98	-2	98			2	104	2	102	2	102																																													-2	78	-2	74					2	102	2	102	2	86	2	84			2	74																																																																
40	AOy	aou	2	36	0	16	2	104	2	102	2	100	2	100					-2	100	-2	100																																																																																																																																
41	aiu	Aiu	2	38	0	16			-2	100	-2	98	-2	98							2	102																															-2	74															-2	72																																																																													2	86	2	84
42	Ay	au	2	40	0	16			2	102	2	100	2	100							-2	100																																																																																																																																
43	AAo	Aao			2	18			2	104	2	102	2	102							-2	98																									2	92					-2	72									2	90					-2	70									2	88					-2	72																																																																
45	eio	Eio	2	42	0	18					2	104	2	104			-2	102	-2	98	-2	96																																											2	86			2	72																																													-2	96	-2	92													-2	92	-2	88													-2	84	-2	82
46	oI	Oi	2	44	0	18	-2	102	-2	102	-2	102	-2	102	2	106	2	104	2	100	2	98																																																																																																																																
47	eae	Eae	2	46	0	18					2	104	2	104			-2	102	-2	98	-2	96																																													2	80	2	74													2	74	2	74																											-2	96			-2	90											-2	94			-2	86											-2	90			-2	80
48	euo	Euo	2	48	0	18					2	106	2	106			-2	100	-2	96	-2	94																																											2	88	2	82	2	76											2	86	2	76	2	76																																																																
