trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
1	EuI	eyi	0.75	0.75	0	0			-2	98	-2	98	-2	98	0.75	100.75	0.75	100.75	0.75	100.75	0.75	100.75																																																																																																																																
3	iiy	iiu			0.8571428571428571	0.8571428571428571			0.8571428571428571	98.85714285714286	0.8571428571428571	98.85714285714286	0.8571428571428571	98.85714285714286							-2	98.75																																																													-2	98	-2	98																																																																
6	yyi	uui	0.8571428571428571	1.6071428571428572	0	0.8571428571428571			0.8571428571428571	99.71428571428572	0.8571428571428571	99.71428571428572	0.8571428571428571	99.71428571428572							-2	96.75																																																																																																																													-2	98	-2	98
8	Oee	oEE	0.75	2.357142857142857	0	0.8571428571428571	0.75	100.75	0.75	100.46428571428572	0.75	100.46428571428572	0.75	100.46428571428572			-2	98.75	-2	98.75	-2	94.75																																																																																																																																
11	IEI	IEi			1.2307692307692308	2.087912087912088							-2	98.46428571428572	1.2307692307692308	101.98076923076923	1.2307692307692308	99.98076923076923	1.2307692307692308	99.98076923076923	1.2307692307692308	95.98076923076923																																																																															-2	98													-2	98	-2	98													-2	98	-2	98													-2	96	-2	96
12	ouu	Oyy	1.1428571428571428	3.5	0	2.087912087912088	-2	98.75	-2	98.46428571428572	-2	98.46428571428572	-2	96.46428571428572					1.1428571428571428	101.12362637362637	1.1428571428571428	97.12362637362637																																																																																																																																
13	eAe	EaE	0.8571428571428571	4.357142857142857	0	2.087912087912088			0.8571428571428571	99.32142857142858	0.8571428571428571	99.32142857142858	0.8571428571428571	97.32142857142858			-2	97.98076923076923	-2	99.12362637362637	-2	95.12362637362637																																																																																																																																
14	ieu	iEu			1.2307692307692308	3.318681318681319					1.2307692307692308	100.55219780219781	1.2307692307692308	98.55219780219781			-2	95.98076923076923	-2	97.12362637362637	-2	93.12362637362637																																													1.2307692307692308	101.23076923076923	1.2307692307692308	101.23076923076923					-2	98	-2	98	-2	98	-2	98			-2	96																																																																
15	iai	iAi			0.6666666666666666	3.9853479853479854			-2	97.32142857142858	-2	98.55219780219781	-2	96.55219780219781							0.6666666666666666	93.79029304029304																																																													0.6666666666666666	98.66666666666667	0.6666666666666666	96.66666666666667																																																													0.6666666666666666	96.66666666666667	0.6666666666666666	96.66666666666667
17	Aiy	aiu	1.1111111111111112	5.468253968253968	0	3.9853479853479854			1.1111111111111112	98.4325396825397	1.1111111111111112	99.66330891330892	1.1111111111111112	97.66330891330892							-2	91.79029304029304																																																													-2	96.66666666666667	-2	94.66666666666667																																																													-2	94.66666666666667	-2	94.66666666666667
18	uiu	yiy	0.6666666666666666	6.134920634920635	0	3.9853479853479854			-2	96.4325396825397	-2	97.66330891330892	-2	95.66330891330892							0.6666666666666666	92.45695970695971																																																													0.6666666666666666	97.33333333333334	0.6666666666666666	95.33333333333334																																																													0.6666666666666666	95.33333333333334	0.6666666666666666	95.33333333333334
19	uou	yOy	1.1428571428571428	7.277777777777779	0	3.9853479853479854	-2	96.75	-2	94.4325396825397	-2	95.66330891330892	-2	93.66330891330892					1.1428571428571428	98.2664835164835	1.1428571428571428	93.59981684981685																																																																																																																																
