trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
0	Apriori	Id(Bk)Syl1>>Id(Bk)	10	10																																																																																																																																																		
1	AeO	Aeo			1.411764705882353	1.411764705882353	1.411764705882353	101.41176470588235	1.411764705882353	101.41176470588235	1.411764705882353	101.41176470588235	1.411764705882353	101.41176470588235					-2	98	-2	98																											-2	98			-2	98									-2	98	-2	98	-2	98	-2	98									-2	98	-2	98	-2	98	-2	98																																																																
1	Apriori	Id(Bk)Syl1>>Id(Bk)	1.4117647058823533	11.411764705882353																																																																																																																																																			
2	ao	Ao	1.7647058823529411	13.176470588235293	0	1.411764705882353			-2	99.41176470588235	-2	99.41176470588235	-2	99.41176470588235							1.7647058823529411	99.76470588235294																									-2	98	-2	96	-2	98	-2	96									-2	96	-2	96	-2	96	-2	96									-2	96	-2	96	-2	96	-2	96																																																																
3	EIE	eie	0.5714285714285714	13.747899159663865	0	1.411764705882353					-2	97.41176470588235	-2	97.41176470588235	0.5714285714285714	100.57142857142857	0.5714285714285714	100.57142857142857	0.5714285714285714	98.57142857142857	0.5714285714285714	100.33613445378151																																																																																																																																
4	yyO	uuo	0.5714285714285714	14.319327731092436	0	1.411764705882353	0.5714285714285714	101.98319327731092	0.5714285714285714	99.98319327731092	0.5714285714285714	97.98319327731092	0.5714285714285714	97.98319327731092					-2	96.57142857142857	-2	98.33613445378151																																																																																																																																
5	aoI	Aoi	1.5833333333333333	15.90266106442577	0	1.411764705882353			-2	97.98319327731092	-2	95.98319327731092	-2	95.98319327731092	1.5833333333333333	102.1547619047619	1.5833333333333333	102.1547619047619	1.5833333333333333	98.1547619047619	1.5833333333333333	99.91946778711484																									-2	96	-2	94	-2	96	-2	94									-2	94	-2	94	-2	94	-2	94									-2	94	-2	94	-2	94	-2	94																																													-2	98	-2	98													-2	98	-2	98
6	oao	Oao	1.6842105263157894	17.58687159074156	0	1.411764705882353	-2	99.98319327731092	-2	95.98319327731092	-2	93.98319327731092	-2	93.98319327731092					1.6842105263157894	99.83897243107769	1.6842105263157894	101.60367831343063											-2	98	-2	98	-2	98											-2	92	-2	94	-2	92											-2	92	-2	92	-2	92											-2	92	-2	92	-2	92																																																																
7	iyo	iuo			0.26666666666666666	1.6784313725490196			0.26666666666666666	96.24985994397758	0.26666666666666666	94.24985994397758	0.26666666666666666	94.24985994397758							-2	99.60367831343063																									0.26666666666666666	96.26666666666667	0.26666666666666666	92.26666666666667	0.26666666666666666	94.26666666666667	0.26666666666666666	92.26666666666667									0.26666666666666666	94.26666666666667	0.26666666666666666	92.26666666666667	0.26666666666666666	92.26666666666667	0.26666666666666666	92.26666666666667									0.26666666666666666	94.26666666666667					-2	90																																																																
8	yAA	yaa			1.2727272727272727	2.9511586452762923			1.2727272727272727	97.52258721670485	1.2727272727272727	95.52258721670485	1.2727272727272727	95.52258721670485							-2	97.60367831343063																													-2	92.26666666666667	-2	90.26666666666667													-2	90.26666666666667	-2	90.26666666666667													-2	90	-2	88																																																																
9	yAA	yaa			1.2727272727272727	4.223885918003565			1.2727272727272727	98.79531448943212	1.2727272727272727	96.79531448943212	1.2727272727272727	96.79531448943212							-2	95.60367831343063																													-2	90.26666666666667	-2	88.26666666666667													-2	88.26666666666667	-2	88.26666666666667													-2	88	-2	86																																																																
