constraint	finalrankingvalue
Id(Bk)Syl1	136
Id(Bk)	116
*_B5...F3	112
*B2	110
*F3_B5	110
*F3..._B5	110
*_B5F3	110
*F3..._B3	108
*_B5F1	108
*_B5...F1	108
*B3	106
*F3_B3	106
*F4..._B3	106
*F3	104
*B1	104
*F1	102
*F1_B3	102
*F1..._B3	102
*F1_B5	102
*F1..._B5	102
*_B3...F3	102
*_B3F5	102
*_B5...F4	102
*_B5F5	102
*_B5...F5	102
*F4	100
*F5	100
*B5	100
*F1_B1	100
*F1..._B1	100
*F1_B2	100
*F1..._B2	100
*F3_B1	100
*F3..._B1	100
*F3_B2	100
*F3..._B2	100
*F4_B1	100
*F4..._B1	100
*F4_B2	100
*F4..._B2	100
*F4_B3	100
*F5_B1	100
*F5..._B1	100
*F5_B2	100
*F5..._B2	100
*_B1F1	100
*_B1...F1	100
*_B1F3	100
*_B1...F3	100
*_B1F4	100
*_B1...F4	100
*_B1F5	100
*_B1...F5	100
*_B2F1	100
*_B2...F1	100
*_B2F3	100
*_B2...F3	100
*_B2F4	100
*_B2...F4	100
*_B2F5	100
*_B2...F5	100
*_B3F1	100
*_B3...F1	100
*_B3F3	100
*_B3...F5	100
*_B5F4	100
*F5..._B3	98
*F4_B5	96
*F4..._B5	96
*_B3F4	96
*_B3...F4	96
*F5_B3	94
*F5_B5	94
*F5..._B5	88
