trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300
1	Iou	iOy	1.1428571428571428	1.1428571428571428	1.1428571428571428	1.1428571428571428	-2	298	-2	298	-2	298	-2	298	1.1428571428571428	301.14285714285717	1.1428571428571428	301.14285714285717	1.1428571428571428	301.14285714285717	1.1428571428571428	301.14285714285717																																																																																																																																
2	Oey	oeu	4.0	5.142857142857142	4.0	5.142857142857142	4.0	302.0	4.0	302.0	4.0	302.0	4.0	302.0					-2	299.14285714285717	-2	299.14285714285717																																													-2	298	-2	298													-2	298	-2	298																																									-2	298	-2	298	-2	298	-2	298									-2	298	-2	298	-2	298	-2	298
3	uu	yy	1.5	6.642857142857142	1.5	6.642857142857142			-2	300.0	-2	300.0	-2	300.0							1.5	300.64285714285717																																																																																																																																
4	ouu	Oyy	1.6	8.242857142857142	1.6	8.242857142857142	-2	300.0	-2	298.0	-2	298.0	-2	298.0					1.6	300.7428571428572	1.6	302.2428571428572																																																																																																																																
9	iiA	iia			1.2	9.442857142857141			1.2	299.2	1.2	299.2	1.2	299.2							-2	300.2428571428572																																																													-2	296	-2	296																																																																
11	uuu	yyy	1.5	9.742857142857142	1.5	10.942857142857141			-2	297.2	-2	297.2	-2	297.2							1.5	301.7428571428572																																																																																																																																
13	yyi	uui	1.0	10.742857142857142	1.0	11.942857142857141			1.0	298.2	1.0	298.2	1.0	298.2							-2	299.7428571428572																																																																																																																													-2	296	-2	296
17	uia	yiA	0.75	11.492857142857142	0.75	12.692857142857141			-2	296.2	-2	296.2	-2	296.2							0.75	300.4928571428572																																																													0.75	296.75	0.75	296.75																																																													0.75	296.75	0.75	296.75
18	yeA	uea	3.0	14.492857142857142	3.0	15.692857142857141			3.0	299.2	3.0	299.2	3.0	299.2							-2	298.4928571428572																																													-2	296	-2	296													-2	294.75	-2	294.75																																																									-2	296	-2	296	-2	294.75	-2	294.75
20	iua	iyA			1.2	16.892857142857142			-2	297.2	-2	297.2	-2	297.2							1.2	299.6928571428572																																																													1.2	295.95	1.2	295.95																																																																
21	yii	uii	1.0	15.492857142857142	1.0	17.892857142857142			1.0	298.2	1.0	298.2	1.0	298.2							-2	297.6928571428572																																																																																																																													-2	292.75	-2	292.75
26	OiO	oio	2.857142857142857	18.349999999999998	2.857142857142857	20.75	2.857142857142857	302.85714285714283	2.857142857142857	301.0571428571428	2.857142857142857	301.0571428571428	2.857142857142857	301.0571428571428					-2	298.7428571428572	-2	295.6928571428572																																																									-2	298	-2	298	-2	293.95	-2	293.95																																													-2	296	-2	296													-2	290.75	-2	290.75
27	aiu	Aiy	0.75	19.099999999999998	0.75	21.5			-2	299.0571428571428	-2	299.0571428571428	-2	299.0571428571428							0.75	296.4428571428572																																																													0.75	294.7	0.75	294.7																																																													0.75	291.5	0.75	291.5
28	ioE	ioe			2.5	24.0					-2	297.0571428571428	-2	297.0571428571428			2.5	303.64285714285717	2.5	301.2428571428572	2.5	298.9428571428572																																																							2.5	302.5			2.5	300.5			2.5	297.2																																									-2	296	-2	296	-2	294	-2	294									-2	294	-2	294	-2	289.5	-2	289.5
29	eui	eyi			0.6666666666666666	24.666666666666668			-2	297.0571428571428	-2	295.0571428571428	-2	295.0571428571428							0.6666666666666666	299.60952380952386																																													0.6666666666666666	296.6666666666667	0.6666666666666666	296.6666666666667													0.6666666666666666	295.3666666666667	0.6666666666666666	297.8666666666667																																																													0.6666666666666666	290.1666666666667	0.6666666666666666	290.1666666666667
33	eye	eue			3.6	28.26666666666667			3.6	300.65714285714284	3.6	298.65714285714284	3.6	298.65714285714284							-2	297.60952380952386																																													-2	294.6666666666667	-2	294.6666666666667													-2	293.3666666666667	-2	295.8666666666667																																																									-2	292	-2	292	-2	288.1666666666667	-2	288.1666666666667
35	oio	OiO	0.6153846153846154	19.715384615384615	0.6153846153846154	28.882051282051286	-2	300.85714285714283	-2	298.65714285714284	-2	296.65714285714284	-2	296.65714285714284					0.6153846153846154	301.85824175824183	0.6153846153846154	298.2249084249085																																																									0.6153846153846154	298.61538461538464	0.6153846153846154	301.11538461538464	0.6153846153846154	293.9820512820513	0.6153846153846154	296.4820512820513																																													0.6153846153846154	294.61538461538464	0.6153846153846154	294.61538461538464													0.6153846153846154	288.7820512820513	0.6153846153846154	288.7820512820513
36	eau	eAy			0.8571428571428571	29.739194139194144			-2	296.65714285714284	-2	294.65714285714284	-2	294.65714285714284							0.8571428571428571	299.08205128205134																																													0.8571428571428571	295.5238095238095	0.8571428571428571	295.5238095238095													0.8571428571428571	294.83919413919415	0.8571428571428571	297.33919413919415																																																																
38	aau	AAy	1.5	21.215384615384615	1.5	31.239194139194144			-2	294.65714285714284	-2	292.65714285714284	-2	292.65714285714284							1.5	300.58205128205134																																																																																																																																
39	Ae	ae	1.6666666666666667	22.882051282051282	1.6666666666666667	32.90586080586081			1.6666666666666667	296.32380952380953	1.6666666666666667	294.32380952380953	1.6666666666666667	294.32380952380953							-2	298.58205128205134																																																																																																																									-2	290	-2	290	-2	286.7820512820513	-2	286.7820512820513
43	eA	ea			2.0	34.90586080586081			2.0	298.32380952380953	2.0	296.32380952380953	2.0	296.32380952380953							-2	296.58205128205134																																													-2	293.5238095238095	-2	293.5238095238095													-2	292.83919413919415	-2	295.33919413919415																																																																
44	OAA	oaa	0.5714285714285714	23.453479853479855	0.5714285714285714	35.47728937728938	0.5714285714285714	301.4285714285714	0.5714285714285714	298.8952380952381	0.5714285714285714	296.8952380952381	0.5714285714285714	296.8952380952381					-2	299.85824175824183	-2	294.58205128205134																																																																																																																																
45	Oee	oee	2.857142857142857	26.310622710622713	2.857142857142857	38.334432234432235	2.857142857142857	304.2857142857142	2.857142857142857	301.7523809523809	2.857142857142857	299.7523809523809	2.857142857142857	299.7523809523809					-2	297.85824175824183	-2	292.58205128205134																																																																																																									-2	294	-2	294	-2	292.61538461538464	-2	292.61538461538464									-2	288	-2	288	-2	284.7820512820513	-2	284.7820512820513
46	aao	AAO	1.6	27.910622710622714	1.6	39.934432234432236	-2	302.2857142857142	-2	299.7523809523809	-2	297.7523809523809	-2	297.7523809523809					1.6	299.45824175824185	1.6	294.18205128205136																																																																																																																																
50	aoi	AOi	0.8888888888888888	28.799511599511604	0.8888888888888888	40.82332112332112	-2	300.2857142857142	-2	297.7523809523809	-2	295.7523809523809	-2	295.7523809523809					0.8888888888888888	300.34713064713077	0.8888888888888888	295.0709401709403																																																																																																													0.8888888888888888	293.50427350427356	0.8888888888888888	293.50427350427356													0.8888888888888888	285.67094017094024	0.8888888888888888	285.67094017094024
