trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300
0	Apriori	Id(Bk)Syl1>>Id(Bk)	30	30																																																																																																																																																		
1	Iao	iao	1.3333333333333333	31.333333333333332	0	0							-2	298	1.3333333333333333	301.3333333333333	1.3333333333333333	301.3333333333333	1.3333333333333333	301.3333333333333	1.3333333333333333	301.3333333333333																																																											-2	298	-2	298	-2	298																																																																
2	eAO	eao			2.6666666666666665	2.6666666666666665	2.6666666666666665	302.6666666666667	2.6666666666666665	302.6666666666667	2.6666666666666665	302.6666666666667	2.6666666666666665	300.6666666666667					-2	299.3333333333333	-2	299.3333333333333																																											-2	298	-2	298	-2	298											-2	296	-2	296	-2	296																																																																
2	Apriori	Id(Bk)Syl1>>Id(Bk)	1.3333333333333321	32.666666666666664																																																																																																																																																			
4	Iou	iou	1.6666666666666667	34.33333333333333	0	2.6666666666666665							-2	298.6666666666667	1.6666666666666667	303.0	1.6666666666666667	303.0	1.6666666666666667	301.0	1.6666666666666667	301.0																																																									-2	298	-2	294	-2	294	-2	294																																																																
6	eio	eiO			0.8	3.466666666666667	-2	300.6666666666667	-2	300.6666666666667	-2	300.6666666666667	-2	296.6666666666667					0.8	301.8	0.8	301.8																																											0.8	298.8			0.8	298.8									0.8	298.8	0.8	294.8	0.8	294.8	0.8	294.8																																																																
8	ouu	Oyy	2.0	36.33333333333333	0	3.466666666666667	-2	298.6666666666667	-2	298.6666666666667	-2	298.6666666666667	-2	294.6666666666667					2.0	303.8	2.0	303.8																																																																																																																																
9	yyO	uuo	0.6666666666666666	36.99999999999999	0	3.466666666666667	0.6666666666666666	299.33333333333337	0.6666666666666666	299.33333333333337	0.6666666666666666	299.33333333333337	0.6666666666666666	295.33333333333337					-2	301.8	-2	301.8																																																																																																																																
11	yAe	uae	2.0	38.99999999999999	0	3.466666666666667			2.0	301.33333333333337	2.0	301.33333333333337	2.0	297.33333333333337							-2	299.8																																																																																																																									-2	298	-2	298	-2	298	-2	298
17	uuu	yyy	2.0	40.99999999999999	0	3.466666666666667			-2	299.33333333333337	-2	299.33333333333337	-2	295.33333333333337							2.0	301.8																																																																																																																																
18	iye	iue			2.8	6.266666666666667			2.8	302.1333333333334	2.8	302.1333333333334	2.8	298.1333333333334							-2	299.8																																																													-2	292.8	-2	292.8																																																									-2	296	-2	296	-2	296	-2	296
22	iEu	ieu			0.8	7.066666666666666					-2	300.1333333333334	-2	296.1333333333334			0.8	303.8	0.8	302.6	0.8	300.6																																													-2	296	-2	296.8					0.8	300.8	0.8	300.8	0.8	299.6	0.8	295.6			0.8	293.6																																																																
23	eo	eO			0.6666666666666666	7.733333333333333	-2	297.33333333333337	-2	300.1333333333334	-2	298.1333333333334	-2	294.1333333333334					0.6666666666666666	303.2666666666667	0.6666666666666666	301.2666666666667																																									0.6666666666666666	300.6666666666667	0.6666666666666666	299.4666666666667	0.6666666666666666	296.6666666666667	0.6666666666666666	297.4666666666667									0.6666666666666666	300.2666666666667	0.6666666666666666	296.2666666666667	0.6666666666666666	293.4666666666667	0.6666666666666666	294.2666666666667																																																																
