trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300
1	eiy	Eiu	0.5	0.5	0	0			0.5	300.5	0.5	300.5	0.5	300.5			-2	298	-2	298	-2	298																																																													-2	298	-2	298																													-2	298	-2	298													-2	298	-2	298													-2	298	-2	298
2	aEo	aeo			0.5	0.5					-2	298.5	-2	298.5			0.5	298.5	0.5	298.5	0.5	298.5																																									-2	298	-2	298	-2	298	-2	298									-2	298	-2	298	-2	296	-2	296																																																									-2	298	-2	298	-2	296	-2	296
5	AAy	Aau			0.5	1.0			0.5	301.0	0.5	299.0	0.5	299.0							-2	296.5																													-2	298	-2	298													-2	296	-2	296													-2	294	-2	294																																																																
6	au	Au	1.0	1.5	0	1.0			-2	299.0	-2	297.0	-2	297.0							1.0	297.5																													-2	296	-2	296													-2	294	-2	294													-2	292	-2	292																																																																
7	eOe	eoe			0.4	1.4	0.4	300.4	0.4	299.4	0.4	297.4	0.4	297.4					-2	296.5	-2	295.5																																									-2	296	-2	296	-2	292	-2	292									-2	296	-2	296	-2	290	-2	290																																									-2	298	-2	298	-2	296	-2	296									-2	296	-2	296	-2	294	-2	294
8	yOe	yoe			0.4	1.7999999999999998	0.4	300.79999999999995	0.4	299.79999999999995	0.4	297.79999999999995	0.4	297.79999999999995					-2	294.5	-2	293.5																									-2	298	-2	298	-2	294	-2	294									-2	294	-2	294	-2	290	-2	290									-2	294	-2	294	-2	288	-2	288																																									-2	296	-2	296	-2	294	-2	294									-2	294	-2	294	-2	292	-2	292
9	EaE	eae	0.5	2.0	0	1.7999999999999998					-2	295.79999999999995	-2	295.79999999999995			0.5	299.0	0.5	295.0	0.5	294.0																																													-2	288	-2	288													-2	286	-2	286																																																									-2	292	-2	292	-2	290	-2	290
10	ueo	yeo	0.3333333333333333	2.3333333333333335	0	1.7999999999999998			-2	297.79999999999995	-2	293.79999999999995	-2	293.79999999999995							0.3333333333333333	294.3333333333333																											-2	296			-2	292																																																																																									0.3333333333333333	292.3333333333333	0.3333333333333333	292.3333333333333	0.3333333333333333	290.3333333333333	0.3333333333333333	290.3333333333333
11	eio	Eio	0.4	2.7333333333333334	0	1.7999999999999998					0.4	294.19999999999993	0.4	294.19999999999993			-2	297.0	-2	293.0	-2	292.3333333333333																																											0.4	294.4			0.4	288.4																																													-2	296	-2	296													-2	292	-2	292													-2	288.3333333333333	-2	288.3333333333333
12	eoe	Eoe	0.18181818181818182	2.915151515151515	0	1.7999999999999998					0.18181818181818182	294.3818181818181	0.18181818181818182	294.3818181818181			-2	295.0	-2	291.0	-2	290.3333333333333																																									0.18181818181818182	294.1818181818182	0.18181818181818182	294.58181818181816	0.18181818181818182	288.1818181818182	0.18181818181818182	288.58181818181816									0.18181818181818182	294.1818181818182	0.18181818181818182	294.1818181818182	0.18181818181818182	286.1818181818182	0.18181818181818182	286.1818181818182																											-2	298			-2	294											-2	294			-2	290											-2	290.3333333333333			-2	286.3333333333333
14	eao	Eao	0.2222222222222222	3.1373737373737374	0	1.7999999999999998					0.2222222222222222	294.60404040404035	0.2222222222222222	294.60404040404035			-2	293.0	-2	289.0	-2	288.3333333333333																																											0.2222222222222222	294.8040404040404	0.2222222222222222	288.4040404040404	0.2222222222222222	288.8040404040404											0.2222222222222222	294.4040404040404	0.2222222222222222	286.4040404040404	0.2222222222222222	286.4040404040404																																																																
15	uoo	yoo	1.0	4.137373737373737	0	1.7999999999999998			-2	295.79999999999995	-2	292.60404040404035	-2	292.60404040404035							1.0	289.3333333333333																									-2	296	-2	294	-2	292	-2	290									-2	292.1818181818182	-2	292.8040404040404	-2	286.4040404040404	-2	286.8040404040404									-2	292.1818181818182	-2	292.4040404040404	-2	284.4040404040404	-2	284.4040404040404																																																																
