trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300
0	Apriori	Id(Bk)Syl1>>Id(Bk)	30	30																																																																																																																																																		
2	aou	AOy	0.6666666666666666	30.666666666666668	0	0	-2	298	-2	298	-2	298	-2	298					0.6666666666666666	300.6666666666667	0.6666666666666666	300.6666666666667																																																																																																																																
4	AOe	aoE	0.4	31.066666666666666	0	0	0.4	298.4	0.4	298.4	0.4	298.4	0.4	298.4			-2	298	-2	298.6666666666667	-2	298.6666666666667																																																																																																																																
5	Ayi	aui	0.5	31.566666666666666	0	0			0.5	298.9	0.5	298.9	0.5	298.9							-2	296.6666666666667																																																																																																																													-2	298	-2	298
6	iOy	Iou	0.4	31.966666666666665	0	0	0.4	298.79999999999995	0.4	299.29999999999995	0.4	299.29999999999995	0.4	299.29999999999995	-2	298	-2	296	-2	296.6666666666667	-2	294.6666666666667																																																																																																																																
7	io	iO			0.2857142857142857	0.2857142857142857	-2	296.79999999999995	-2	297.29999999999995	-2	297.29999999999995	-2	297.29999999999995					0.2857142857142857	296.95238095238096	0.2857142857142857	294.95238095238096																																																									0.2857142857142857	300.2857142857143	0.2857142857142857	300.2857142857143	0.2857142857142857	300.2857142857143	0.2857142857142857	300.2857142857143																																																																
9	oaI	OAi	0.4	32.36666666666667	0	0.2857142857142857	-2	294.79999999999995	-2	295.29999999999995	-2	295.29999999999995	-2	295.29999999999995	0.4	298.4	0.4	296.4	0.4	297.35238095238094	0.4	295.35238095238094																																																																																																																																
11	uuu	yyy	1.0	33.36666666666667	0	0.2857142857142857			-2	293.29999999999995	-2	293.29999999999995	-2	293.29999999999995							1.0	296.35238095238094																																																																																																																																
12	OAA	oaa	0.4	33.766666666666666	0	0.2857142857142857	0.4	295.19999999999993	0.4	293.69999999999993	0.4	293.69999999999993	0.4	293.69999999999993					-2	295.35238095238094	-2	294.35238095238094																																																																																																																																
13	iA	Ia	0.5	34.266666666666666	0	0.2857142857142857			0.5	294.19999999999993	0.5	294.19999999999993	0.5	294.19999999999993	-2	296.4	-2	294.4	-2	293.35238095238094	-2	292.35238095238094																																																																																																																																
14	iiA	Iia	0.5	34.766666666666666	0	0.2857142857142857			0.5	294.69999999999993	0.5	294.69999999999993	0.5	294.69999999999993	-2	294.4	-2	292.4	-2	291.35238095238094	-2	290.35238095238094																																																													-2	298.2857142857143	-2	298.2857142857143													-2	298	-2	298													-2	298	-2	298													-2	298	-2	298													-2	296	-2	296
15	aua	AyA	1.0	35.766666666666666	0	0.2857142857142857			-2	292.69999999999993	-2	292.69999999999993	-2	292.69999999999993							1.0	291.35238095238094																																																																																																																																
16	IIE	IiE			0.4	0.6857142857142857							-2	290.69999999999993	0.4	294.79999999999995	0.4	292.79999999999995	0.4	291.7523809523809	0.4	291.7523809523809																																																					-2	298	-2	298	-2	298.2857142857143	-2	298.2857142857143	-2	296.2857142857143	-2	296.2857142857143													-2	296	-2	296													-2	296	-2	296													-2	296	-2	296													-2	294	-2	294
21	iOi	ioi			0.4	1.0857142857142859	0.4	295.5999999999999	0.4	293.0999999999999	0.4	293.0999999999999	0.4	291.0999999999999					-2	289.7523809523809	-2	289.7523809523809																																																									-2	296.2857142857143	-2	296.2857142857143	-2	294.2857142857143	-2	294.2857142857143																																													-2	294	-2	294													-2	292	-2	292
