trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300
1	Eoi	eoi	0.25	0.25	0	0					-2	298	-2	298			0.25	300.25	0.25	300.25	0.25	300.25																																									-2	298	-2	298	-2	298	-2	298									-2	298	-2	298	-2	298	-2	298																															0.25	300.25															0.25	300.25															0.25	300.25
2	oEI	Oei	0.3333333333333333	0.5833333333333333	0	0	-2	298	-2	298	-2	296	-2	296	0.3333333333333333	300.3333333333333	0.3333333333333333	300.5833333333333	0.3333333333333333	300.5833333333333	0.3333333333333333	300.5833333333333																																																																																																																																
4	yii	uii	0.4	0.9833333333333333	0	0			0.4	298.4	0.4	296.4	0.4	296.4							-2	298.5833333333333																																																																																																																													-2	298	-2	298.25
5	eA	ea			0.4	0.4			0.4	298.79999999999995	0.4	296.79999999999995	0.4	296.79999999999995							-2	296.5833333333333																																													-2	296	-2	296													-2	296	-2	296																																																																
6	aEE	Aee	0.4	1.3833333333333333	0	0.4			-2	296.79999999999995	-2	294.79999999999995	-2	294.79999999999995			0.4	300.9833333333333	0.4	300.9833333333333	0.4	296.9833333333333																																																																																																																																
8	iOe	ioe			0.3333333333333333	0.7333333333333334	0.3333333333333333	298.3333333333333	0.3333333333333333	297.13333333333327	0.3333333333333333	295.13333333333327	0.3333333333333333	295.13333333333327					-2	298.9833333333333	-2	294.9833333333333																																																									-2	296	-2	296	-2	294	-2	294																																									-2	298	-2	298	-2	298	-2	298.25									-2	298	-2	298	-2	296	-2	296.25
9	eoa	eOA			0.16666666666666666	0.9	-2	296.3333333333333	-2	295.13333333333327	-2	293.13333333333327	-2	293.13333333333327					0.16666666666666666	299.15	0.16666666666666666	295.15																																									0.16666666666666666	298.1666666666667	0.16666666666666666	298.1666666666667	0.16666666666666666	296.1666666666667	0.16666666666666666	296.1666666666667									0.16666666666666666	296.1666666666667	0.16666666666666666	296.1666666666667	0.16666666666666666	294.1666666666667	0.16666666666666666	294.1666666666667																																																																
11	eiO	eio			0.3333333333333333	1.2333333333333334	0.3333333333333333	296.66666666666663	0.3333333333333333	295.4666666666666	0.3333333333333333	293.4666666666666	0.3333333333333333	293.4666666666666					-2	297.15	-2	293.15																																											-2	296.1666666666667			-2	294.1666666666667									-2	294.1666666666667	-2	294.1666666666667	-2	292.1666666666667	-2	292.1666666666667																																																																
12	au	Ay	0.6666666666666666	2.05	0	1.2333333333333334			-2	293.4666666666666	-2	291.4666666666666	-2	291.4666666666666							0.6666666666666666	293.81666666666666																																																																																																																																
13	Oey	oeu	0.3333333333333333	2.3833333333333333	0	1.2333333333333334	0.3333333333333333	296.99999999999994	0.3333333333333333	293.7999999999999	0.3333333333333333	291.7999999999999	0.3333333333333333	291.7999999999999					-2	295.15	-2	291.81666666666666																																													-2	294.1666666666667	-2	292.1666666666667													-2	290.1666666666667	-2	290.1666666666667																																									-2	296	-2	296	-2	296	-2	296.25									-2	296	-2	296	-2	294	-2	294.25
15	eui	eyi			0.2222222222222222	1.4555555555555557			-2	291.7999999999999	-2	289.7999999999999	-2	289.7999999999999							0.2222222222222222	292.0388888888889																																													0.2222222222222222	294.3888888888889	0.2222222222222222	292.3888888888889													0.2222222222222222	290.3888888888889	0.2222222222222222	290.3888888888889																																																													0.2222222222222222	294.22222222222223	0.2222222222222222	294.47222222222223
19	eye	eue			0.4	1.8555555555555556			0.4	292.1999999999999	0.4	290.1999999999999	0.4	290.1999999999999							-2	290.0388888888889																																													-2	292.3888888888889	-2	290.3888888888889													-2	288.3888888888889	-2	288.3888888888889																																																									-2	294	-2	294	-2	292.22222222222223	-2	292.47222222222223
21	iaa	iAA			0.4	2.2555555555555555			-2	290.1999999999999	-2	288.1999999999999	-2	288.1999999999999							0.4	290.43888888888887																																																													0.4	288.7888888888889	0.4	288.7888888888889																																																																
23	OOA	ooa	0.3333333333333333	2.716666666666667	0	2.2555555555555555	0.3333333333333333	297.33333333333326	0.3333333333333333	290.5333333333332	0.3333333333333333	288.5333333333332	0.3333333333333333	288.5333333333332					-2	293.15	-2	288.43888888888887																																																																																																																																
24	uou	yOy	0.5	3.216666666666667	0	2.2555555555555555	-2	295.33333333333326	-2	288.5333333333332	-2	286.5333333333332	-2	286.5333333333332					0.5	293.65	0.5	288.93888888888887																																																																																																																																
28	oai	OAi	0.2857142857142857	3.5023809523809524	0	2.2555555555555555	-2	293.33333333333326	-2	286.5333333333332	-2	284.5333333333332	-2	284.5333333333332					0.2857142857142857	293.93571428571425	0.2857142857142857	289.22460317460315																																																																																																															0.2857142857142857	296.5357142857143													0.2857142857142857	292.5079365079365	0.2857142857142857	292.7579365079365
