trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300		300
0	Apriori	Id(Bk)Syl1>>Id(Bk)	40	40																																																																																																																																																		
1	uo	yO	0.4	40.4	0.4	0.4	-2	298	-2	298	-2	298	-2	298					0.4	300.4	0.4	300.4																																																																																																																																
2	AOy	aou	0.2857142857142857	40.68571428571428	0.2857142857142857	0.6857142857142857	0.2857142857142857	298.2857142857143	0.2857142857142857	298.2857142857143	0.2857142857142857	298.2857142857143	0.2857142857142857	298.2857142857143					-2	298.4	-2	298.4																																																																																																																																
3	eOi	Eoi	0.2857142857142857	40.97142857142857	0.2857142857142857	0.9714285714285714	0.2857142857142857	298.57142857142856	0.2857142857142857	298.57142857142856	0.2857142857142857	298.57142857142856	0.2857142857142857	298.57142857142856			-2	298	-2	296.4	-2	296.4																																																																																															-2	298													-2	298	-2	298													-2	298	-2	298
5	uao	yAO	0.4	41.37142857142857	0.4	1.3714285714285714	-2	296.57142857142856	-2	296.57142857142856	-2	296.57142857142856	-2	296.57142857142856					0.4	296.79999999999995	0.4	296.79999999999995																																																																																																																																
6	ieA	iEa			0.4	1.7714285714285714			0.4	296.97142857142853	0.4	296.97142857142853	0.4	296.97142857142853			-2	296	-2	294.79999999999995	-2	294.79999999999995																																																					-2	298	-2	298	-2	298	-2	298	-2	298	-2	298																																																																
6	Apriori	Id(Bk)Syl1>>Id(Bk)	0.4000000000000057	41.77142857142857																																																																																																																																																			
8	uII	yii	0.2857142857142857	42.05714285714286	0.2857142857142857	2.057142857142857			-2	294.97142857142853	-2	294.97142857142853	-2	294.97142857142853	0.2857142857142857	300.2857142857143	0.2857142857142857	296.2857142857143	0.2857142857142857	295.08571428571423	0.2857142857142857	295.08571428571423																																																																																																																																
9	eAy	Eau	0.3333333333333333	42.39047619047619	0.3333333333333333	2.3904761904761904			0.3333333333333333	295.30476190476185	0.3333333333333333	295.30476190476185	0.3333333333333333	295.30476190476185			-2	294.2857142857143	-2	293.08571428571423	-2	293.08571428571423																																																																																																																																
11	iyy	Iuu	0.3333333333333333	42.72380952380953	0.3333333333333333	2.723809523809524			0.3333333333333333	295.63809523809516	0.3333333333333333	295.63809523809516	0.3333333333333333	295.63809523809516	-2	298.2857142857143	-2	292.2857142857143	-2	291.08571428571423	-2	291.08571428571423																																																																																																																																
13	aoE	AOe	0.3333333333333333	43.057142857142864	0.3333333333333333	3.0571428571428574	-2	294.57142857142856	-2	293.63809523809516	-2	293.63809523809516	-2	293.63809523809516			0.3333333333333333	292.6190476190476	0.3333333333333333	291.41904761904755	0.3333333333333333	291.41904761904755																																																																																																																																
20	uo	yO	0.4	43.45714285714286	0.4	3.4571428571428573	-2	292.57142857142856	-2	291.63809523809516	-2	291.63809523809516	-2	291.63809523809516					0.4	291.8190476190475	0.4	291.8190476190475																																																																																																																																
23	ey	Eu	0.3333333333333333	43.7904761904762	0.3333333333333333	3.7904761904761908			0.3333333333333333	291.9714285714285	0.3333333333333333	291.9714285714285	0.3333333333333333	291.9714285714285			-2	290.6190476190476	-2	289.8190476190475	-2	289.8190476190475																																																																																																																																
25	ie	IE	0.4	44.1904761904762	0.4	4.190476190476191					0.4	292.37142857142845	0.4	292.37142857142845	-2	296.2857142857143	-2	288.6190476190476	-2	287.8190476190475	-2	287.8190476190475																																																																																																																																
26	OiO	oio	0.2857142857142857	44.47619047619048	0.2857142857142857	4.476190476190476	0.2857142857142857	292.85714285714283	0.2857142857142857	292.25714285714275	0.2857142857142857	292.65714285714273	0.2857142857142857	292.65714285714273					-2	285.8190476190475	-2	285.8190476190475																																																									-2	296	-2	296	-2	296	-2	296																																													-2	296	-2	296													-2	296	-2	296
29	iye	iuE			0.4	4.876190476190477			0.4	292.65714285714273	0.4	293.0571428571427	0.4	293.0571428571427			-2	286.6190476190476	-2	283.8190476190475	-2	283.8190476190475																																																							-2	296			-2	294	-2	294	-2	294																																																																
29	Apriori	Id(Bk)Syl1>>Id(Bk)	0.3999999999999915	44.87619047619047																																																																																																																																																			
31	iiy	Iiu	0.3333333333333333	45.20952380952381	0.3333333333333333	5.20952380952381			0.3333333333333333	292.99047619047604	0.3333333333333333	293.390476190476	0.3333333333333333	293.390476190476	-2	294.2857142857143	-2	284.6190476190476	-2	281.8190476190475	-2	281.8190476190475																																																													-2	292	-2	292													-2	298	-2	298													-2	298	-2	296													-2	294	-2	294													-2	294	-2	294
33	Eoa	eOA	0.3333333333333333	45.542857142857144	0.3333333333333333	5.542857142857143	-2	290.85714285714283	-2	290.99047619047604	-2	291.390476190476	-2	291.390476190476			0.3333333333333333	284.9523809523809	0.3333333333333333	282.15238095238084	0.3333333333333333	282.15238095238084																																																																																																																																
35	aEa	AeA	0.3333333333333333	45.87619047619048	0.3333333333333333	5.876190476190476			-2	288.99047619047604	-2	289.390476190476	-2	289.390476190476			0.3333333333333333	285.2857142857142	0.3333333333333333	282.48571428571415	0.3333333333333333	282.48571428571415																																																																																																																																
