trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500		500
1	eAe	Eae	2	2	2	2			2	502	2	502	2	502			-2	498	-2	498	-2	498																																																																																											-2	498			-2	498											-2	498			-2	498									-2	498	-2	498	-2	498	-2	498
2	ioE	ioe			2	4					-2	500	-2	500			2	500	2	500	2	500																																																							2	502			2	502			2	502																																									-2	498	-2	496	-2	498	-2	496									-2	496	-2	496	-2	496	-2	496
3	eAi	eai			2	6			2	504	2	502	2	502							-2	498																																													-2	498	-2	498													-2	498	-2	500																																																													-2	494	-2	494
4	uEu	ueu			2	8					-2	500	-2	500			2	502	2	502	2	500																																													-2	496	-2	496													-2	496	-2	498																																																									-2	494	-2	494	-2	492	-2	492
5	Oei	oei	2	4	2	10	2	502	2	506	2	502	2	502					-2	500	-2	498																																																																																																									-2	496	-2	494	-2	496	-2	494									-2	492	-2	492	-2	490	-2	490
9	Euu	euu	2	6	2	12					-2	500	-2	500			2	504	2	502	2	500																																													-2	494	-2	494													-2	494	-2	496																																																																
12	eoe	Eoe	2	8	2	14					2	502	2	502			-2	502	-2	500	-2	498																																									2	502	2	502	2	496	2	496									2	502	2	504	2	496	2	498																											-2	496			-2	496											-2	492			-2	492											-2	490			-2	488
13	aaE	Aae	2	10	2	16			-2	504	-2	500	-2	500			2	504	2	502	2	500																													-2	498	-2	498													-2	494	-2	494													-2	494	-2	496																																																									-2	490	-2	488	-2	488	-2	486
15	oia	Oia	2	12	2	18	-2	500	-2	502	-2	498	-2	498					2	504	2	502															-2	498															-2	496															-2	492																																																													2	498	2	494													2	490	2	488
18	eyi	Eui	2	14	2	20			2	504	2	500	2	500			-2	502	-2	502	-2	500																																																																																															-2	494															-2	492													-2	488	-2	486
22	uau	yau	2	16	2	22			-2	502	-2	498	-2	498							2	502																													-2	496	-2	494													-2	492	-2	490													-2	492	-2	494																																																																
23	OA	oa	2	18	2	24	2	502	2	504	2	500	2	500					-2	500	-2	500																																																																																																																																
26	uue	yue	2	20	2	26			-2	502	-2	498	-2	498							2	502																													-2	494	-2	492													-2	490	-2	488													-2	490	-2	492																																																											2	490			2	488
28	Oyy	Ouu			2	28			2	504	2	500	2	500							-2	500													-2	498	-2	496													-2	492	-2	490													-2	488	-2	486													-2	488	-2	490																																																																
33	uao	yao	2	22	2	30			-2	502	-2	498	-2	498							2	502																											-2	498	-2	490	-2	488											-2	500	-2	486	-2	484											-2	502	-2	486	-2	488																																																																
34	eOe	Eoe	2	24	2	32	2	504	2	504	2	500	2	500			-2	500	-2	498	-2	500																																																																																											-2	494			-2	492									-2	494	-2	490	-2	496	-2	490									-2	488	-2	488	-2	486	-2	486
35	EIo	Eio			2	34							-2	498	2	502	2	502	2	500	2	502																																																									-2	500	-2	500	-2	484	-2	486																													-2	498	-2	490													-2	494	-2	488													-2	484	-2	484
